Instances,UB,MP_Time,SP_Time,Prep1_time,Prep2_time,Time,Nbr_iterations,Nbr_feasibility_cuts,Nbr_optimality_cuts,Nbr_cover_cuts,Nbr_cuts
127FL_5A_1,23.0,5.79,1.21,0.39,0.69,8.08,404,190,208,489,887
127FL_5A_2,1.0,16.42,3.39,0.38,0.73,20.92,871,208,659,448,1315
127FL_5A_3,57.0,10.13,2.7,0.38,0.72,13.93,707,175,525,469,1169
127FL_5A_4,551.0,2.61,0.36,0.37,0.71,4.05,124,46,75,147,268
127FL_5A_5,238.0,3.41,0.59,0.38,0.74,5.12,165,38,124,109,271
127FL_5A_6,303.0,4.93,1.03,0.37,0.72,7.05,291,92,192,190,474
127FL_5A_7,47.0,16.17,4.35,0.46,0.86,21.84,1018,255,755,728,1738
127FL_5A_8,479.0,3.01,0.4,0.37,0.74,4.52,114,29,79,142,250
127FL_5A_9,23.0,2.35,0.21,0.37,0.72,3.65,80,33,42,75,150
127FL_5A_10,215.0,3.92,0.69,0.38,0.73,5.72,188,49,133,225,407
136FL_5A_1,33.99999999647726,718.48,29.85,0.48,0.88,749.69,7438,1983,5447,5826,13256
136FL_5A_2,0.0,542.94,105.69,0.37,0.72,649.72,25469,6132,19325,17486,42943
136FL_5A_3,3.0,812.29,28.08,0.37,0.73,841.47,6152,723,5411,2059,8193
136FL_5A_4,2.0,6863.62,337.22,0.4,0.79,7202.03,67484,8855,58614,21124,88593
136FL_5A_5,0.0,1321.41,187.42,0.38,0.76,1509.97,41768,8348,33409,22733,64490
136FL_5A_6,0.0,185.01,47.62,0.37,0.72,233.72,12071,3885,8169,10163,22217
136FL_5A_7,72.0,19.11,4.72,0.4,0.71,24.94,2266,1528,725,4582,6835
136FL_5A_8,8.0,6888.09,312.43,0.4,0.75,7201.67,59324,3068,56245,8300,67613
136FL_5A_9,136.0,186.98,39.89,0.42,0.83,228.12,9007,1266,7734,3658,12658
136FL_5A_10,0.0,3769.2,291.7,0.37,0.74,4062.01,77260,26877,50370,67666,144913
181FL_7A_1,3.9999999994813433,1415.11,87.49,0.37,0.72,1503.69,11393,783,10591,3257,14631
181FL_7A_2,1.0,7016.04,184.13,0.4,0.82,7201.39,22451,2952,19486,11242,33680
181FL_7A_3,0.0,62.47,19.48,0.44,0.83,83.22,3467,1306,2149,5738,9193
181FL_7A_4,49.0,15.02,4.6,0.48,0.91,21.01,936,374,555,1116,2045
181FL_7A_5,6.999994750031653,684.93,64.19,0.44,0.82,750.38,7750,547,7193,2533,10273
181FL_7A_6,1.0,6786.15,414.0,0.51,0.92,7201.58,48203,4520,43666,13988,62174
181FL_7A_7,15.0,155.82,32.17,0.45,0.85,189.29,4396,451,3930,1636,6017
181FL_7A_8,0.0,135.27,31.52,0.39,0.69,167.87,5207,1739,3445,5117,10301
181FL_7A_10,0.0,124.64,33.55,0.39,0.76,159.34,6182,2534,3633,10274,16441
196FL_7A_1,232.0,362.53,15.28,0.36,0.68,378.85,3133,1369,1755,4662,7786
196FL_7A_2,12.999999998599998,7103.62,96.43,0.51,1.09,7201.65,14289,4447,9825,16513,30785
196FL_7A_3,11.0,6854.9,345.43,0.4,0.83,7201.56,43986,4816,39161,17986,61963
196FL_7A_4,9.999999998896348,1820.25,63.15,0.36,0.73,1884.49,11239,4359,6866,17045,28270
196FL_7A_5,5.0,6863.57,337.09,0.4,0.79,7201.85,55765,19685,36060,81949,137694
196FL_7A_6,0.0,1217.37,202.86,0.38,0.7,1421.31,32328,10554,21761,44314,76629
196FL_7A_7,6.0,6700.8,502.98,0.43,0.83,7205.04,74368,21978,52371,99684,174033
196FL_7A_8,3.0,33.94,10.41,0.42,0.81,45.58,2165,1041,1112,4144,6297
196FL_7A_9,2.0,6603.98,596.8,0.44,0.83,7202.05,94044,33288,60747,144050,238085
196FL_7A_10,2.0,6654.46,546.78,0.42,0.81,7202.47,73748,17349,56386,66612,140347
