Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feasi_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_1,0.0,3.804,0.0275,3.8315,1,254,73,176,0,249
354FL_8A_2,0.0,1.2354,0.011,1.2464,1,129,11,114,0,125
354FL_8A_3,0.0,0.0715,0.0006,0.0721,1,6,4,1,0,5
354FL_8A_4,35.0,0.0573,0.0006,0.0579,1,6,0,5,0,5
354FL_8A_5,0.0,2.197,0.0354,2.2324,1,368,49,315,0,364
354FL_8A_6,0.0,2.1705,0.0416,2.2121,1,406,90,314,0,404
354FL_8A_7,105.0,0.191,0.0016,0.1926,1,17,0,16,0,16
354FL_8A_8,0.0,0.5962,0.0083,0.6045,1,99,63,35,0,98
354FL_8A_9,0.0,0.9061,0.0138,0.9199,1,159,38,118,0,156
354FL_8A_10,0.0,0.1453,0.0014,0.1467,0,14,3,8,0,11
