Instances,UB,MP_Time,SP_Time,Time,Nbr_iterations,Nbr_feasibility_cuts,Nbr_optimality_cuts,Nbr_cover_cuts,Nbr_cuts
354FL_8A_11,0.0,8.8927,0.1436,9.0363,841,244,1368,0,1612
354FL_8A_12,10.0,56.3349,0.646,56.9809,5715,1434,12640,0,14074
354FL_8A_13,0.0,91.5516,0.6884,92.24,6643,3115,11052,0,14167
354FL_8A_14,50.0,17.4283,0.3131,17.7414,2437,1368,3461,0,4829
354FL_8A_15,0.0,13.2713,0.1756,13.4469,1728,698,2361,0,3059
354FL_8A_16,95.0,2.7469,0.0485,2.7954,432,124,842,0,966
354FL_8A_17,0.0,2.2595,0.0416,2.3011,343,122,478,0,600
354FL_8A_18,50.0,37.5794,0.4618,38.0412,4274,271,11743,0,12014
354FL_8A_19,0.0,76.1094,0.9078,77.0172,7574,3623,9097,0,12720
354FL_8A_20,0.0,14.0551,0.2034,14.2585,1955,1234,2039,0,3273
