Instances,UB,MP_Time,SP_Time,Time,Nbr_iterations,Nbr_feasibility_cuts,Nbr_optimality_cuts,Nbr_cover_cuts,Nbr_cuts
354FL_8A_1,0.0,1.5671,0.0019,1.569,21,12,7,0,19
354FL_8A_2,0.0,0.4525,0.0042,0.4567,43,11,29,0,40
354FL_8A_3,0.0,1.3712,0.019,1.3902,200,48,150,0,198
354FL_8A_4,35.0,0.0304,0.0002,0.0306,2,0,1,0,1
354FL_8A_5,0.0,0.9766,0.0212,0.9978,253,21,230,0,251
354FL_8A_6,0.0,1.3497,0.033,1.3827,365,140,221,0,361
354FL_8A_7,105.0,0.0572,0.0006,0.0578,6,0,5,0,5
354FL_8A_8,0.0,1.0585,0.0262,1.0847,285,92,189,0,281
354FL_8A_9,0.0,0.7246,0.0145,0.7391,161,64,92,0,156
354FL_8A_10,0.0,0.2875,0.0035,0.291,35,0,32,0,32
