Instances,UB,MP_Time,SP_Time,Time,Nbr_iterations,Nbr_feasibility_cuts,Nbr_optimality_cuts,Nbr_cover_cuts,Nbr_cuts
354FL_8A_1,0.0,4.8778,1.4894,6.3672,145,43,98,0,141
354FL_8A_2,0.0,1.7455,1.5648,3.3103,154,20,131,0,151
354FL_8A_3,0.0,2.5396,2.6903,5.2299,288,41,243,0,284
354FL_8A_4,35.0,0.1035,0.0474,0.1509,6,0,5,0,5
354FL_8A_5,0.0,2.2907,2.3169,4.6076,237,37,198,0,235
354FL_8A_6,0.0,5.0346,4.9775,10.0121,642,209,431,0,640
354FL_8A_7,105.0,0.4048,0.17,0.5748,17,0,16,0,16
354FL_8A_8,0.0,0.9237,0.7343,1.658,85,18,64,0,82
354FL_8A_9,0.0,7.6803,7.1146,14.7949,914,267,640,0,907
354FL_8A_10,0.0,0.4493,0.3549,0.8042,33,0,29,0,29
