Instances,UB,MP_Time,SP_Time,Time,Nbr_iterations,Nbr_feasibility_cuts,Nbr_optimality_cuts,Nbr_cover_cuts,Nbr_cuts
354FL_8A_1,0.0,3.2617,0.1531,3.4148,21,12,7,0,19
354FL_8A_2,0.0,0.5565,0.4272,0.9837,43,11,29,0,40
354FL_8A_3,0.0,1.6225,1.4741,3.0966,200,48,150,0,198
354FL_8A_4,35.0,0.0262,0.0092,0.0354,2,0,1,0,1
354FL_8A_5,0.0,1.2544,1.9151,3.1695,253,21,230,0,251
354FL_8A_6,0.0,1.6706,2.1857,3.8563,365,140,221,0,361
354FL_8A_7,105.0,0.1009,0.0464,0.1473,6,0,5,0,5
354FL_8A_8,0.0,1.4041,1.809,3.2131,285,92,189,0,281
354FL_8A_9,0.0,1.1623,1.3284,2.4907,161,64,92,0,156
354FL_8A_10,0.0,0.2008,0.1742,0.375,35,0,32,0,32
