Instances,UB,MP_Time,SP_Time,Time,Nbr_iterations,Nbr_feasibility_cuts,Nbr_optimality_cuts,Nbr_cover_cuts,Nbr_cuts
354FL_8A_11,0.0,2.0496,0.0012,2.0508,12,7,6,0,13
354FL_8A_12,10.0,18.9233,0.2091,19.1324,2526,617,4482,0,5099
354FL_8A_13,0.0,49.6798,0.4696,50.1494,4799,2416,7562,0,9978
354FL_8A_14,50.0,5.1629,0.0526,5.2155,627,361,853,0,1214
354FL_8A_15,0.0,171.3234,1.2785,172.6019,14885,4835,20523,0,25358
354FL_8A_16,95.0,17.1416,0.19,17.3316,1935,696,3746,0,4442
354FL_8A_17,0.0,5.9729,0.0628,6.0357,693,226,887,0,1113
354FL_8A_18,50.0,15.9726,0.1771,16.1497,1785,154,4740,0,4894
354FL_8A_19,0.0,53.6129,0.5451,54.158,5635,2699,6634,0,9333
354FL_8A_20,0.0,10.2084,0.1163,10.3247,1198,764,1347,0,2111
