Instances,UB,MP_Time,SP_Time,Time,Nbr_iterations,Nbr_feasibility_cuts,Nbr_optimality_cuts,Nbr_cover_cuts,Nbr_cuts
354FL_8A_11,0.0,6.0302,2.8177,8.8479,308,97,207,0,304
354FL_8A_12,10.0,9.6549,13.3514,23.0063,1539,248,1289,0,1537
354FL_8A_13,0.0,3.7597,5.2431,9.0028,672,166,503,0,669
354FL_8A_14,50.0,5.3342,5.9156,11.2498,814,455,354,0,809
354FL_8A_15,0.0,35.4604,38.7319,74.1923,5040,1443,3593,0,5036
354FL_8A_16,95.0,3.8359,5.3775,9.2134,789,258,528,0,786
354FL_8A_17,0.0,7.4331,9.648,17.0811,1057,355,699,0,1054
354FL_8A_18,50.0,30.0096,35.5081,65.5177,4048,856,3183,0,4039
354FL_8A_19,0.0,16.2091,18.0609,34.27,2447,1281,1161,0,2442
354FL_8A_20,10.0,108.3905,67.2486,175.6391,8870,4573,4290,0,8863
