AIRCRAFT | NBR_FLIGHTS | ROUTE | TOTAL_FLYING_TIME 
N224AK | 24 | PDX_SFO_461_593 (97.0) → SFO_SEA_644_768 (189.0) → SEA_DEN_823_1040 (329.0) → DEN_SEA_1095_1196 (462.0) → SEA_OAK_1251_1384 (566.0) → OAK_SEA_1791_1913 (658.0) → SEA_EWR_1973_2505 (982.0) → EWR_SEA_2557_2708 (1275.0) → SEA_TUS_2790_3017 (1425.0) → TUS_SEA_3689_3847 (1596.0) → SEA_MKE_4769_5134 (1813.0) → MKE_SEA_5182_5295 (2027.0) → SEA_TUS_5393_5626 (2183.0) → TUS_SEA_6231_6351 (2344.0) → SEA_GEG_6437_6493 (2381.0) → GEG_SEA_6560_6635 (2430.0) → SEA_LAS_6775_6949 (2561.0) → LAS_LAX_7002_7116 (2613.0) → LAX_EWR_7640_8142 (2878.0) → EWR_LAX_8199_8396 (3231.0) → LAX_SEA_9240_9414 (3363.0) → SEA_SJC_9463_9581 (3465.0) → SJC_SEA_9631_9753 (3567.0) → SEA_PDX_9832_9884 (3592.0) | 3592.0

N236AK | 25 | SFO_SEA_481_596 (89.0) → SEA_IND_643_1096 (337.0) → IND_SEA_1138_1210 (568.0) → SEA_FLL_1426_1935 (886.0) → FLL_PDX_2012_2204 (1230.0) → PDX_PSP_2295_2431 (1347.0) → PSP_SEA_2494_2658 (1489.0) → SEA_ANC_2816_2969 (1683.0) → ANC_SEA_3058_3310 (1856.0) → SEA_ATL_3371_3859 (2141.0) → ATL_SEA_3919_4014 (2395.0) → SEA_EWR_4902_5413 (2699.0) → EWR_SEA_5476_5645 (3006.0) → SEA_GEG_5727_5792 (3046.0) → GEG_SEA_6054_6147 (3091.0) → SEA_MKE_6209_6563 (3299.0) → MKE_SEA_6610_6741 (3527.0) → SEA_TUS_6831_7084 (3696.0) → TUS_SEA_7798_7924 (3852.0) → SEA_PHX_8009_8253 (4015.0) → PHX_SEA_8310_8424 (4160.0) → SEA_LAS_9003_9156 (4278.0) → LAS_SEA_9200_9356 (4408.0) → SEA_DEN_9427_9643 (4544.0) → DEN_SEA_9701_9807 (4679.0) | 4679.0

N272AK | 19 | SEA_CMH_621_1083 (256.0) → CMH_SEA_1129_1229 (508.0) → SEA_MKE_1891_2257 (730.0) → MKE_SEA_2304_2424 (933.0) → SEA_BNA_2497_2882 (1178.0) → BNA_SEA_3293_3452 (1423.0) → SEA_IAH_3557_3926 (1650.0) → IAH_SEA_3995_4143 (1888.0) → SEA_EWR_4697_5209 (2194.0) → EWR_SEA_5275_5445 (2507.0) → SEA_SLC_5550_5733 (2603.0) → SLC_SEA_6174_6248 (2699.0) → SEA_BOS_6325_6827 (2992.0) → BOS_SFO_6904_7137 (3376.0) → SFO_SEA_7548_7670 (3472.0) → SEA_TPA_7742_8220 (3749.0) → TPA_SEA_8304_8531 (4102.0) → SEA_PSP_9529_9682 (4231.0) → PSP_PDX_9734_9878 (4357.0) | 4357.0

N282AK | 25 | SEA_SAN_418_612 (158.0) → SAN_SEA_665_897 (296.0) → SEA_SLC_951_1143 (399.0) → SLC_SEA_1190_1250 (497.0) → SEA_AUS_1364_1735 (719.0) → AUS_SEA_1812_1935 (936.0) → SEA_MSY_2054_2477 (1209.0) → MSY_SEA_2532_2688 (1469.0) → SEA_PHX_3239_3460 (1607.0) → PHX_SEA_3537_3657 (1762.0) → SEA_MCO_3814_4320 (2070.0) → MCO_SAN_4816_4953 (2361.0) → SAN_MCO_5021_5525 (2581.0) → MCO_SEA_5577_5744 (2903.0) → SEA_SJC_6181_6335 (3013.0) → SJC_SEA_6387_6504 (3113.0) → SEA_OAK_6560_6681 (3215.0) → OAK_SEA_6732_6850 (3315.0) → SEA_LAS_7654_7817 (3449.0) → LAS_SEA_7872_8012 (3571.0) → SEA_DFW_8282_8630 (3777.0) → DFW_SEA_9112_9236 (3987.0) → SEA_ANC_9323_9490 (4192.0) → ANC_SCC_9559_9667 (4275.0) → SCC_ANC_9705_9802 (4360.0) | 4360.0

N288AK | 20 | SEA_SLC_399_578 (102.0) → SLC_SEA_651_702 (191.0) → SEA_PHX_812_1049 (349.0) → PHX_PDX_1103_1196 (481.0) → PDX_MCO_1272_1786 (786.0) → MCO_PDX_1967_2121 (1093.0) → PDX_LAX_2221_2352 (1204.0) → LAX_LAS_2498_2606 (1251.0) → LAS_ANC_2665_2929 (1550.0) → ANC_LAX_2979_3342 (1830.0) → LAX_EWR_3472_3981 (2127.0) → EWR_LAX_4047_4223 (2456.0) → LAX_SEA_4676_4839 (2594.0) → SEA_ORD_4924_5294 (2811.0) → ORD_SEA_6228_6359 (3037.0) → SEA_PDX_6443_6495 (3068.0) → PDX_SEA_6566_6621 (3097.0) → SEA_MCO_6689_7192 (3389.0) → MCO_PDX_8230_8422 (3738.0) → PDX_SFO_9064_9179 (3830.0) | 3830.0

