AIRCRAFT | NBR_FLIGHTS | ROUTE | TOTAL_FLYING_TIME 
N253AK | 24 | PDX_SAN_1088_1224 (118.0) → SAN_EWR_1921_2424 (405.0) → EWR_SAN_2525_2720 (722.0) → SAN_MCO_2776_3213 (954.0) → MCO_SAN_3378_3522 (1256.0) → SAN_MCO_3588_4038 (1500.0) → MCO_SEA_4106_4305 (1838.0) → SEA_DFW_4768_5119 (2042.0) → DFW_SEA_5176_5308 (2263.0) → SEA_BNA_5390_5766 (2502.0) → BNA_SEA_6168_6342 (2763.0) → SEA_BNA_6416_6794 (2999.0) → BNA_SEA_6863_7035 (3266.0) → SEA_ORD_7144_7505 (3468.0) → ORD_PDX_7579_7739 (3701.0) → PDX_SEA_7801_7866 (3732.0) → SEA_FAI_7922_8118 (3958.0) → FAI_SEA_8173_8431 (4131.0) → SEA_PDX_8598_8643 (4156.0) → PDX_SAN_9052_9177 (4260.0) → SAN_PDX_9257_9440 (4418.0) → PDX_SAN_9501_9633 (4527.0) → SAN_PDX_9697_9873 (4680.0) → PDX_SAN_9926_10056 (4785.0) | 4785.0

N285AK | 25 | SEA_MCO_383_879 (290.0) → MCO_SEA_962_1179 (645.0) → SEA_SAN_1246_1389 (772.0) → SAN_PDX_1858_2008 (894.0) → PDX_MCO_2102_2609 (1189.0) → MCO_PDX_2666_2848 (1531.0) → PDX_BUR_3305_3438 (1637.0) → BUR_PDX_3499_3637 (1754.0) → PDX_PSP_3710_3842 (1868.0) → PSP_PDX_3898_4062 (2005.0) → PDX_MIA_4178_4706 (2333.0) → MIA_PDX_4796_4991 (2691.0) → PDX_LAS_5076_5213 (2787.0) → LAS_SEA_5271_5453 (2932.0) → SEA_PHX_5524_5751 (3059.0) → PHX_PDX_6098_6217 (3217.0) → PDX_FLL_6295_6810 (3535.0) → FLL_SFO_6871_7072 (3878.0) → SFO_FLL_7142_7645 (4176.0) → FLL_PDX_7777_7984 (4541.0) → PDX_JFK_8085_8583 (4839.0) → JFK_SAN_9225_9415 (5179.0) → SAN_SEA_9466_9673 (5358.0) → SEA_SFO_9736_9846 (5446.0) → SFO_JFK_9976_10469 (5740.0) | 5740.0

N297AK | 26 | SAN_PDX_413_565 (130.0) → PDX_SAN_651_784 (245.0) → SAN_PDX_858_1021 (380.0) → PDX_AUS_1089_1431 (584.0) → AUS_PDX_1881_2037 (812.0) → PDX_SAN_2102_2253 (942.0) → SAN_PDX_2311_2459 (1060.0) → PDX_AUS_2528_2913 (1266.0) → AUS_PDX_3348_3467 (1483.0) → PDX_MCO_3537_4041 (1783.0) → MCO_PDX_4095_4282 (2118.0) → PDX_BUR_4749_4881 (2222.0) → BUR_PDX_4942_5103 (2353.0) → PDX_PHX_5186_5388 (2474.0) → PHX_PDX_5451_5568 (2631.0) → PDX_ANC_5655_5819 (2838.0) → ANC_SEA_5898_6158 (3016.0) → SEA_OMA_6229_6537 (3181.0) → OMA_SEA_6608_6697 (3371.0) → SEA_SLC_6784_6954 (3463.0) → SLC_SEA_7017_7110 (3575.0) → SEA_SFO_8120_8245 (3665.0) → SFO_SEA_8367_8519 (3780.0) → SEA_EWR_9010_9496 (4064.0) → EWR_SFO_9557_9750 (4412.0) → SFO_PDX_9872_9980 (4504.0) | 4504.0

N307AS | 31 | PDX_SAN_412_548 (118.0) → SAN_PDX_620_783 (258.0) → PDX_SAN_850_982 (377.0) → SAN_PDX_1057_1209 (507.0) → PDX_LAX_1264_1433 (616.0) → LAX_SEA_1799_1974 (748.0) → SEA_LAX_2044_2222 (886.0) → LAX_PDX_2278_2420 (994.0) → PDX_LAX_2496_2643 (1119.0) → LAX_SEA_3236_3402 (1258.0) → SEA_LAX_3497_3646 (1382.0) → LAX_PDX_3714_3861 (1511.0) → PDX_LAX_3933_4062 (1610.0) → LAX_PDX_4138_4308 (1751.0) → PDX_ORD_4730_5092 (1965.0) → ORD_SEA_5159_5306 (2197.0) → SEA_LAS_5400_5554 (2309.0) → LAS_SEA_5591_5765 (2452.0) → SEA_OKC_6219_6545 (2633.0) → OKC_SEA_6592_6705 (2843.0) → SEA_DEN_6779_7016 (2970.0) → DEN_SEA_7060_7200 (3140.0) → SEA_AUS_7564_7927 (3350.0) → AUS_SEA_8017_8174 (3595.0) → SEA_PHX_8273_8489 (3732.0) → PHX_SEA_8561_8682 (3891.0) → SEA_PHX_8988_9207 (4028.0) → PHX_SEA_9266_9397 (4194.0) → SEA_ABQ_9480_9716 (4348.0) → ABQ_SEA_9776_9923 (4526.0) → SEA_RDM_9996_10072 (4561.0) | 4561.0

N320AS | 33 | SJC_SEA_364_507 (106.0) → SEA_PHX_570_794 (247.0) → PHX_SEA_857_991 (412.0) → SEA_LAS_1064_1207 (522.0) → LAS_SFO_1317_1401 (588.0) → SFO_ORD_1859_2247 (820.0) → ORD_SFO_2309_2462 (1065.0) → SFO_AUS_2533_2855 (1242.0) → AUS_SFO_3432_3558 (1452.0) → SFO_SEA_3655_3795 (1561.0) → SEA_LAS_3857_4005 (1685.0) → LAS_SEA_4086_4272 (1829.0) → SEA_PHX_4668_4915 (1966.0) → PHX_SEA_4965_5107 (2141.0) → SEA_SAN_5176_5324 (2266.0) → SAN_SEA_5397_5572 (2418.0) → SEA_SLC_6187_6360 (2510.0) → SLC_SEA_6449_6557 (2622.0) → SEA_LAX_6651_6804 (2744.0) → LAX_SEA_6863_7042 (2897.0) → SEA_PDX_7152_7210 (2926.0) → PDX_SEA_7495_7564 (2958.0) → SEA_PHX_7626_7841 (3093.0) → PHX_SEA_7908_8038 (3254.0) → SEA_PHX_8109_8330 (3390.0) → PHX_SEA_8407_8537 (3554.0) → SEA_ORD_8600_8957 (3762.0) → ORD_PDX_9026_9156 (3994.0) → PDX_SEA_9262_9310 (4026.0) → SEA_BOI_9372_9523 (4088.0) → BOI_SEA_9582_9616 (4162.0) → SEA_PHX_9672_9885 (4296.0) → PHX_SEA_9941_10089 (4480.0) | 4480.0

