Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
667FL_20A_11,5.0,26.2493,0.0923,26.3416,12.0,664.0,48.0,3140.0,10.0,3198.0
667FL_20A_12,0.0,29.5934,0.1098,29.7032,12.0,674.0,243.0,3221.0,11.0,3475.0
667FL_20A_13,85.0,89.3209,0.191,89.5119,12.0,1162.0,582.0,5425.0,8.0,6015.0
667FL_20A_14,30.0,50.7579,0.1482,50.9061,12.0,1034.0,225.0,4075.0,10.0,4310.0
667FL_20A_15,25.0,36.4983,0.126,36.6243,12.0,848.0,558.0,2909.0,10.0,3477.0
667FL_20A_16,50.0,60.7936,0.2222,61.0158,11.0,1418.0,698.0,4527.0,9.0,5234.0
667FL_20A_17,65.0,58.0617,0.1593,58.221,12.0,1001.0,532.0,3591.0,9.0,4132.0
667FL_20A_18,35.0,35.2796,0.1354,35.415,12.0,761.0,246.0,3489.0,10.0,3745.0
667FL_20A_19,20.0,40.6324,0.1655,40.7979,12.0,960.0,294.0,2650.0,10.0,2954.0
667FL_20A_20,0.0,39.9081,0.1496,40.0577,12.0,907.0,262.0,3672.0,11.0,3945.0
AVERAGE,31.5,46.7095,0.1499,46.8594,11.9,942.9,368.8,3669.9,9.8,4048.5
