Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_11,0.0,1.6331,0.0068,1.6399,1.0,99.0,16.0,140.0,1.0,157.0
354FL_8A_12,10.0,2.7726,0.0277,2.8003,3.0,435.0,125.0,859.0,1.0,985.0
354FL_8A_13,0.0,2.5071,0.0263,2.5334,3.0,434.0,119.0,416.0,2.0,537.0
354FL_8A_14,50.0,1.769,0.0108,1.7798,3.0,183.0,75.0,292.0,1.0,368.0
354FL_8A_15,0.0,1.3553,0.005,1.3603,3.0,85.0,32.0,92.0,2.0,126.0
354FL_8A_16,95.0,2.311,0.025,2.336,3.0,346.0,79.0,583.0,1.0,663.0
354FL_8A_17,0.0,1.5107,0.0094,1.5201,3.0,167.0,51.0,150.0,2.0,203.0
354FL_8A_18,50.0,4.8094,0.0578,4.8672,3.0,1001.0,18.0,2009.0,1.0,2028.0
354FL_8A_19,0.0,2.3752,0.0232,2.3984,3.0,384.0,61.0,339.0,2.0,402.0
354FL_8A_20,0.0,7.1127,0.082,7.1947,3.0,1461.0,838.0,1361.0,2.0,2201.0
AVERAGE,20.5,2.8156,0.0274,2.843,2.8,459.5,141.4,624.1,1.5,767.0
