Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
354FL_8A_11,0.0,4.216,0.8329,5.0489,1.0,99.0,16.0,140.0,1.0,157.0
354FL_8A_12,10.0,7.0353,4.1699,11.2052,3.0,435.0,125.0,859.0,1.0,985.0
354FL_8A_13,0.0,6.5128,4.3406,10.8534,3.0,434.0,119.0,416.0,2.0,537.0
354FL_8A_14,50.0,4.3319,1.3131,5.645,3.0,183.0,75.0,292.0,1.0,368.0
354FL_8A_15,0.0,4.0456,0.5615,4.6071,3.0,85.0,32.0,92.0,2.0,126.0
354FL_8A_16,95.0,6.0973,3.2356,9.3329,3.0,346.0,79.0,583.0,1.0,663.0
354FL_8A_17,0.0,4.4583,1.3769,5.8352,3.0,167.0,51.0,150.0,2.0,203.0
354FL_8A_18,50.0,12.4432,9.9645,22.4077,3.0,1001.0,18.0,2009.0,1.0,2028.0
354FL_8A_19,0.0,6.6672,4.1409,10.8081,3.0,384.0,61.0,339.0,2.0,402.0
354FL_8A_20,0.0,16.9163,9.9939,26.9102,3.0,1461.0,838.0,1361.0,2.0,2201.0
AVERAGE,20.5,7.2724,3.993,11.2654,2.8,459.5,141.4,624.1,1.5,767.0
