Instances,UB,MP_Time,SP_Time,Time,Nbr_mtn,Nbr_iter,Nbr_feas_cuts,Nbr_opti_cuts,Nbr_fix_cuts,Nbr_cuts
667FL_20A_1,0.0,6.1626,5.242,11.4046,8.0,100.0,5.0,342.0,7.0,354.0
667FL_20A_2,0.0,25.3987,17.1774,42.5761,7.0,528.0,278.0,1152.0,6.0,1436.0
667FL_20A_3,0.0,14.1773,10.6517,24.829,8.0,246.0,118.0,541.0,7.0,666.0
667FL_20A_4,0.0,11.4954,9.0842,20.5796,8.0,189.0,82.0,563.0,7.0,652.0
667FL_20A_5,50.0,9.8744,7.7139,17.5883,7.0,177.0,5.0,592.0,6.0,603.0
667FL_20A_6,0.0,30.7212,24.4593,55.1805,8.0,674.0,335.0,1149.0,7.0,1491.0
667FL_20A_7,0.0,19.2132,17.791,37.0042,7.0,421.0,28.0,918.0,6.0,952.0
667FL_20A_8,35.0,25.5053,25.5221,51.0274,8.0,563.0,109.0,1595.0,6.0,1710.0
667FL_20A_9,20.0,10.6379,7.606,18.2439,8.0,184.0,74.0,528.0,6.0,608.0
667FL_20A_10,0.0,11.2837,9.0862,20.3699,8.0,205.0,43.0,379.0,7.0,429.0
AVERAGE,10.5,16.447,13.4334,29.8804,7.7,328.7,107.7,775.9,6.5,890.1
