Instances,RF_Obj,RF_Time,RF_Iter,FO_Obj,FO_Time,FO_Iter,RFFO_Time,RFFO_Iter,Nbr_mtn,Nbr_sts_used
354FL_8A_1,0.0,1.8665,5.0,0.0,0.0,0.0,1.8665,5.0,1.0,1.0
354FL_8A_2,0.0,2.6084,5.0,0.0,0.0,0.0,2.6084,5.0,1.0,1.0
354FL_8A_3,0.0,1.3473,5.0,0.0,0.0,0.0,1.3473,5.0,1.0,1.0
354FL_8A_4,35.0,0.574,5.0,35.0,0.2797,5.0,0.8537,10.0,1.0,1.0
354FL_8A_5,0.0,1.275,5.0,0.0,0.0,0.0,1.275,5.0,1.0,1.0
354FL_8A_6,0.0,8.1712,5.0,0.0,0.0,0.0,8.1712,5.0,1.0,1.0
354FL_8A_7,105.0,2.0172,5.0,105.0,0.6744,5.0,2.6916,10.0,1.0,1.0
354FL_8A_8,0.0,1.5889,5.0,0.0,0.0,0.0,1.5889,5.0,1.0,1.0
354FL_8A_9,0.0,1.6985,5.0,0.0,0.0,0.0,1.6985,5.0,1.0,1.0
354FL_8A_10,0.0,1.7663,5.0,0.0,0.0,0.0,1.7663,5.0,1.0,1.0
AVERAGE,14.0,2.2913,5.0,14.0,0.0954,1.0,2.3867,6.0,1.0,1.0
