Instances,RF_Obj,RF_Time,RF_Work_U,RF_Iter,FO_Obj,FO_Time,FO_Work_U,FO_Iter,RFFO_Time,RFFO_Work_U,RFFO_Iter,Nbr_mtn,Nbr_sts_used
667FL_20A_11,10.0,263.1397,400.0,5.0,5.0,16.4596,23.2,5.0,279.5993,423.2,10.0,10.0,4.0
667FL_20A_12,0.0,313.3261,611.7,5.0,0.0,0.0,0.0,0.0,313.3261,611.7,5.0,11.0,4.0
667FL_20A_13,115.0,613.3024,846.6,5.0,85.0,181.9597,363.0,5.0,795.2621,1209.6,10.0,12.0,4.0
667FL_20A_14,30.0,304.9234,232.5,5.0,30.0,181.9471,362.2,5.0,486.8705,594.6,10.0,9.0,2.0
667FL_20A_15,25.0,203.4256,293.0,5.0,25.0,2.0115,2.8,5.0,205.4371,295.7,10.0,12.0,3.0
667FL_20A_16,65.0,381.6381,382.0,5.0,60.0,182.1799,331.9,5.0,563.818,713.9,10.0,10.0,4.0
667FL_20A_17,90.0,372.9736,448.2,5.0,75.0,182.0386,432.0,5.0,555.0122,880.2,10.0,12.0,2.0
667FL_20A_18,60.0,762.496,795.4,5.0,35.0,182.2588,327.4,5.0,944.7548,1122.8,10.0,11.0,3.0
667FL_20A_19,50.0,420.3178,546.8,5.0,25.0,182.1283,394.4,5.0,602.4461,941.3,10.0,11.0,3.0
667FL_20A_20,0.0,384.5308,410.4,5.0,0.0,0.0,0.0,0.0,384.5308,410.4,5.0,11.0,4.0
AVERAGE,44.5,402.0073,496.7,5.0,34.0,111.0984,223.7,4.0,513.1057,720.3,9.0,10.9,3.3
