Instances,RF_Obj,RF_Time,CM_Obj,CM_Time,LB,Gap,Nodes,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_11,0.0,5.8721,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
354FL_8A_12,10.0,12.7677,10.0,91.88,10.0,0.0,36904,1,2,1
354FL_8A_13,0.0,9.4115,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
354FL_8A_14,50.0,2.4278,50.0,0.22,50.0,0.0,1,1,3,2
354FL_8A_15,5.0,27.2429,0.0,21.56,0.0,0.0,5195,1,3,2
354FL_8A_16,100.0,12.4489,95.0,26.31,95.0,0.0,7257,1,3,2
354FL_8A_17,0.0,8.1474,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
354FL_8A_18,50.0,10.5051,50.0,0.22,50.0,0.0,1,1,3,2
354FL_8A_19,20.0,18.069,0.0,73.16,0.0,0.0,32183,1,3,2
354FL_8A_20,20.0,20.952,0.0,89.48,0.0,0.0,43341,1,3,2
