Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
152FL_8A_1,0,3,0,0.0,0.0,0.0,50,1.44,1,1,1,1
152FL_8A_2,0,0,0,0.0,0.0,0.0,1,0.5,1,1,0,0
152FL_8A_3,5,4,0,4.999999999377716,0.0,100.0,8175,60.01,1,0,1,1
152FL_8A_4,0,3,0,0.0,0.0,0.0,60,1.12,1,1,1,1
152FL_8A_5,0,0,0,0.0,0.0,0.0,1,0.88,1,1,1,1
152FL_8A_6,0,0,0,0.0,0.0,0.0,283,2.09,1,1,0,0
152FL_8A_7,0,3,-1,0.0,0.0,0.0,148,2.17,0,1,1,1
152FL_8A_8,0,2,-1,0.0,0.0,0.0,4,2.72,0,1,1,1
152FL_8A_9,0,0,0,0.0,0.0,0.0,1,0.23,1,1,0,0
152FL_8A_10,10,3,0,10.0,10.0,0.0,2184,16.63,1,1,1,1
