Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_11,2905,0,4,0.0,0.0,0.0,1008,7.75,1,1,3,2
354FL_8A_12,2105,1,3,1.0,1.0,0.0,566,3.1,1,1,3,1
354FL_8A_13,1980,0,4,0.0,0.0,0.0,1,3.46,1,1,3,2
354FL_8A_14,945,0,2,0.0,0.0,0.0,1,0.92,1,1,3,2
354FL_8A_15,1460,0,2,0.0,0.0,0.0,1,1.83,1,1,3,2
354FL_8A_16,905,0,1,0.0,0.0,0.0,1,0.32,1,1,3,1
354FL_8A_17,1350,0,1,0.0,0.0,0.0,56,2.33,1,1,3,2
354FL_8A_18,1405,0,1,0.0,0.0,0.0,1,3.05,0,1,3,1
354FL_8A_19,1250,0,1,0.0,0.0,0.0,1,1.96,1,1,3,2
354FL_8A_20,1035,0,2,0.0,0.0,0.0,1,0.78,1,1,3,2
