Instances,FH,FC,DY
127FL_5A_1,N435AS : 23.0 | ,N435AS : 0.0 | ,N435AS : 0.0 | 
127FL_5A_2,N303AS : 1.0 | ,N303AS : 0.0 | ,N303AS : 0.0 | 
127FL_5A_3,N435AS : 54.0 | N548AS : 3.0 | ,N435AS : 0.0 | N548AS : 0.0 | ,N435AS : 0.0 | N548AS : 0.0 | 
127FL_5A_4,N303AS : 486.0 | N548AS : 65.0 | ,N303AS : 0.0 | N548AS : 0.0 | ,N303AS : 0.0 | N548AS : 0.0 | 
127FL_5A_5,N556AS : 235.0 | N548AS : 3.0 | ,N556AS : 0.0 | N548AS : 0.0 | ,N556AS : 0.0 | N548AS : 0.0 | 
127FL_5A_6,N435AS : 22.0 | N556AS : 281.0 | ,N435AS : 0.0 | N556AS : 0.0 | ,N435AS : 0.0 | N556AS : 0.0 | 
127FL_5A_7,N435AS : 10.0 | N548AS : 37.0 | ,N435AS : 0.0 | N548AS : 0.0 | ,N435AS : 0.0 | N548AS : 0.0 | 
127FL_5A_8,N553AS : 114.0 | N556AS : 365.0 | ,N553AS : 0.0 | N556AS : 0.0 | ,N553AS : 0.0 | N556AS : 0.0 | 
127FL_5A_9,N548AS : 23.0 | ,N548AS : 0.0 | ,N548AS : 0.0 | 
127FL_5A_10,N435AS : 2.0 | N556AS : 213.0 | ,N435AS : 0.0 | N556AS : 0.0 | ,N435AS : 0.0 | N556AS : 0.0 | 
