Instances,Arc_reduced,Node_reduced,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,0,0,23,0,0,23.0,23.0,0.0,1615,0.07,1,1,1,1
127FL_5A_2,0,0,1,0,0,1.0,1.0,0.0,956,0.08,1,1,1,1
127FL_5A_3,0,0,57,0,0,57.0,57.0,0.0,511,0.07,1,1,2,2
127FL_5A_4,0,0,551,0,0,551.0,551.0,0.0,237,0.05,1,1,2,2
127FL_5A_5,0,0,238,0,0,238.0,238.0,0.0,1,0.03,1,1,2,1
127FL_5A_6,0,0,303,0,0,303.0,303.0,0.0,971,0.07,1,1,2,2
127FL_5A_7,0,0,47,0,0,47.0,47.0,0.0,4937,0.14,1,1,2,2
127FL_5A_8,0,0,479,0,0,479.0,479.0,0.0,1,0.04,1,1,2,2
127FL_5A_9,0,0,23,0,0,22.99999999759183,23.0,0.0,1,0.05,1,1,1,1
127FL_5A_10,0,0,215,0,0,215.0,215.0,0.0,1,0.04,1,1,2,2
