Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
136FL_5A_1,34,0,0,34.0,34.0,0.0,908,0.31,1,1,2,2
136FL_5A_2,0,0,0,0.0,0.0,0.0,2364,0.35,1,1,1,1
136FL_5A_3,3,0,0,2.999999999599911,3.0,0.0,16910,1.16,1,1,2,1
136FL_5A_4,2,0,0,2.0,2.0,0.0,480583,61.49,1,1,1,1
136FL_5A_5,0,0,0,0.0,0.0,0.0,1935,0.37,1,1,1,1
136FL_5A_6,0,0,0,0.0,0.0,0.0,12473,1.37,1,1,1,1
136FL_5A_7,72,0,0,72.0,72.0,0.0,143,0.33,1,1,2,2
136FL_5A_8,8,0,0,8.0,8.0,0.0,724611,70.15,1,1,2,1
136FL_5A_9,136,0,0,136.0,136.0,0.0,3933,0.6,1,1,1,1
136FL_5A_10,0,0,0,0.0,0.0,0.0,4376,0.47,1,1,1,1
