Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
136FL_5A_1,34,0,0,33.999999996498765,34.0,0.0,8432,1.04,1,1,2,2
136FL_5A_2,0,0,0,0.0,0.0,0.0,8581,0.85,1,1,2,1
136FL_5A_3,3,0,0,2.999999999593988,3.0,0.0,11038,1.23,1,1,2,1
136FL_5A_4,2,0,0,2.0,2.0,0.0,412041,41.36,1,1,1,1
136FL_5A_5,0,0,0,0.0,0.0,0.0,1763,0.24,1,1,1,1
136FL_5A_6,0,0,0,0.0,0.0,0.0,6449,0.82,1,1,1,1
136FL_5A_7,72,0,0,71.99999999266723,72.0,0.0,1082,0.31,1,1,2,2
136FL_5A_8,8,0,0,8.0,8.0,0.0,445489,25.4,1,1,2,1
136FL_5A_9,136,0,0,136.0,136.0,0.0,5191,0.97,1,1,1,1
136FL_5A_10,0,0,0,0.0,0.0,0.0,3930,0.43,1,1,1,1
