Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
152FL_8A_11,20,6,-1,20.0,0.0,100.0,765,10.0,0,0,2,2
152FL_8A_12,40,4,0,40.0,0.0,100.0,1358,10.0,1,0,1,1
152FL_8A_13,10,3,0,10.0,0.0,100.0,1976,10.0,1,0,1,1
152FL_8A_14,75,8,0,75.0,0.0,100.0,1445,10.0,1,0,2,2
152FL_8A_15,10,3,0,10.0,0.0,100.0,1374,10.0,1,0,2,1
152FL_8A_16,145,12,-2,144.99999998534116,140.0,3.45,1246,10.0,0,0,3,2
152FL_8A_17,5,6,0,5.0,0.0,100.0,1064,10.0,1,0,3,2
152FL_8A_18,5,2,0,4.999999999394884,0.0,100.0,1091,10.0,1,0,1,1
152FL_8A_19,20,10,-2,20.0,0.0,100.0,792,10.0,0,0,3,2
152FL_8A_20,20,4,-1,20.0,0.0,100.0,1523,10.0,0,0,2,2
