Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,164.0,594.0,23.0,4.0,-1.0,23.0,23.0,0.0,1615.0,0.2,0.0,1.0,1.0,1.0
127FL_5A_2,164.0,594.0,1.0,5.0,0.0,1.0,1.0,0.0,956.0,0.1,1.0,1.0,1.0,1.0
127FL_5A_3,164.0,594.0,57.0,12.0,2.0,57.0,57.0,0.0,511.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_4,164.0,594.0,551.0,19.0,2.0,551.0,551.0,0.0,237.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_5,164.0,594.0,238.0,9.0,1.0,238.0,238.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0
127FL_5A_6,164.0,594.0,303.0,15.0,1.0,303.0,303.0,0.0,971.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_7,164.0,594.0,47.0,6.0,-2.0,47.0,47.0,0.0,4937.0,0.3,0.0,1.0,2.0,2.0
127FL_5A_8,164.0,594.0,479.0,12.0,2.0,479.0,479.0,0.0,1.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_9,164.0,594.0,23.0,2.0,0.0,23.0,23.0,0.0,1.0,0.1,1.0,1.0,1.0,1.0
127FL_5A_10,164.0,594.0,215.0,7.0,-1.0,215.0,215.0,0.0,1.0,0.1,0.0,1.0,2.0,2.0
AVERAGE,164.0,594.0,193.7,9.1,0.4,193.7,193.7,0.0,923.1,0.1,0.7,1.0,1.7,1.6
136FL_5A_1,168.0,651.0,34.0,5.0,1.0,34.0,34.0,0.0,1102.0,0.4,0.0,1.0,2.0,2.0
136FL_5A_2,168.0,651.0,0.0,6.0,0.0,0.0,0.0,0.0,14431.0,1.8,0.0,1.0,2.0,1.0
136FL_5A_3,168.0,651.0,3.0,-2.0,0.0,3.0,3.0,0.0,21651.0,2.2,0.0,1.0,2.0,1.0
136FL_5A_4,168.0,651.0,2.0,4.0,1.0,2.0,2.0,0.0,804767.0,108.9,1.0,1.0,1.0,1.0
136FL_5A_5,168.0,651.0,0.0,5.0,1.0,0.0,0.0,0.0,7029.0,1.0,1.0,1.0,1.0,1.0
136FL_5A_6,168.0,651.0,0.0,8.0,0.0,0.0,0.0,0.0,961156.0,80.3,1.0,1.0,1.0,1.0
136FL_5A_7,168.0,651.0,72.0,2.0,0.0,72.0,72.0,0.0,2564.0,0.5,0.0,1.0,2.0,2.0
136FL_5A_8,168.0,651.0,8.0,13.0,2.0,8.0,8.0,0.0,1.146898e6,82.3,1.0,1.0,2.0,1.0
136FL_5A_10,168.0,651.0,0.0,7.0,1.0,0.0,0.0,0.0,634.0,0.3,1.0,1.0,1.0,1.0
AVERAGE,168.0,651.0,13.2,5.3,0.7,13.2,13.2,0.0,328914.7,30.9,0.6,1.0,1.6,1.2
181FL_7A_1,157.0,578.0,4.0,3.0,-2.0,4.0,4.0,0.0,104228.0,13.9,0.0,1.0,2.0,2.0
181FL_7A_2,157.0,578.0,1.0,3.0,-2.0,1.0,1.0,0.0,1.577436e6,188.6,0.0,1.0,2.0,2.0
181FL_7A_3,157.0,578.0,0.0,13.0,1.0,0.0,0.0,0.0,1500.0,0.8,0.0,1.0,2.0,2.0
181FL_7A_4,157.0,578.0,49.0,9.0,1.0,49.0,49.0,0.0,17899.0,3.4,1.0,1.0,2.0,1.0
181FL_7A_5,157.0,578.0,7.0,5.0,0.0,7.0,7.0,0.0,20607.0,4.3,0.0,1.0,2.0,2.0
181FL_7A_6,157.0,578.0,1.0,5.0,0.0,1.0,1.0,0.0,7.264418e6,655.5,1.0,1.0,1.0,1.0
181FL_7A_7,157.0,578.0,15.0,8.0,0.0,15.0,15.0,0.0,20228.0,4.2,1.0,1.0,2.0,2.0
181FL_7A_8,157.0,578.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.6,1.0,1.0,1.0,1.0
181FL_7A_9,157.0,578.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,1.0,1.0
AVERAGE,157.0,578.0,8.6,5.4,-0.3,8.6,8.6,0.0,1.000702e6,96.9,0.4,1.0,1.7,1.6
