Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_21,210.0,0.0,4.0,0.0,0.0,0.0,33644.0,100.9,1.0,5.0,2.0
354FL_8A_22,175.0,0.0,4.0,0.0,0.0,0.0,2214.0,35.3,1.0,5.0,2.0
354FL_8A_23,510.0,1.0,5.0,1.0,1.0,0.0,1.0,2.8,1.0,5.0,2.0
354FL_8A_24,366.0,1.0,4.0,1.0,1.0,0.0,3527.0,45.8,1.0,5.0,2.0
354FL_8A_25,230.0,0.0,3.0,0.0,0.0,0.0,68.0,5.7,1.0,3.0,2.0
354FL_8A_26,120.0,0.0,5.0,0.0,0.0,0.0,13048.0,63.7,1.0,5.0,2.0
354FL_8A_27,415.0,1.0,5.0,1.0,1.0,0.0,292.0,3.8,1.0,5.0,2.0
354FL_8A_28,380.0,0.0,7.0,0.0,0.0,0.0,3199.0,17.7,1.0,5.0,2.0
354FL_8A_29,402.0,1.0,5.0,1.0,1.0,0.0,2890.0,21.3,1.0,5.0,2.0
354FL_8A_30,295.0,1.0,6.0,1.0,1.0,0.0,7160.0,55.3,1.0,5.0,2.0
AVERAGE,310.3,0.5,4.8,0.5,0.5,0.0,6604.3,35.2,1.0,4.8,2.0
