Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_21,135.0,1.0,1.0,1.0,0.0,100.0,1.1724096e7,18000.0,0.0,5.0,2.0
354FL_8A_22,195.0,3.0,0.0,0.0,0.0,0.0,1.253972e6,2114.7,1.0,5.0,2.0
354FL_8A_23,315.0,2.0,1.0,1.0,0.0,100.0,8.860617e6,18000.0,0.0,4.0,2.0
354FL_8A_24,270.0,5.0,1.0,1.0,0.0,100.0,1.026777e7,18000.0,0.0,5.0,2.0
354FL_8A_25,410.0,4.0,1.0,1.0,0.0,100.0,1.2956147e7,18000.0,0.0,3.0,2.0
354FL_8A_26,340.0,6.0,1.0,1.0,0.0,100.0,1.068133e7,18000.0,0.0,5.0,2.0
354FL_8A_27,381.0,5.0,1.0,1.0,0.0,100.0,1.5251171e7,18000.0,0.0,4.0,2.0
354FL_8A_28,470.0,0.0,0.0,0.0,0.0,0.0,820016.0,1338.2,1.0,5.0,2.0
354FL_8A_29,486.0,3.0,2.0,2.0,2.0,0.0,29351.0,102.3,1.0,5.0,2.0
354FL_8A_30,710.0,9.0,2.0,2.0,0.0,100.0,1.1619009e7,18000.0,0.0,5.0,2.0
AVERAGE,371.2,3.8,1.0,1.0,0.2,70.0,8.3463479e6,12955.5,0.3,4.6,2.0
