Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_21,35.0,0.0,3.0,35.0,35.0,0.0,5.304554e6,9797.9,1.0,5.0,2.0
354FL_8A_22,0.0,0.0,3.0,0.0,0.0,0.0,73975.0,230.8,1.0,5.0,2.0
354FL_8A_23,85.0,2.0,4.0,85.0,80.0,5.9,2.466909e6,18000.0,0.0,5.0,2.0
354FL_8A_24,115.0,1.0,6.0,115.0,115.0,0.0,195384.0,488.6,1.0,5.0,2.0
354FL_8A_25,0.0,2.0,3.0,0.0,0.0,0.0,57279.0,152.3,1.0,3.0,2.0
354FL_8A_26,0.0,2.0,5.0,0.0,0.0,0.0,321917.0,556.8,1.0,5.0,2.0
354FL_8A_27,130.0,1.0,3.0,130.0,130.0,0.0,30142.0,106.1,1.0,4.0,2.0
354FL_8A_28,0.0,1.0,5.0,0.0,0.0,0.0,8.970047e6,14079.1,1.0,5.0,2.0
354FL_8A_29,155.0,1.0,3.0,155.0,155.0,0.0,4707.0,48.9,1.0,5.0,2.0
354FL_8A_30,120.0,1.0,4.0,120.0,120.0,0.0,29680.0,153.8,1.0,5.0,2.0
AVERAGE,64.0,1.1,3.9,64.0,63.5,0.6,1.7454594e6,4361.4,0.9,4.7,2.0
