Instances,FH,FC,DY
127FL_5A_1,N435AS : 160 | N553AS : -281,N435AS : 1 | N553AS : 7,N435AS : 0 | N553AS : 0
127FL_5A_2,N435AS : -1142 | N303AS : 125,N435AS : 1 | N303AS : 2,N435AS : 0 | N303AS : 0
127FL_5A_3,N435AS : -374 | N548AS : -1202,N435AS : 0 | N548AS : 1,N435AS : 0 | N548AS : 0
127FL_5A_4,N303AS : -463 | N548AS : 102,N303AS : 7 | N548AS : 2,N303AS : 0 | N548AS : 0
127FL_5A_5,N556AS : -1250 | N548AS : -3,N556AS : 3 | N548AS : 1,N556AS : 0 | N548AS : 0
127FL_5A_6,N435AS : 192 | N556AS : -767,N435AS : 1 | N556AS : 3,N435AS : 0 | N556AS : 0
127FL_5A_7,N435AS : 180 | N548AS : -764,N435AS : 1 | N548AS : 5,N435AS : 0 | N548AS : 0
127FL_5A_8,N556AS : -689 | N553AS : -435,N556AS : 4 | N553AS : 0,N556AS : 0 | N553AS : 0
127FL_5A_9,N553AS : -787 | N548AS : -122,N553AS : 4 | N548AS : 0,N553AS : 0 | N548AS : 0
127FL_5A_10,N435AS : 219 | N556AS : -837,N435AS : 1 | N556AS : 2,N435AS : 0 | N556AS : 0
136FL_5A_1,N587AS : -155 | N607AS : -1183,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
136FL_5A_2,N317AS : 246 | N607AS : -114,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
136FL_5A_3,N317AS : -938 | N607AS : -392,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
136FL_5A_4,N587AS : 212 | N585AS : -1160,N587AS : 1 | N585AS : 0,N587AS : 0 | N585AS : 0
136FL_5A_5,N587AS : 305 | N607AS : -1640,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
136FL_5A_6,N587AS : -221 | N317AS : 3,N587AS : 0 | N317AS : 0,N587AS : 0 | N317AS : 0
136FL_5A_7,N587AS : -419 | N585AS : -1101,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
136FL_5A_8,N587AS : 240 | N317AS : -575,N587AS : 0 | N317AS : 0,N587AS : 0 | N317AS : 0
136FL_5A_9,N587AS : 104 | N284AK : -1128,N587AS : 2 | N284AK : 5,N587AS : 0 | N284AK : 0
136FL_5A_10,N607AS : -200 | N585AS : 18,N607AS : 0 | N585AS : 2,N607AS : 0 | N585AS : 0
181FL_7A_1,N303AS : -220 | N553AS : 90,N303AS : 0 | N553AS : 0,N303AS : 0 | N553AS : 0
181FL_7A_2,N435AS : -117 | N273AK : -701,N435AS : 0 | N273AK : 0,N435AS : 0 | N273AK : 0
181FL_7A_3,N303AS : -527 | N548AS : -987,N303AS : 0 | N548AS : 0,N303AS : 0 | N548AS : 0
181FL_7A_4,N556AS : -753 | N548AS : -438,N556AS : 1 | N548AS : 0,N556AS : 0 | N548AS : 0
181FL_7A_5,N614AS : -23 | N273AK : -900,N614AS : 0 | N273AK : 0,N614AS : 0 | N273AK : 0
181FL_7A_6,N614AS : -333 | N273AK : -355,N614AS : 0 | N273AK : 1,N614AS : 0 | N273AK : 0
181FL_7A_7,N303AS : -50 | N556AS : -333,N303AS : 0 | N556AS : 1,N303AS : 0 | N556AS : 0
181FL_7A_8,N614AS : -55 | N273AK : -648,N614AS : 2 | N273AK : 0,N614AS : 0 | N273AK : 0
181FL_7A_9,N435AS : -248 | N303AS : -913,N435AS : 0 | N303AS : 0,N435AS : 0 | N303AS : 0
181FL_7A_10,N303AS : -337 | N556AS : -1105,N303AS : 1 | N556AS : 0,N303AS : 0 | N556AS : 0
196FL_7A_1,N587AS : -449 | N585AS : -347,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_2,N585AS : -1010 | N277AK : -484,N585AS : 0 | N277AK : 0,N585AS : 0 | N277AK : 0
196FL_7A_3,N587AS : -787 | N585AS : -713,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_4,N587AS : -655 | N607AS : -681,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
196FL_7A_5,N317AS : -750 | N607AS : -67,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
196FL_7A_6,N607AS : 36 | N585AS : -977,N607AS : 0 | N585AS : 0,N607AS : 0 | N585AS : 0
196FL_7A_7,N320AS : 75 | N585AS : -1046,N320AS : 0 | N585AS : 0,N320AS : 0 | N585AS : 0
196FL_7A_8,N320AS : -729 | N284AK : -1198,N320AS : 0 | N284AK : 3,N320AS : 0 | N284AK : 0
196FL_7A_9,N587AS : -619 | N585AS : -1010,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_10,N607AS : -770 | N277AK : -303,N607AS : 0 | N277AK : 0,N607AS : 0 | N277AK : 0
