Instances,FH,FC,DY
127FL_5A_1,N435AS : 160 | N553AS : -281,N435AS : 1 | N553AS : 7,N435AS : 0 | N553AS : 0
127FL_5A_2,N435AS : -1142 | N303AS : 129,N435AS : 1 | N303AS : 2,N435AS : 0 | N303AS : 0
127FL_5A_3,N435AS : -374 | N548AS : -1202,N435AS : 0 | N548AS : 1,N435AS : 0 | N548AS : 0
127FL_5A_4,N303AS : -459 | N548AS : 98,N303AS : 7 | N548AS : 2,N303AS : 0 | N548AS : 0
127FL_5A_5,N556AS : -1250 | N548AS : 3,N556AS : 3 | N548AS : 1,N556AS : 0 | N548AS : 0
127FL_5A_6,N435AS : 192 | N556AS : -767,N435AS : 1 | N556AS : 3,N435AS : 0 | N556AS : 0
127FL_5A_7,N435AS : 180 | N548AS : -764,N435AS : 1 | N548AS : 5,N435AS : 0 | N548AS : 0
127FL_5A_8,N556AS : -689 | N553AS : -435,N556AS : 4 | N553AS : 0,N556AS : 0 | N553AS : 0
127FL_5A_9,N553AS : -787 | N548AS : -122,N553AS : 4 | N548AS : 0,N553AS : 0 | N548AS : 0
127FL_5A_10,N435AS : 219 | N556AS : -837,N435AS : 1 | N556AS : 2,N435AS : 0 | N556AS : 0
136FL_5A_1,N587AS : -155 | N607AS : -1183,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
136FL_5A_2,N317AS : 349 | N607AS : 119,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
136FL_5A_3,N317AS : -938 | N607AS : -392,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
136FL_5A_4,N587AS : 155 | N585AS : 147,N587AS : 1 | N585AS : 0,N587AS : 0 | N585AS : 0
136FL_5A_5,N587AS : 305 | N607AS : -1640,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
136FL_5A_6,N587AS : -404 | N317AS : -12,N587AS : 0 | N317AS : 0,N587AS : 0 | N317AS : 0
136FL_5A_7,N587AS : -117 | N585AS : -1229,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
136FL_5A_8,N587AS : -14 | N317AS : -971,N587AS : 0 | N317AS : 0,N587AS : 0 | N317AS : 0
136FL_5A_9,N587AS : 719 | N284AK : -1372,N587AS : 2 | N284AK : 5,N587AS : 0 | N284AK : 0
136FL_5A_10,N607AS : -200 | N585AS : 287,N607AS : 0 | N585AS : 2,N607AS : 0 | N585AS : 0
181FL_7A_1,N303AS : -220 | N553AS : 90,N303AS : 0 | N553AS : 0,N303AS : 0 | N553AS : 0
181FL_7A_2,N435AS : -117 | N273AK : -383,N435AS : 0 | N273AK : 0,N435AS : 0 | N273AK : 0
181FL_7A_3,N303AS : -673 | N548AS : -308,N303AS : 0 | N548AS : 0,N303AS : 0 | N548AS : 0
181FL_7A_4,N556AS : -926 | N548AS : -96,N556AS : 1 | N548AS : 0,N556AS : 0 | N548AS : 0
181FL_7A_5,N614AS : 172 | N273AK : -890,N614AS : 0 | N273AK : 0,N614AS : 0 | N273AK : 0
181FL_7A_6,N614AS : -333 | N273AK : -351,N614AS : 0 | N273AK : 1,N614AS : 0 | N273AK : 0
181FL_7A_7,N303AS : -51 | N556AS : -333,N303AS : 0 | N556AS : 1,N303AS : 0 | N556AS : 0
181FL_7A_8,N614AS : -102 | N273AK : -65,N614AS : 2 | N273AK : 0,N614AS : 0 | N273AK : 0
181FL_7A_9,N435AS : 158 | N303AS : -95,N435AS : 0 | N303AS : 0,N435AS : 0 | N303AS : 0
181FL_7A_10,N303AS : -418 | N556AS : -1095,N303AS : 1 | N556AS : 0,N303AS : 0 | N556AS : 0
196FL_7A_1,N587AS : -617 | N585AS : -347,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_2,N585AS : -300 | N277AK : -646,N585AS : 0 | N277AK : 0,N585AS : 0 | N277AK : 0
196FL_7A_3,N587AS : 220 | N585AS : -750,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_4,N587AS : -451 | N607AS : -1023,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
196FL_7A_5,N317AS : -750 | N607AS : -67,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
196FL_7A_6,N607AS : 37 | N585AS : -1007,N607AS : 0 | N585AS : 0,N607AS : 0 | N585AS : 0
196FL_7A_7,N320AS : 271 | N585AS : -746,N320AS : 0 | N585AS : 0,N320AS : 0 | N585AS : 0
196FL_7A_8,N320AS : -887 | N284AK : -1339,N320AS : 0 | N284AK : 3,N320AS : 0 | N284AK : 0
196FL_7A_9,N587AS : -382 | N585AS : -690,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_10,N607AS : -1131 | N277AK : -1095,N607AS : 0 | N277AK : 0,N607AS : 0 | N277AK : 0
