Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,360.0,1112.0,-121.0,8.0,0.0,2880.0,2880.0,0.0,3788.0,1.5,0.0,1.0,2.0,2.0
127FL_5A_2,360.0,1112.0,-1017.0,3.0,0.0,1080.0,1080.0,0.0,2104.0,0.4,0.0,1.0,2.0,2.0
127FL_5A_3,360.0,1112.0,-1576.0,1.0,0.0,360.0,360.0,0.0,2365.0,1.2,0.0,1.0,2.0,2.0
127FL_5A_4,360.0,1112.0,-361.0,9.0,0.0,3240.0,3240.0,0.0,18105.0,1.1,0.0,1.0,2.0,2.0
127FL_5A_5,360.0,1112.0,-1253.0,4.0,0.0,1440.0,1440.0,0.0,706.0,0.3,0.0,1.0,2.0,2.0
127FL_5A_6,360.0,1112.0,-575.0,4.0,0.0,1440.0,1440.0,0.0,479.0,0.5,0.0,1.0,2.0,2.0
127FL_5A_7,360.0,1112.0,-584.0,6.0,0.0,2160.0,2160.0,0.0,5206.0,1.3,0.0,1.0,2.0,2.0
127FL_5A_8,360.0,1112.0,-1124.0,4.0,0.0,1440.0,1440.0,0.0,107.0,0.9,0.0,1.0,2.0,2.0
127FL_5A_9,360.0,1112.0,-909.0,4.0,0.0,1440.0,1440.0,0.0,9087.0,1.0,0.0,1.0,2.0,2.0
127FL_5A_10,360.0,1112.0,-618.0,3.0,0.0,1080.0,1080.0,0.0,125.0,0.7,0.0,1.0,2.0,2.0
AVERAGE,360.0,1112.0,-813.8,4.6,0.0,1656.0,1656.0,0.0,4207.2,0.9,0.0,1.0,2.0,2.0
136FL_5A_1,377.0,1079.0,-1338.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,2.0
136FL_5A_2,377.0,1079.0,132.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,1.0,2.0,1.0
136FL_5A_3,377.0,1079.0,-1330.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,1.0,2.0,1.0
136FL_5A_4,377.0,1079.0,-948.0,1.0,0.0,377.0,377.0,0.0,1.4567089e7,1293.9,0.0,1.0,2.0,1.0
136FL_5A_5,377.0,1079.0,-1335.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,2.0,1.0
136FL_5A_6,377.0,1079.0,-218.0,0.0,0.0,0.0,0.0,0.0,3213.0,1.2,0.0,1.0,2.0,1.0
136FL_5A_7,377.0,1079.0,-1520.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,0.0,1.0,2.0,1.0
136FL_5A_8,377.0,1079.0,-335.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.0,1.0,2.0,1.0
136FL_5A_9,377.0,1079.0,-1024.0,7.0,0.0,2639.0,2639.0,0.0,1.448505e6,99.9,0.0,1.0,2.0,1.0
136FL_5A_10,377.0,1079.0,-182.0,2.0,0.0,754.0,754.0,0.0,1.317133e6,111.1,0.0,1.0,2.0,1.0
AVERAGE,377.0,1079.0,-809.8,1.0,0.0,377.0,377.0,0.0,1.7335946e6,151.2,0.0,1.0,2.0,1.1
181FL_7A_1,360.0,1112.0,-130.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,0.0,1.0,2.0,2.0
181FL_7A_2,360.0,1112.0,-818.0,0.0,0.0,0.0,0.0,0.0,406.0,1.4,0.0,1.0,2.0,2.0
181FL_7A_3,360.0,1112.0,-1514.0,0.0,0.0,0.0,0.0,0.0,18.0,3.3,0.0,1.0,2.0,1.0
181FL_7A_4,360.0,1112.0,-1191.0,1.0,0.0,360.0,360.0,0.0,1507.0,3.5,0.0,1.0,2.0,2.0
181FL_7A_5,360.0,1112.0,-923.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,0.0,1.0,2.0,1.0
181FL_7A_6,360.0,1112.0,-688.0,1.0,0.0,360.0,360.0,0.0,2.689191e6,302.6,0.0,1.0,2.0,2.0
181FL_7A_7,360.0,1112.0,-383.0,1.0,0.0,360.0,360.0,0.0,14005.0,4.6,0.0,1.0,2.0,1.0
181FL_7A_8,360.0,1112.0,-703.0,2.0,0.0,720.0,720.0,0.0,3.3749316e7,1825.6,0.0,1.0,2.0,2.0
181FL_7A_9,360.0,1112.0,-1161.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,0.0,1.0,2.0,2.0
181FL_7A_10,360.0,1112.0,-1442.0,1.0,0.0,360.0,360.0,0.0,3.27695e6,555.8,0.0,1.0,2.0,2.0
AVERAGE,360.0,1112.0,-895.3,0.6,0.0,216.0,216.0,0.0,3.9731396e6,270.1,0.0,1.0,2.0,1.7
196FL_7A_1,377.0,1079.0,-796.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,0.0,1.0,2.0,2.0
196FL_7A_2,377.0,1079.0,-1494.0,0.0,0.0,0.0,0.0,0.0,55.0,2.7,0.0,1.0,2.0,1.0
196FL_7A_3,377.0,1079.0,-1500.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,0.0,1.0,2.0,1.0
196FL_7A_4,377.0,1079.0,-1336.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.0,1.0,2.0,1.0
196FL_7A_5,377.0,1079.0,-817.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,2.0,2.0
196FL_7A_6,377.0,1079.0,-941.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,0.0,1.0,2.0,1.0
196FL_7A_7,377.0,1079.0,-971.0,0.0,0.0,0.0,0.0,0.0,1756.0,3.2,0.0,1.0,2.0,1.0
196FL_7A_8,377.0,1079.0,-1927.0,3.0,0.0,1131.0,0.0,100.0,3.370473e7,7200.3,0.0,0.0,2.0,1.0
196FL_7A_9,377.0,1079.0,-1629.0,0.0,0.0,0.0,0.0,0.0,2167.0,1.8,0.0,1.0,2.0,2.0
196FL_7A_10,377.0,1079.0,-1073.0,0.0,0.0,0.0,0.0,0.0,820.0,1.8,0.0,1.0,2.0,1.0
AVERAGE,377.0,1079.0,-1248.4,0.3,0.0,113.1,0.0,10.0,3.3709533e6,721.8,0.0,0.9,2.0,1.3
