Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,360.0,98.0,-121.0,8.0,0.0,2880.0,2880.0,0.0,6293.0,0.7,0.0,1.0,2.0,2.0
127FL_5A_2,360.0,98.0,-1017.0,3.0,0.0,1080.0,1080.0,0.0,2244.0,1.3,0.0,1.0,2.0,2.0
127FL_5A_3,360.0,98.0,-1576.0,1.0,0.0,360.0,360.0,0.0,1.0,0.5,0.0,1.0,2.0,2.0
127FL_5A_4,360.0,98.0,-351.0,9.0,0.0,3240.0,3240.0,0.0,8135.0,0.9,0.0,1.0,2.0,2.0
127FL_5A_5,360.0,98.0,-1253.0,4.0,0.0,1440.0,1440.0,0.0,1056.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_6,360.0,98.0,-622.0,4.0,0.0,1440.0,1440.0,0.0,417.0,0.4,0.0,1.0,2.0,2.0
127FL_5A_7,360.0,98.0,-582.0,6.0,0.0,2160.0,2160.0,0.0,7499.0,0.8,0.0,1.0,2.0,2.0
127FL_5A_8,360.0,98.0,-1122.0,4.0,0.0,1440.0,1440.0,0.0,162.0,0.3,0.0,1.0,2.0,2.0
127FL_5A_9,360.0,98.0,-907.0,4.0,0.0,1440.0,1440.0,0.0,15359.0,2.4,0.0,1.0,2.0,2.0
127FL_5A_10,360.0,98.0,-618.0,3.0,0.0,1080.0,1080.0,0.0,170.0,1.0,0.0,1.0,2.0,2.0
AVERAGE,360.0,98.0,-816.9,4.6,0.0,1656.0,1656.0,0.0,4133.6,0.8,0.0,1.0,2.0,2.0
136FL_5A_1,377.0,229.0,-391.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,1.0,2.0,2.0
136FL_5A_2,377.0,229.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,1.0,2.0,1.0
136FL_5A_3,377.0,229.0,-1330.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,2.0,1.0
136FL_5A_4,377.0,229.0,200.0,1.0,0.0,377.0,377.0,0.0,2.1910453e7,2121.6,0.0,1.0,2.0,1.0
