\begin{table}[htbp]
\centering
\small
\caption{Résumé des résultats - summary\_FC\_MAX\_DY\_MIN\_MAX}
\label{tab:summary-fc-max-dy-min}
\begin{tabular}{rrrrrrrrrrrrrrrrrrr}
  \hline
  \textbf{Instances} & \textbf{fh\_tk} & \textbf{fh\_day} & \textbf{FH} & \textbf{FC} & \textbf{DY} & \textbf{UB} & \textbf{Fsb} & \textbf{Gap} & \textbf{Time} & \textbf{fh\_tk} & \textbf{fh\_day} & \textbf{FH} & \textbf{FC} & \textbf{DY} & \textbf{UB} & \textbf{Fsb} & \textbf{Gap} & \textbf{Time} \\\hline
  127FL\_5A\_1 & 360.0 & 98.0 & -121.0 & 8.0 & 0.0 & 2880.0 & 0.0 & 0.0 & 0.7 & 360.0 & 1112.0 & -121.0 & 8.0 & 0.0 & 2880.0 & 0.0 & 0.0 & 1.5 \\
  127FL\_5A\_2 & 360.0 & 98.0 & -1017.0 & 3.0 & 0.0 & 1080.0 & 0.0 & 0.0 & 1.3 & 360.0 & 1112.0 & -1017.0 & 3.0 & 0.0 & 1080.0 & 0.0 & 0.0 & 0.4 \\
  127FL\_5A\_3 & 360.0 & 98.0 & -1576.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 0.5 & 360.0 & 1112.0 & -1576.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 1.2 \\
  127FL\_5A\_4 & 360.0 & 98.0 & -351.0 & 9.0 & 0.0 & 3240.0 & 0.0 & 0.0 & 0.9 & 360.0 & 1112.0 & -361.0 & 9.0 & 0.0 & 3240.0 & 0.0 & 0.0 & 1.1 \\
  127FL\_5A\_5 & 360.0 & 98.0 & -1253.0 & 4.0 & 0.0 & 1440.0 & 0.0 & 0.0 & 0.2 & 360.0 & 1112.0 & -1253.0 & 4.0 & 0.0 & 1440.0 & 0.0 & 0.0 & 0.3 \\
  127FL\_5A\_6 & 360.0 & 98.0 & -622.0 & 4.0 & 0.0 & 1440.0 & 0.0 & 0.0 & 0.4 & 360.0 & 1112.0 & -575.0 & 4.0 & 0.0 & 1440.0 & 0.0 & 0.0 & 0.5 \\
  127FL\_5A\_7 & 360.0 & 98.0 & -582.0 & 6.0 & 0.0 & 2160.0 & 0.0 & 0.0 & 0.8 & 360.0 & 1112.0 & -584.0 & 6.0 & 0.0 & 2160.0 & 0.0 & 0.0 & 1.3 \\
  127FL\_5A\_8 & 360.0 & 98.0 & -1122.0 & 4.0 & 0.0 & 1440.0 & 0.0 & 0.0 & 0.3 & 360.0 & 1112.0 & -1124.0 & 4.0 & 0.0 & 1440.0 & 0.0 & 0.0 & 0.9 \\
  127FL\_5A\_9 & 360.0 & 98.0 & -907.0 & 4.0 & 0.0 & 1440.0 & 0.0 & 0.0 & 2.4 & 360.0 & 1112.0 & -909.0 & 4.0 & 0.0 & 1440.0 & 0.0 & 0.0 & 1.0 \\
  127FL\_5A\_10 & 360.0 & 98.0 & -618.0 & 3.0 & 0.0 & 1080.0 & 0.0 & 0.0 & 1.0 & 360.0 & 1112.0 & -618.0 & 3.0 & 0.0 & 1080.0 & 0.0 & 0.0 & 0.7 \\
  \textbf{AVERAGE} & \textbf{360.0} & \textbf{98.0} & \textbf{-816.9} & \textbf{4.6} & \textbf{0.0} & \textbf{1656.0} & \textbf{0.0} & \textbf{0.0} & \textbf{0.8} & \textbf{360.0} & \textbf{1112.0} & \textbf{-813.8} & \textbf{4.6} & \textbf{0.0} & \textbf{1656.0} & \textbf{0.0} & \textbf{0.0} & \textbf{0.9} \\
  136FL\_5A\_1 & 377.0 & 229.0 & -391.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.6 & 377.0 & 1079.0 & -1338.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.4 \\
  136FL\_5A\_2 & 377.0 & 229.0 & 47.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.9 & 377.0 & 1079.0 & 132.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.5 \\
  136FL\_5A\_3 & 377.0 & 229.0 & -1330.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.3 & 377.0 & 1079.0 & -1330.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.7 \\
  136FL\_5A\_4 & 377.0 & 229.0 & 200.0 & 1.0 & 0.0 & 377.0 & 0.0 & 0.0 & 2121.6 & 377.0 & 1079.0 & -948.0 & 1.0 & 0.0 & 377.0 & 0.0 & 0.0 & 1293.9 \\
  136FL\_5A\_5 & 377.0 & 229.0 & -1335.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.9 & 377.0 & 1079.0 & -1335.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.1 \\
  136FL\_5A\_6 & 377.0 & 229.0 & -470.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 2.7 & 377.0 & 1079.0 & -218.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.2 \\
  136FL\_5A\_7 & 377.0 & 229.0 & -1700.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.7 & 377.0 & 1079.0 & -1520.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.1 \\
  136FL\_5A\_8 & 377.0 & 229.0 & -1254.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 & 377.0 & 1079.0 & -335.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.6 \\
  136FL\_5A\_9 & 377.0 & 229.0 & -604.0 & 7.0 & 0.0 & 2639.0 & 0.0 & 0.0 & 1367.0 & 377.0 & 1079.0 & -1024.0 & 7.0 & 0.0 & 2639.0 & 0.0 & 0.0 & 99.9 \\
  136FL\_5A\_10 & 377.0 & 229.0 & 45.0 & 2.0 & 0.0 & 754.0 & 0.0 & 0.0 & 331.6 & 377.0 & 1079.0 & -182.0 & 2.0 & 0.0 & 754.0 & 0.0 & 0.0 & 111.1 \\
  \textbf{AVERAGE} & \textbf{377.0} & \textbf{229.0} & \textbf{-679.2} & \textbf{1.0} & \textbf{0.0} & \textbf{377.0} & \textbf{0.0} & \textbf{0.0} & \textbf{382.7} & \textbf{377.0} & \textbf{1079.0} & \textbf{-809.8} & \textbf{1.0} & \textbf{0.0} & \textbf{377.0} & \textbf{0.0} & \textbf{0.0} & \textbf{151.2} \\
  181FL\_7A\_1 & 360.0 & 98.0 & -433.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.3 & 360.0 & 1112.0 & -130.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.1 \\
  181FL\_7A\_2 & 360.0 & 98.0 & -818.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 2.0 & 360.0 & 1112.0 & -818.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.4 \\
  181FL\_7A\_3 & 360.0 & 98.0 & -1345.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.6 & 360.0 & 1112.0 & -1514.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 3.3 \\
  181FL\_7A\_4 & 360.0 & 98.0 & -1024.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 2.1 & 360.0 & 1112.0 & -1191.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 3.5 \\
  181FL\_7A\_5 & 360.0 & 98.0 & -912.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.4 & 360.0 & 1112.0 & -923.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.3 \\
  181FL\_7A\_6 & 360.0 & 98.0 & -687.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 358.3 & 360.0 & 1112.0 & -688.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 302.6 \\
  181FL\_7A\_7 & 360.0 & 98.0 & -326.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 10.0 & 360.0 & 1112.0 & -383.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 4.6 \\
  181FL\_7A\_8 & 360.0 & 98.0 & -692.0 & 2.0 & 0.0 & 720.0 & 0.0 & 0.0 & 928.3 & 360.0 & 1112.0 & -703.0 & 2.0 & 0.0 & 720.0 & 0.0 & 0.0 & 1825.6 \\
  181FL\_7A\_9 & 360.0 & 98.0 & -1236.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.7 & 360.0 & 1112.0 & -1161.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 2.1 \\
  181FL\_7A\_10 & 360.0 & 98.0 & -872.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 678.1 & 360.0 & 1112.0 & -1442.0 & 1.0 & 0.0 & 360.0 & 0.0 & 0.0 & 555.8 \\
  \textbf{AVERAGE} & \textbf{360.0} & \textbf{98.0} & \textbf{-834.5} & \textbf{0.6} & \textbf{0.0} & \textbf{216.0} & \textbf{0.0} & \textbf{0.0} & \textbf{198.5} & \textbf{360.0} & \textbf{1112.0} & \textbf{-895.3} & \textbf{0.6} & \textbf{0.0} & \textbf{216.0} & \textbf{0.0} & \textbf{0.0} & \textbf{270.1} \\
  196FL\_7A\_1 & 377.0 & 229.0 & -369.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.6 & 377.0 & 1079.0 & -796.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 2.4 \\
  196FL\_7A\_2 & 377.0 & 229.0 & -1010.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.3 & 377.0 & 1079.0 & -1494.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 2.7 \\
  196FL\_7A\_3 & 377.0 & 229.0 & -477.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.6 & 377.0 & 1079.0 & -1500.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 2.7 \\
  196FL\_7A\_4 & 377.0 & 229.0 & -654.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.1 & 377.0 & 1079.0 & -1336.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.6 \\
  196FL\_7A\_5 & 377.0 & 229.0 & -561.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 & 377.0 & 1079.0 & -817.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.3 \\
  196FL\_7A\_6 & 377.0 & 229.0 & -1030.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.2 & 377.0 & 1079.0 & -941.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.3 \\
  196FL\_7A\_7 & 377.0 & 229.0 & -70.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.5 & 377.0 & 1079.0 & -971.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 3.2 \\
  196FL\_7A\_8 & 377.0 & 229.0 & -2011.0 & 3.0 & 0.0 & 1131.0 & 0.0 & 100.0 & 7200.0 & 377.0 & 1079.0 & -1927.0 & 3.0 & 0.0 & 1131.0 & 0.0 & 100.0 & 7200.3 \\
  196FL\_7A\_9 & 377.0 & 229.0 & -1069.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 2.4 & 377.0 & 1079.0 & -1629.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.8 \\
  196FL\_7A\_10 & 377.0 & 229.0 & -1424.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 & 377.0 & 1079.0 & -1073.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.8 \\
  \textbf{AVERAGE} & \textbf{377.0} & \textbf{229.0} & \textbf{-867.5} & \textbf{0.3} & \textbf{0.0} & \textbf{113.1} & \textbf{0.0} & \textbf{10.0} & \textbf{721.2} & \textbf{377.0} & \textbf{1079.0} & \textbf{-1248.4} & \textbf{0.3} & \textbf{0.0} & \textbf{113.1} & \textbf{0.0} & \textbf{10.0} & \textbf{721.8} \\\hline
\end{tabular}
\end{table}
