Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,34.0,1112.0,-121.0,8.0,0.0,272.0,272.0,0.0,7308.0,1.2,0.0,1.0,2.0,2.0
127FL_5A_2,34.0,1112.0,-966.0,3.0,0.0,102.0,102.0,0.0,1593.0,0.3,0.0,1.0,2.0,2.0
127FL_5A_3,34.0,1112.0,-1576.0,1.0,0.0,34.0,34.0,0.0,2365.0,0.9,0.0,1.0,2.0,2.0
127FL_5A_4,34.0,1112.0,-361.0,9.0,0.0,306.0,306.0,0.0,19069.0,0.7,0.0,1.0,2.0,2.0
127FL_5A_5,34.0,1112.0,-1247.0,4.0,0.0,136.0,136.0,0.0,1586.0,0.3,0.0,1.0,2.0,2.0
127FL_5A_6,34.0,1112.0,-622.0,4.0,0.0,136.0,136.0,0.0,495.0,0.5,0.0,1.0,2.0,2.0
127FL_5A_7,34.0,1112.0,-582.0,6.0,0.0,204.0,204.0,0.0,6687.0,1.5,0.0,1.0,2.0,2.0
127FL_5A_8,34.0,1112.0,-1124.0,4.0,0.0,136.0,136.0,0.0,7.0,0.7,0.0,1.0,2.0,2.0
127FL_5A_9,34.0,1112.0,-907.0,4.0,0.0,136.0,136.0,0.0,9098.0,1.0,0.0,1.0,2.0,2.0
127FL_5A_10,34.0,1112.0,-618.0,3.0,0.0,102.0,102.0,0.0,1.0,0.4,0.0,1.0,2.0,2.0
AVERAGE,34.0,1112.0,-812.4,4.6,0.0,156.4,156.4,0.0,4820.9,0.7,0.0,1.0,2.0,2.0
136FL_5A_1,16.0,1079.0,-1338.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,1.0,2.0,2.0
136FL_5A_2,16.0,1079.0,-278.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.0,1.0,2.0,1.0
136FL_5A_3,16.0,1079.0,-1330.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,1.0
136FL_5A_4,16.0,1079.0,335.0,1.0,0.0,16.0,16.0,0.0,7.524144e6,874.4,0.0,1.0,2.0,1.0
136FL_5A_5,16.0,1079.0,-1335.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,1.0
136FL_5A_6,16.0,1079.0,-416.0,0.0,0.0,0.0,0.0,0.0,548.0,2.4,0.0,1.0,2.0,1.0
136FL_5A_7,16.0,1079.0,-1582.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,0.0,1.0,2.0,1.0
136FL_5A_8,16.0,1079.0,-985.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,2.0,1.0
136FL_5A_9,16.0,1079.0,-1011.0,7.0,0.0,112.0,112.0,0.0,5.233619e6,491.8,0.0,1.0,2.0,1.0
