Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,34.0,98.0,-121.0,8.0,0.0,272.0,272.0,0.0,8177.0,0.7,0.0,1.0,2.0,2.0
127FL_5A_2,34.0,98.0,-1013.0,3.0,0.0,102.0,102.0,0.0,2496.0,0.4,0.0,1.0,2.0,2.0
127FL_5A_3,34.0,98.0,-1576.0,1.0,0.0,34.0,34.0,0.0,2365.0,0.7,0.0,1.0,2.0,2.0
127FL_5A_4,34.0,98.0,-361.0,9.0,0.0,306.0,306.0,0.0,12729.0,0.6,0.0,1.0,2.0,2.0
127FL_5A_5,34.0,98.0,-1247.0,4.0,0.0,136.0,136.0,0.0,2352.0,0.8,0.0,1.0,2.0,2.0
127FL_5A_6,34.0,98.0,-575.0,4.0,0.0,136.0,136.0,0.0,400.0,1.9,0.0,1.0,2.0,2.0
127FL_5A_7,34.0,98.0,-584.0,6.0,0.0,204.0,204.0,0.0,5810.0,0.6,0.0,1.0,2.0,2.0
127FL_5A_8,34.0,98.0,-1124.0,4.0,0.0,136.0,136.0,0.0,1.0,0.3,0.0,1.0,2.0,2.0
127FL_5A_9,34.0,98.0,-909.0,4.0,0.0,136.0,136.0,0.0,10374.0,1.5,0.0,1.0,2.0,2.0
127FL_5A_10,34.0,98.0,-618.0,3.0,0.0,102.0,102.0,0.0,238.0,1.1,0.0,1.0,2.0,2.0
AVERAGE,34.0,98.0,-812.8,4.6,0.0,156.4,156.4,0.0,4494.2,0.8,0.0,1.0,2.0,2.0
136FL_5A_1,16.0,229.0,-1338.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,2.0,2.0
136FL_5A_2,16.0,229.0,468.0,0.0,0.0,0.0,0.0,0.0,383.0,1.3,1.0,1.0,2.0,1.0
136FL_5A_3,16.0,229.0,-1330.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,2.0,1.0
136FL_5A_4,16.0,229.0,302.0,1.0,0.0,16.0,16.0,0.0,1.7424615e7,1620.3,1.0,1.0,2.0,1.0
136FL_5A_5,16.0,229.0,-1335.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,1.0,2.0,1.0
136FL_5A_6,16.0,229.0,-416.0,0.0,0.0,0.0,0.0,0.0,548.0,1.8,0.0,1.0,2.0,1.0
136FL_5A_7,16.0,229.0,-1346.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.0,1.0,2.0,2.0
136FL_5A_8,16.0,229.0,-985.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,1.0,2.0,1.0
136FL_5A_9,16.0,229.0,-653.0,7.0,0.0,112.0,112.0,0.0,1.7609703e7,1129.2,0.0,1.0,2.0,1.0
136FL_5A_10,16.0,229.0,87.0,2.0,0.0,32.0,32.0,0.0,564788.0,62.7,0.0,1.0,2.0,1.0
AVERAGE,16.0,229.0,-654.6,1.0,0.0,16.0,16.0,0.0,3.5600042e6,281.9,0.2,1.0,2.0,1.2
181FL_7A_1,25.0,98.0,-130.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,0.0,1.0,2.0,2.0
181FL_7A_2,25.0,98.0,-500.0,0.0,0.0,0.0,0.0,0.0,125.0,2.8,0.0,1.0,2.0,1.0
181FL_7A_3,25.0,98.0,-981.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,1.0,2.0,2.0
181FL_7A_4,25.0,98.0,-1022.0,1.0,0.0,25.0,25.0,0.0,2060.0,2.2,0.0,1.0,2.0,2.0
181FL_7A_5,25.0,98.0,-718.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8,0.0,1.0,2.0,2.0
181FL_7A_6,25.0,98.0,-684.0,1.0,0.0,25.0,25.0,0.0,3.028884e6,300.0,0.0,1.0,2.0,2.0
181FL_7A_7,25.0,98.0,-384.0,1.0,0.0,25.0,25.0,0.0,34175.0,8.8,0.0,1.0,2.0,1.0
181FL_7A_8,25.0,98.0,-167.0,2.0,0.0,50.0,50.0,0.0,8.874397e6,688.6,0.0,1.0,2.0,2.0
181FL_7A_9,25.0,98.0,63.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,0.0,1.0,2.0,2.0
181FL_7A_10,25.0,98.0,-1513.0,1.0,0.0,25.0,25.0,0.0,1.549675e6,272.2,0.0,1.0,2.0,2.0
AVERAGE,25.0,98.0,-603.6,0.6,0.0,15.0,15.0,0.0,1.348932e6,128.1,0.0,1.0,2.0,1.8
