Instances,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,1112.0,195.0,12.0,0.0,195.0,195.0,0.0,888.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_2,1112.0,137.0,11.0,0.0,137.0,137.0,0.0,717.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_3,1112.0,131.0,7.0,0.0,131.0,131.0,0.0,1579.0,0.3,1.0,1.0,2.0,1.0
127FL_5A_4,1112.0,551.0,20.0,2.0,2775.0,2775.0,0.0,1.0,0.5,1.0,1.0,2.0,1.0
127FL_5A_5,1112.0,238.0,9.0,1.0,1350.0,1350.0,0.0,1.0,0.3,1.0,1.0,2.0,1.0
127FL_5A_6,1112.0,303.0,15.0,1.0,1415.0,1415.0,0.0,5.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_7,1112.0,87.0,9.0,0.0,87.0,87.0,0.0,954.0,0.3,1.0,1.0,2.0,1.0
127FL_5A_8,1112.0,484.0,13.0,1.0,1596.0,1596.0,0.0,1.0,0.4,1.0,1.0,2.0,2.0
127FL_5A_9,1112.0,41.0,7.0,0.0,41.0,41.0,0.0,1.0,0.6,1.0,1.0,2.0,1.0
127FL_5A_10,1112.0,300.0,11.0,1.0,1412.0,1412.0,0.0,1.0,0.7,1.0,1.0,2.0,2.0
AVERAGE,1112.0,246.7,11.4,0.6,913.9,913.9,0.0,414.8,0.4,1.0,1.0,2.0,1.5
136FL_5A_1,1079.0,34.0,5.0,1.0,1113.0,1113.0,0.0,7499.0,3.1,0.0,1.0,2.0,2.0
136FL_5A_2,1079.0,1.0,6.0,0.0,1.0,1.0,0.0,480102.0,105.7,1.0,1.0,2.0,1.0
136FL_5A_3,1079.0,63.0,-2.0,0.0,63.0,63.0,0.0,39147.0,6.8,0.0,1.0,2.0,1.0
136FL_5A_4,1079.0,6.0,9.0,0.0,6.0,6.0,0.0,72785.0,20.0,1.0,1.0,2.0,1.0
136FL_5A_5,1079.0,3.0,7.0,0.0,3.0,3.0,0.0,558240.0,128.3,1.0,1.0,2.0,1.0
136FL_5A_6,1079.0,3.0,6.0,0.0,3.0,3.0,0.0,1.191376e6,171.5,1.0,1.0,2.0,1.0
136FL_5A_7,1079.0,72.0,8.0,0.0,72.0,72.0,0.0,5286.0,1.0,0.0,1.0,2.0,2.0
136FL_5A_8,1079.0,20.0,1.0,0.0,20.0,20.0,0.0,27810.0,4.1,1.0,1.0,2.0,1.0
136FL_5A_9,1079.0,139.0,22.0,2.0,2297.0,2297.0,0.0,53886.0,8.6,1.0,1.0,2.0,1.0
