Instances,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,594.0,195.0,12.0,0.0,195.0,195.0,0.0,1696.0,0.4,1.0,1.0,2.0,2.0
127FL_5A_2,594.0,137.0,11.0,0.0,137.0,137.0,0.0,646.0,0.3,1.0,1.0,2.0,2.0
127FL_5A_3,594.0,131.0,7.0,0.0,131.0,131.0,0.0,1845.0,0.4,1.0,1.0,2.0,1.0
127FL_5A_4,594.0,551.0,20.0,2.0,1739.0,1739.0,0.0,1.0,0.8,1.0,1.0,2.0,1.0
127FL_5A_5,594.0,238.0,9.0,1.0,832.0,832.0,0.0,1.0,0.4,1.0,1.0,2.0,1.0
127FL_5A_6,594.0,303.0,15.0,1.0,897.0,897.0,0.0,111.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_7,594.0,87.0,9.0,0.0,87.0,87.0,0.0,913.0,0.7,1.0,1.0,2.0,1.0
127FL_5A_8,594.0,484.0,13.0,1.0,1078.0,1078.0,0.0,1.0,0.7,1.0,1.0,2.0,2.0
127FL_5A_9,594.0,41.0,7.0,0.0,41.0,41.0,0.0,1.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_10,594.0,300.0,11.0,1.0,894.0,894.0,0.0,1.0,0.3,1.0,1.0,2.0,2.0
AVERAGE,594.0,246.7,11.4,0.6,603.1,603.1,0.0,521.6,0.5,1.0,1.0,2.0,1.5
136FL_5A_1,651.0,34.0,5.0,1.0,685.0,685.0,0.0,4730.0,2.9,0.0,1.0,2.0,2.0
136FL_5A_2,651.0,1.0,6.0,0.0,1.0,1.0,0.0,462979.0,118.6,1.0,1.0,2.0,1.0
136FL_5A_3,651.0,63.0,-2.0,0.0,63.0,63.0,0.0,18455.0,4.0,0.0,1.0,2.0,1.0
136FL_5A_4,651.0,6.0,9.0,0.0,6.0,6.0,0.0,13389.0,3.8,1.0,1.0,2.0,1.0
136FL_5A_5,651.0,3.0,7.0,0.0,3.0,3.0,0.0,447225.0,83.6,1.0,1.0,2.0,1.0
136FL_5A_6,651.0,3.0,6.0,0.0,3.0,3.0,0.0,1.191376e6,162.3,1.0,1.0,2.0,1.0
136FL_5A_7,651.0,72.0,4.0,0.0,72.0,72.0,0.0,6040.0,1.9,0.0,1.0,2.0,2.0
136FL_5A_8,651.0,20.0,1.0,0.0,20.0,20.0,0.0,46533.0,9.2,1.0,1.0,2.0,1.0
136FL_5A_9,651.0,139.0,22.0,2.0,1441.0,1441.0,0.0,103310.0,15.0,1.0,1.0,2.0,1.0
136FL_5A_10,651.0,0.0,4.0,0.0,0.0,0.0,0.0,11985.0,2.4,0.0,1.0,2.0,1.0
AVERAGE,651.0,34.1,6.2,0.3,229.4,229.4,0.0,230602.2,40.4,0.6,1.0,2.0,1.2
181FL_7A_1,578.0,15.0,4.0,0.0,15.0,15.0,0.0,16508.0,8.3,1.0,1.0,2.0,2.0
181FL_7A_2,578.0,3.0,5.0,0.0,3.0,3.0,0.0,20628.0,7.2,1.0,1.0,2.0,2.0
181FL_7A_3,578.0,5.0,9.0,1.0,583.0,583.0,0.0,60470.0,19.8,1.0,1.0,2.0,2.0
181FL_7A_4,578.0,49.0,9.0,1.0,627.0,627.0,0.0,5332.0,2.6,1.0,1.0,2.0,1.0
181FL_7A_5,578.0,86.0,7.0,0.0,86.0,86.0,0.0,22428.0,9.8,1.0,1.0,2.0,2.0
181FL_7A_6,578.0,4.0,8.0,0.0,4.0,4.0,0.0,311061.0,95.6,1.0,1.0,2.0,2.0
181FL_7A_7,578.0,15.0,8.0,0.0,15.0,15.0,0.0,18599.0,8.3,1.0,1.0,2.0,2.0
181FL_7A_8,578.0,5.0,11.0,0.0,5.0,5.0,0.0,543248.0,61.9,1.0,1.0,2.0,2.0
181FL_7A_9,578.0,0.0,8.0,0.0,0.0,0.0,0.0,31423.0,9.5,1.0,1.0,2.0,2.0
181FL_7A_10,578.0,0.0,12.0,0.0,0.0,0.0,0.0,3029.0,1.4,1.0,1.0,2.0,2.0
