Instances,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,566.0,195.0,12.0,0.0,195.0,195.0,0.0,861.0,0.5,1.0,1.0,2.0,2.0
127FL_5A_2,566.0,137.0,11.0,0.0,137.0,137.0,0.0,869.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_3,566.0,131.0,7.0,0.0,131.0,131.0,0.0,2359.0,0.3,1.0,1.0,2.0,1.0
127FL_5A_4,566.0,551.0,20.0,2.0,1683.0,1683.0,0.0,1.0,0.3,1.0,1.0,2.0,1.0
127FL_5A_5,566.0,238.0,9.0,1.0,804.0,804.0,0.0,1.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_6,566.0,303.0,15.0,1.0,869.0,869.0,0.0,149.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_7,566.0,87.0,9.0,0.0,87.0,87.0,0.0,1684.0,0.5,1.0,1.0,2.0,1.0
127FL_5A_8,566.0,484.0,13.0,1.0,1050.0,1050.0,0.0,171.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_9,566.0,41.0,7.0,0.0,41.0,41.0,0.0,1.0,0.3,1.0,1.0,2.0,1.0
127FL_5A_10,566.0,300.0,11.0,1.0,866.0,866.0,0.0,1.0,0.3,1.0,1.0,2.0,2.0
AVERAGE,566.0,246.7,11.4,0.6,586.3,586.3,0.0,609.7,0.3,1.0,1.0,2.0,1.5
136FL_5A_1,676.0,34.0,5.0,1.0,710.0,710.0,0.0,12593.0,3.5,0.0,1.0,2.0,2.0
136FL_5A_2,676.0,1.0,6.0,0.0,1.0,1.0,0.0,363972.0,63.0,1.0,1.0,2.0,1.0
136FL_5A_3,676.0,63.0,-2.0,0.0,63.0,63.0,0.0,17080.0,3.7,0.0,1.0,2.0,1.0
136FL_5A_4,676.0,6.0,9.0,0.0,6.0,6.0,0.0,27185.0,7.0,1.0,1.0,2.0,1.0
136FL_5A_5,676.0,3.0,7.0,0.0,3.0,3.0,0.0,328260.0,76.7,1.0,1.0,2.0,1.0
136FL_5A_6,676.0,3.0,6.0,0.0,3.0,3.0,0.0,1.191376e6,158.8,1.0,1.0,2.0,1.0
136FL_5A_7,676.0,72.0,4.0,0.0,72.0,72.0,0.0,1610.0,1.2,0.0,1.0,2.0,2.0
136FL_5A_8,676.0,20.0,1.0,0.0,20.0,20.0,0.0,47209.0,11.3,1.0,1.0,2.0,1.0
136FL_5A_9,676.0,139.0,22.0,2.0,1491.0,1491.0,0.0,86855.0,13.2,1.0,1.0,2.0,1.0
136FL_5A_10,676.0,0.0,9.0,0.0,0.0,0.0,0.0,7768.0,2.0,1.0,1.0,2.0,1.0
AVERAGE,676.0,34.1,6.7,0.3,236.9,236.9,0.0,208390.8,34.0,0.7,1.0,2.0,1.2
181FL_7A_1,564.0,15.0,4.0,0.0,15.0,15.0,0.0,16508.0,8.7,1.0,1.0,2.0,2.0
181FL_7A_2,564.0,3.0,4.0,0.0,3.0,3.0,0.0,118100.0,27.0,1.0,1.0,2.0,1.0
181FL_7A_3,564.0,5.0,9.0,1.0,569.0,569.0,0.0,184369.0,57.4,1.0,1.0,2.0,2.0
181FL_7A_4,564.0,49.0,9.0,1.0,613.0,613.0,0.0,6185.0,3.2,1.0,1.0,2.0,1.0
181FL_7A_5,564.0,86.0,7.0,0.0,86.0,86.0,0.0,20543.0,9.1,1.0,1.0,2.0,2.0
