Instances,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,98.0,195.0,12.0,0.0,195.0,195.0,0.0,1376.0,0.5,1.0,1.0,2.0,2.0
127FL_5A_2,98.0,137.0,11.0,0.0,137.0,137.0,0.0,697.0,0.3,1.0,1.0,2.0,2.0
127FL_5A_3,98.0,131.0,7.0,0.0,131.0,131.0,0.0,1640.0,0.3,1.0,1.0,2.0,1.0
127FL_5A_4,98.0,551.0,20.0,2.0,747.0,747.0,0.0,1.0,0.6,1.0,1.0,2.0,1.0
127FL_5A_5,98.0,238.0,9.0,1.0,336.0,336.0,0.0,1.0,0.5,1.0,1.0,2.0,1.0
127FL_5A_6,98.0,303.0,15.0,1.0,401.0,401.0,0.0,28.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_7,98.0,87.0,9.0,0.0,87.0,87.0,0.0,2398.0,0.5,1.0,1.0,2.0,1.0
127FL_5A_8,98.0,484.0,13.0,1.0,582.0,582.0,0.0,141.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_9,98.0,41.0,7.0,0.0,41.0,41.0,0.0,1.0,0.4,1.0,1.0,2.0,1.0
127FL_5A_10,98.0,300.0,11.0,1.0,398.0,398.0,0.0,1.0,0.5,1.0,1.0,2.0,2.0
AVERAGE,98.0,246.7,11.4,0.6,305.5,305.5,0.0,628.4,0.4,1.0,1.0,2.0,1.5
136FL_5A_1,229.0,34.0,5.0,1.0,263.0,263.0,0.0,18284.0,3.4,0.0,1.0,2.0,2.0
136FL_5A_2,229.0,1.0,6.0,0.0,1.0,1.0,0.0,455245.0,114.4,1.0,1.0,2.0,1.0
136FL_5A_3,229.0,63.0,-2.0,0.0,63.0,63.0,0.0,20729.0,3.6,0.0,1.0,2.0,1.0
136FL_5A_4,229.0,6.0,9.0,0.0,6.0,6.0,0.0,32479.0,9.0,1.0,1.0,2.0,1.0
136FL_5A_5,229.0,3.0,7.0,0.0,3.0,3.0,0.0,368151.0,84.1,1.0,1.0,2.0,1.0
136FL_5A_6,229.0,3.0,6.0,0.0,3.0,3.0,0.0,249947.0,61.1,1.0,1.0,2.0,1.0
136FL_5A_7,229.0,72.0,4.0,0.0,72.0,72.0,0.0,12510.0,3.4,0.0,1.0,2.0,2.0
136FL_5A_8,229.0,20.0,1.0,0.0,20.0,20.0,0.0,48697.0,7.8,1.0,1.0,2.0,1.0
136FL_5A_9,229.0,139.0,22.0,2.0,597.0,597.0,0.0,100612.0,16.2,1.0,1.0,2.0,1.0
136FL_5A_10,229.0,0.0,4.0,0.0,0.0,0.0,0.0,6740.0,1.3,0.0,1.0,2.0,1.0
AVERAGE,229.0,34.1,6.2,0.3,102.8,102.8,0.0,131339.4,30.4,0.6,1.0,2.0,1.2
181FL_7A_1,98.0,15.0,4.0,0.0,15.0,15.0,0.0,6446.0,4.8,1.0,1.0,2.0,2.0
181FL_7A_2,98.0,3.0,5.0,0.0,3.0,3.0,0.0,58276.0,13.1,1.0,1.0,2.0,2.0
181FL_7A_3,98.0,5.0,9.0,1.0,103.0,103.0,0.0,33808.0,12.0,1.0,1.0,2.0,2.0
181FL_7A_4,98.0,49.0,9.0,1.0,147.0,147.0,0.0,18108.0,5.4,1.0,1.0,2.0,1.0
181FL_7A_5,98.0,86.0,7.0,0.0,86.0,86.0,0.0,14228.0,7.1,1.0,1.0,2.0,2.0
181FL_7A_6,98.0,4.0,10.0,0.0,4.0,4.0,0.0,175532.0,49.1,1.0,1.0,2.0,2.0
181FL_7A_7,98.0,15.0,8.0,0.0,15.0,15.0,0.0,12414.0,5.9,1.0,1.0,2.0,2.0
181FL_7A_8,98.0,5.0,11.0,0.0,5.0,5.0,0.0,375936.0,55.0,1.0,1.0,2.0,2.0
181FL_7A_9,98.0,0.0,8.0,0.0,0.0,0.0,0.0,23983.0,7.2,1.0,1.0,2.0,2.0
181FL_7A_10,98.0,0.0,14.0,0.0,0.0,0.0,0.0,5236.0,3.3,1.0,1.0,2.0,2.0
AVERAGE,98.0,18.2,8.5,0.2,37.8,37.8,0.0,72396.7,16.3,1.0,1.0,2.0,1.9
196FL_7A_1,229.0,232.0,8.0,2.0,690.0,690.0,0.0,10949.0,7.8,0.0,1.0,2.0,1.0
196FL_7A_2,229.0,28.0,1.0,0.0,28.0,27.0,3.6,5.1173172e7,7200.0,0.0,0.0,2.0,2.0
196FL_7A_3,229.0,12.0,0.0,0.0,11.9,11.9,0.0,4.586705e6,914.3,0.0,1.0,2.0,1.0
196FL_7A_4,229.0,10.0,6.0,0.0,10.0,10.0,0.0,10012.0,9.8,1.0,1.0,2.0,2.0
196FL_7A_5,229.0,6.0,0.0,0.0,6.0,0.0,100.0,2.2142516e7,7200.0,0.0,0.0,2.0,2.0
196FL_7A_6,229.0,20.0,2.0,0.0,20.0,20.0,0.0,58485.0,25.9,0.0,1.0,2.0,1.0
196FL_7A_7,229.0,0.0,7.0,0.0,0.0,0.0,0.0,250712.0,122.1,1.0,1.0,2.0,1.0
196FL_7A_8,229.0,3.0,10.0,2.0,461.0,461.0,0.0,18805.0,11.5,0.0,1.0,2.0,1.0
196FL_7A_9,229.0,0.0,6.0,0.0,0.0,0.0,0.0,46287.0,19.4,1.0,1.0,2.0,2.0
196FL_7A_10,229.0,7.0,2.0,0.0,7.0,7.0,0.0,190402.0,126.4,0.0,1.0,2.0,1.0
AVERAGE,229.0,31.8,4.2,0.4,123.4,122.7,10.4,7.8488045e6,1563.7,0.3,0.8,2.0,1.4
