Instances,fh_tk,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,360.0,113.0,1.0,0.0,473.0,473.0,0.0,470.0,0.1,1.0,1.0,1.0,1.0
127FL_5A_2,360.0,42.0,4.0,0.0,1482.0,1482.0,0.0,2849.0,0.3,1.0,1.0,1.0,1.0
127FL_5A_3,360.0,337.0,5.0,1.0,2137.0,2137.0,0.0,3427.0,0.3,1.0,1.0,2.0,2.0
127FL_5A_4,360.0,588.0,17.0,2.0,6708.0,6708.0,0.0,1.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_5,360.0,238.0,9.0,1.0,3478.0,3478.0,0.0,1.0,0.3,1.0,1.0,2.0,1.0
127FL_5A_6,360.0,428.0,9.0,1.0,3668.0,3668.0,0.0,1921.0,0.4,1.0,1.0,2.0,1.0
127FL_5A_7,360.0,50.0,3.0,0.0,1130.0,1130.0,0.0,2688.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_8,360.0,523.0,10.0,1.0,4123.0,4123.0,0.0,652.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_9,360.0,23.0,2.0,0.0,743.0,743.0,0.0,1.0,0.3,1.0,1.0,1.0,1.0
127FL_5A_10,360.0,215.0,7.0,-1.0,2735.0,2735.0,0.0,1.0,0.2,0.0,1.0,2.0,2.0
AVERAGE,360.0,255.7,6.7,0.5,2667.7,2667.7,0.0,1201.1,0.2,0.9,1.0,1.6,1.4
136FL_5A_1,377.0,999.0,7.0,2.0,3638.0,3638.0,0.0,45767.0,8.1,1.0,1.0,2.0,1.0
136FL_5A_2,377.0,113.0,0.0,0.0,113.0,113.0,0.0,2.057321e6,255.5,1.0,1.0,2.0,1.0
136FL_5A_3,377.0,249.0,1.0,1.0,626.0,626.0,0.0,9219.0,3.1,1.0,1.0,2.0,2.0
136FL_5A_4,377.0,131.0,1.0,0.0,508.0,508.0,0.0,3.527097e6,292.5,1.0,1.0,2.0,1.0
136FL_5A_5,377.0,9.0,1.0,0.0,386.0,386.0,0.0,3.440594e6,656.3,1.0,1.0,2.0,1.0
136FL_5A_6,377.0,66.0,1.0,0.0,443.0,443.0,0.0,2.822881e6,366.1,1.0,1.0,2.0,1.0
136FL_5A_7,377.0,972.0,7.0,2.0,3611.0,3611.0,0.0,9415.0,2.7,1.0,1.0,1.0,1.0
136FL_5A_8,377.0,20.0,1.0,0.0,397.0,397.0,0.0,112925.0,16.6,1.0,1.0,2.0,1.0
136FL_5A_9,377.0,141.0,15.0,1.0,5796.0,5796.0,0.0,323298.0,36.6,0.0,1.0,2.0,1.0
136FL_5A_10,377.0,0.0,0.0,0.0,0.0,0.0,0.0,3117.0,0.9,1.0,1.0,1.0,1.0
AVERAGE,377.0,270.0,3.4,0.6,1551.8,1551.8,0.0,1.2351634e6,163.8,0.9,1.0,1.8,1.1
181FL_7A_1,360.0,15.0,1.0,-1.0,375.0,375.0,0.0,29588.0,8.2,0.0,1.0,2.0,1.0
181FL_7A_2,360.0,2.0,0.0,0.0,2.0,2.0,0.0,82255.0,20.3,1.0,1.0,1.0,1.0
181FL_7A_3,360.0,34.0,4.0,0.0,1474.0,1474.0,0.0,272868.0,38.4,0.0,1.0,2.0,2.0
181FL_7A_4,360.0,50.0,6.0,0.0,2210.0,2210.0,0.0,14745.0,5.7,0.0,1.0,2.0,2.0
181FL_7A_5,360.0,20.0,2.0,0.0,740.0,740.0,0.0,34360.0,9.1,0.0,1.0,2.0,2.0
181FL_7A_6,360.0,81.0,0.0,-1.0,81.0,81.0,0.0,7.7684e6,1796.6,0.0,1.0,1.0,1.0
181FL_7A_7,360.0,102.0,5.0,0.0,1902.0,1902.0,0.0,196115.0,41.4,1.0,1.0,2.0,2.0
181FL_7A_8,360.0,7.0,0.0,0.0,7.0,7.0,0.0,16078.0,6.5,1.0,1.0,1.0,1.0
181FL_7A_9,360.0,0.0,0.0,0.0,0.0,0.0,0.0,2.316099e6,385.3,1.0,1.0,1.0,1.0
181FL_7A_10,360.0,12.0,5.0,-1.0,1812.0,1812.0,0.0,3.536087e6,494.3,0.0,1.0,2.0,2.0
AVERAGE,360.0,32.3,2.3,-0.3,860.3,860.3,0.0,1.4266595e6,280.6,0.4,1.0,1.6,1.5
196FL_7A_1,377.0,478.0,4.0,2.0,1986.0,1986.0,0.0,14616.0,10.6,1.0,1.0,2.0,2.0
196FL_7A_2,377.0,28.0,1.0,0.0,405.0,404.0,0.2,4.4514947e7,7200.0,1.0,0.0,2.0,2.0
196FL_7A_3,377.0,115.0,1.0,1.0,492.0,492.0,0.0,6.981324e6,1198.6,1.0,1.0,2.0,1.0
196FL_7A_4,377.0,33.0,1.0,0.0,410.0,135.0,67.1,4.0258403e7,7200.0,1.0,0.0,2.0,2.0
196FL_7A_5,377.0,6.0,0.0,0.0,6.0,1.0,83.3,4.7920205e7,7200.0,1.0,0.0,2.0,2.0
196FL_7A_6,377.0,93.0,0.0,0.0,93.0,0.0,100.0,1.3049385e7,7200.2,0.0,0.0,2.0,2.0
196FL_7A_7,377.0,4.0,0.0,-1.0,3.9,0.0,100.0,1.5937032e7,7200.1,0.0,0.0,2.0,1.0
196FL_7A_8,377.0,73.0,13.0,3.0,4974.0,4953.0,0.4,3.4384964e7,7200.1,1.0,0.0,2.0,1.0
196FL_7A_9,377.0,0.0,0.0,0.0,0.0,0.0,0.0,2.316801e6,905.3,1.0,1.0,1.0,1.0
196FL_7A_10,377.0,139.0,0.0,1.0,139.0,0.0,100.0,1.2846085e7,7200.1,1.0,0.0,1.0,1.0
AVERAGE,377.0,96.9,2.0,0.6,850.9,797.1,45.1,2.18223762e7,5251.5,0.8,0.3,1.8,1.5
