Instances,fh_tk,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,164.0,113.0,1.0,0.0,277.0,277.0,0.0,273.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_2,164.0,42.0,4.0,0.0,698.0,698.0,0.0,3400.0,0.3,1.0,1.0,1.0,1.0
127FL_5A_3,164.0,65.0,6.0,1.0,1049.0,1049.0,0.0,5282.0,0.3,1.0,1.0,2.0,2.0
127FL_5A_4,164.0,588.0,17.0,2.0,3376.0,3376.0,0.0,1.0,0.4,1.0,1.0,2.0,2.0
127FL_5A_5,164.0,238.0,9.0,1.0,1714.0,1714.0,0.0,1.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_6,164.0,428.0,9.0,1.0,1904.0,1904.0,0.0,1275.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_7,164.0,50.0,3.0,0.0,542.0,542.0,0.0,2732.0,0.6,1.0,1.0,1.0,1.0
127FL_5A_8,164.0,523.0,10.0,1.0,2163.0,2163.0,0.0,557.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_9,164.0,23.0,2.0,0.0,351.0,351.0,0.0,1.0,0.1,1.0,1.0,1.0,1.0
127FL_5A_10,164.0,215.0,7.0,-1.0,1363.0,1363.0,0.0,1.0,0.2,0.0,1.0,2.0,2.0
AVERAGE,164.0,228.5,6.8,0.5,1343.7,1343.7,0.0,1352.3,0.3,0.9,1.0,1.6,1.4
136FL_5A_1,168.0,999.0,7.0,2.0,2175.0,2175.0,0.0,194827.0,29.5,1.0,1.0,2.0,1.0
136FL_5A_2,168.0,113.0,0.0,0.0,113.0,113.0,0.0,1.275663e6,166.8,1.0,1.0,2.0,1.0
136FL_5A_3,168.0,50.0,2.0,1.0,386.0,386.0,0.0,9142.0,2.8,1.0,1.0,2.0,2.0
136FL_5A_4,168.0,131.0,1.0,0.0,299.0,299.0,0.0,4.836055e6,458.2,1.0,1.0,2.0,1.0
136FL_5A_5,168.0,9.0,1.0,0.0,177.0,177.0,0.0,2.727656e6,479.0,1.0,1.0,2.0,1.0
