Instances,fh_tk,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,154.0,113.0,1.0,0.0,267.0,267.0,0.0,265.0,0.1,1.0,1.0,1.0,1.0
127FL_5A_2,154.0,42.0,4.0,0.0,658.0,658.0,0.0,2795.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_3,154.0,65.0,6.0,1.0,989.0,989.0,0.0,3405.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_4,154.0,588.0,17.0,2.0,3206.0,3206.0,0.0,1.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_5,154.0,238.0,9.0,1.0,1624.0,1624.0,0.0,90.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_6,154.0,428.0,9.0,1.0,1814.0,1814.0,0.0,422.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_7,154.0,50.0,3.0,0.0,512.0,512.0,0.0,2452.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_8,154.0,523.0,10.0,1.0,2063.0,2063.0,0.0,281.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_9,154.0,23.0,2.0,0.0,331.0,331.0,0.0,1.0,0.4,1.0,1.0,1.0,1.0
127FL_5A_10,154.0,215.0,7.0,-1.0,1293.0,1293.0,0.0,1.0,0.2,0.0,1.0,2.0,2.0
AVERAGE,154.0,228.5,6.8,0.5,1275.7,1275.7,0.0,971.3,0.2,0.9,1.0,1.6,1.4
136FL_5A_1,154.0,999.0,7.0,2.0,2077.0,2077.0,0.0,147963.0,19.2,1.0,1.0,2.0,1.0
136FL_5A_2,154.0,113.0,0.0,0.0,113.0,113.0,0.0,1.077024e6,129.7,1.0,1.0,2.0,1.0
136FL_5A_3,154.0,50.0,2.0,1.0,358.0,358.0,0.0,14841.0,2.4,1.0,1.0,2.0,2.0
136FL_5A_4,154.0,131.0,1.0,0.0,285.0,285.0,0.0,8.576619e6,604.8,1.0,1.0,2.0,1.0
136FL_5A_5,154.0,9.0,1.0,0.0,163.0,163.0,0.0,4.588693e6,694.3,1.0,1.0,2.0,1.0
