Instances,fh_tk,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,34.0,30.0,3.0,0.0,132.0,132.0,0.0,1767.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_2,34.0,1.0,5.0,0.0,171.0,171.0,0.0,568.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_3,34.0,65.0,6.0,1.0,269.0,269.0,0.0,2289.0,0.4,1.0,1.0,2.0,2.0
127FL_5A_4,34.0,588.0,17.0,2.0,1166.0,1166.0,0.0,869.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_5,34.0,238.0,9.0,1.0,544.0,544.0,0.0,1.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_6,34.0,375.0,10.0,0.0,715.0,715.0,0.0,500.0,0.3,0.0,1.0,2.0,2.0
127FL_5A_7,34.0,50.0,3.0,0.0,152.0,152.0,0.0,3530.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_8,34.0,523.0,10.0,1.0,863.0,863.0,0.0,178.0,0.4,1.0,1.0,2.0,2.0
127FL_5A_9,34.0,23.0,2.0,0.0,91.0,91.0,0.0,1.0,0.1,1.0,1.0,1.0,1.0
127FL_5A_10,34.0,215.0,7.0,-1.0,453.0,453.0,0.0,1.0,0.2,0.0,1.0,2.0,2.0
AVERAGE,34.0,210.8,7.2,0.4,455.6,455.6,0.0,970.4,0.2,0.8,1.0,1.6,1.5
136FL_5A_1,16.0,756.0,9.0,2.0,900.0,900.0,0.0,76518.0,7.6,1.0,1.0,2.0,1.0
136FL_5A_2,16.0,23.0,1.0,0.0,39.0,39.0,0.0,1.751013e6,244.2,1.0,1.0,2.0,1.0
136FL_5A_3,16.0,50.0,2.0,1.0,82.0,82.0,0.0,13620.0,2.6,1.0,1.0,2.0,2.0
136FL_5A_4,16.0,2.0,4.0,1.0,66.0,66.0,0.0,2.209628e6,261.5,1.0,1.0,1.0,1.0
136FL_5A_5,16.0,9.0,1.0,0.0,25.0,25.0,0.0,4.273774e6,664.9,1.0,1.0,2.0,1.0
136FL_5A_6,16.0,27.0,3.0,0.0,75.0,75.0,0.0,1.826966e6,275.6,1.0,1.0,2.0,1.0
136FL_5A_7,16.0,773.0,8.0,2.0,901.0,901.0,0.0,14605.0,2.0,1.0,1.0,1.0,1.0
136FL_5A_8,16.0,20.0,1.0,0.0,36.0,36.0,0.0,48690.0,10.3,1.0,1.0,2.0,1.0
136FL_5A_9,16.0,141.0,15.0,1.0,381.0,381.0,0.0,212744.0,26.4,0.0,1.0,2.0,1.0
136FL_5A_10,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12711.0,3.0,1.0,1.0,1.0,1.0
AVERAGE,16.0,180.1,4.4,0.7,250.5,250.5,0.0,1.0440269e6,149.8,0.9,1.0,1.7,1.1
181FL_7A_1,25.0,15.0,1.0,-1.0,40.0,40.0,0.0,52001.0,16.7,0.0,1.0,2.0,1.0
181FL_7A_2,25.0,2.0,0.0,0.0,2.0,2.0,0.0,440405.0,102.2,1.0,1.0,1.0,1.0
181FL_7A_3,25.0,34.0,4.0,0.0,134.0,134.0,0.0,409421.0,65.3,0.0,1.0,2.0,2.0
181FL_7A_4,25.0,50.0,6.0,0.0,200.0,200.0,0.0,9628.0,5.0,0.0,1.0,2.0,2.0
181FL_7A_5,25.0,20.0,2.0,0.0,70.0,70.0,0.0,61107.0,18.9,0.0,1.0,2.0,2.0
181FL_7A_6,25.0,2.0,1.0,-1.0,27.0,27.0,0.0,3.2502e6,810.9,0.0,1.0,1.0,1.0
181FL_7A_7,25.0,22.0,7.0,0.0,197.0,197.0,0.0,33623.0,13.8,1.0,1.0,2.0,2.0
181FL_7A_8,25.0,7.0,0.0,0.0,7.0,7.0,0.0,13308.0,5.4,1.0,1.0,1.0,1.0
181FL_7A_9,25.0,0.0,0.0,0.0,0.0,0.0,0.0,27159.0,8.3,1.0,1.0,1.0,1.0
181FL_7A_10,25.0,12.0,5.0,-1.0,137.0,137.0,0.0,5.588081e6,713.0,0.0,1.0,2.0,2.0
AVERAGE,25.0,16.4,2.6,-0.3,81.4,81.4,0.0,988493.3,176.0,0.4,1.0,1.6,1.5
196FL_7A_1,16.0,299.0,7.0,2.0,411.0,411.0,0.0,11629.0,8.8,1.0,1.0,2.0,2.0
196FL_7A_2,16.0,28.0,1.0,0.0,44.0,44.0,0.0,3.5878078e7,5794.0,1.0,1.0,2.0,2.0
196FL_7A_3,16.0,35.0,3.0,1.0,83.0,83.0,0.0,2.910438e6,543.8,1.0,1.0,2.0,2.0
196FL_7A_4,16.0,33.0,1.0,0.0,49.0,49.0,0.0,3.6416177e7,4689.1,1.0,1.0,2.0,2.0
