Instances,FH,FC,DY
127FL_5A_1,N435AS : 586 | N553AS : -754,N435AS : 5 | N553AS : 3,N435AS : 0 | N553AS : 0
127FL_5A_2,N435AS : -1142 | N303AS : 176,N435AS : 1 | N303AS : 2,N435AS : 0 | N303AS : 0
127FL_5A_3,N435AS : -374 | N548AS : -1202,N435AS : 0 | N548AS : 1,N435AS : 0 | N548AS : 0
127FL_5A_4,N303AS : -1026 | N548AS : 104,N303AS : 7 | N548AS : 2,N303AS : 0 | N548AS : 0
127FL_5A_5,N556AS : -1250 | N548AS : 1,N556AS : 3 | N548AS : 1,N556AS : 0 | N548AS : 0
127FL_5A_6,N435AS : 192 | N556AS : -767,N435AS : 1 | N556AS : 3,N435AS : 0 | N556AS : 0
127FL_5A_7,N435AS : 182 | N548AS : -768,N435AS : 1 | N548AS : 5,N435AS : 0 | N548AS : 0
127FL_5A_8,N553AS : -441 | N556AS : -689,N553AS : 0 | N556AS : 4,N553AS : 0 | N556AS : 0
127FL_5A_9,N553AS : -787 | N548AS : -120,N553AS : 4 | N548AS : 0,N553AS : 0 | N548AS : 0
127FL_5A_10,N435AS : 219 | N556AS : -837,N435AS : 1 | N556AS : 2,N435AS : 0 | N556AS : 0
136FL_5A_1,N587AS : -980 | N607AS : -448,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
136FL_5A_2,N317AS : -273 | N607AS : 225,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
136FL_5A_3,N317AS : -854 | N607AS : -390,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
136FL_5A_4,N587AS : 599 | N585AS : -1017,N587AS : 1 | N585AS : 0,N587AS : 0 | N585AS : 0
136FL_5A_5,N587AS : 421 | N607AS : -887,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
136FL_5A_6,N587AS : -221 | N317AS : 3,N587AS : 0 | N317AS : 0,N587AS : 0 | N317AS : 0
136FL_5A_7,N587AS : -1101 | N585AS : 25,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
136FL_5A_8,N587AS : -253 | N317AS : -876,N587AS : 0 | N317AS : 0,N587AS : 0 | N317AS : 0
136FL_5A_9,N587AS : 922 | N284AK : -1065,N587AS : 2 | N284AK : 5,N587AS : 0 | N284AK : 0
136FL_5A_10,N607AS : -200 | N585AS : 267,N607AS : 0 | N585AS : 2,N607AS : 0 | N585AS : 0
181FL_7A_1,N303AS : -315 | N553AS : -666,N303AS : 0 | N553AS : 0,N303AS : 0 | N553AS : 0
181FL_7A_2,N435AS : -338 | N273AK : -410,N435AS : 0 | N273AK : 0,N435AS : 0 | N273AK : 0
181FL_7A_3,N303AS : -720 | N548AS : -353,N303AS : 0 | N548AS : 0,N303AS : 0 | N548AS : 0
181FL_7A_4,N556AS : -926 | N548AS : -166,N556AS : 1 | N548AS : 0,N556AS : 0 | N548AS : 0
181FL_7A_5,N614AS : -25 | N273AK : -900,N614AS : 0 | N273AK : 0,N614AS : 0 | N273AK : 0
181FL_7A_6,N614AS : -364 | N273AK : -895,N614AS : 0 | N273AK : 1,N614AS : 0 | N273AK : 0
181FL_7A_7,N303AS : -129 | N556AS : -333,N303AS : 0 | N556AS : 1,N303AS : 0 | N556AS : 0
181FL_7A_8,N614AS : -115 | N273AK : 105,N614AS : 2 | N273AK : 0,N614AS : 0 | N273AK : 0
181FL_7A_9,N435AS : 111 | N303AS : -454,N435AS : 0 | N303AS : 0,N435AS : 0 | N303AS : 0
181FL_7A_10,N303AS : -417 | N556AS : -1095,N303AS : 1 | N556AS : 0,N303AS : 0 | N556AS : 0
196FL_7A_1,N587AS : -235 | N585AS : -606,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_2,N585AS : -609 | N277AK : 212,N585AS : 0 | N277AK : 0,N585AS : 0 | N277AK : 0
196FL_7A_3,N587AS : 230 | N585AS : -719,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_4,N587AS : -626 | N607AS : -2,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
196FL_7A_5,N317AS : -129 | N607AS : -506,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
196FL_7A_6,N607AS : -95 | N585AS : -306,N607AS : 0 | N585AS : 0,N607AS : 0 | N585AS : 0
196FL_7A_7,N320AS : 271 | N585AS : -1165,N320AS : 0 | N585AS : 0,N320AS : 0 | N585AS : 0
196FL_7A_8,N320AS : -207 | N284AK : -1311,N320AS : 0 | N284AK : 3,N320AS : 0 | N284AK : 0
196FL_7A_9,N587AS : 505 | N585AS : -563,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_10,N607AS : -618 | N277AK : 500,N607AS : 0 | N277AK : 0,N607AS : 0 | N277AK : 0
