Instances,FH,FC,DY
127FL_5A_1,N435AS : 633 | N553AS : -754,N435AS : 5 | N553AS : 3,N435AS : 0 | N553AS : 0
127FL_5A_2,N435AS : -1142 | N303AS : 129,N435AS : 1 | N303AS : 2,N435AS : 0 | N303AS : 0
127FL_5A_3,N435AS : -374 | N548AS : -1202,N435AS : 0 | N548AS : 1,N435AS : 0 | N548AS : 0
127FL_5A_4,N303AS : -1026 | N548AS : 104,N303AS : 7 | N548AS : 2,N303AS : 0 | N548AS : 0
127FL_5A_5,N556AS : -1250 | N548AS : 3,N556AS : 3 | N548AS : 1,N556AS : 0 | N548AS : 0
127FL_5A_6,N435AS : 145 | N556AS : -767,N435AS : 1 | N556AS : 3,N435AS : 0 | N556AS : 0
127FL_5A_7,N435AS : 182 | N548AS : -768,N435AS : 1 | N548AS : 5,N435AS : 0 | N548AS : 0
127FL_5A_8,N556AS : -689 | N553AS : -433,N556AS : 4 | N553AS : 0,N556AS : 0 | N553AS : 0
127FL_5A_9,N553AS : -787 | N548AS : -124,N553AS : 4 | N548AS : 0,N553AS : 0 | N548AS : 0
127FL_5A_10,N435AS : 221 | N556AS : -837,N435AS : 1 | N556AS : 2,N435AS : 0 | N556AS : 0
136FL_5A_1,N587AS : -155 | N607AS : -270,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
136FL_5A_2,N317AS : -735 | N607AS : 216,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
136FL_5A_3,N317AS : -1152 | N607AS : -267,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
136FL_5A_4,N587AS : 664 | N585AS : -687,N587AS : 1 | N585AS : 0,N587AS : 0 | N585AS : 0
136FL_5A_5,N587AS : 187 | N607AS : -1240,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
136FL_5A_6,N587AS : -522 | N317AS : -5,N587AS : 0 | N317AS : 0,N587AS : 0 | N317AS : 0
136FL_5A_7,N587AS : -1101 | N585AS : -26,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
136FL_5A_8,N587AS : -1141 | N317AS : -481,N587AS : 0 | N317AS : 0,N587AS : 0 | N317AS : 0
136FL_5A_9,N587AS : 922 | N284AK : -1065,N587AS : 2 | N284AK : 5,N587AS : 0 | N284AK : 0
136FL_5A_10,N607AS : -210 | N585AS : 18,N607AS : 0 | N585AS : 2,N607AS : 0 | N585AS : 0
181FL_7A_1,N303AS : -234 | N553AS : -743,N303AS : 0 | N553AS : 0,N303AS : 0 | N553AS : 0
181FL_7A_2,N435AS : -338 | N273AK : -410,N435AS : 0 | N273AK : 0,N435AS : 0 | N273AK : 0
181FL_7A_3,N303AS : -783 | N548AS : -405,N303AS : 0 | N548AS : 0,N303AS : 0 | N548AS : 0
181FL_7A_4,N556AS : -926 | N548AS : -78,N556AS : 1 | N548AS : 0,N556AS : 0 | N548AS : 0
181FL_7A_5,N614AS : -25 | N273AK : -530,N614AS : 0 | N273AK : 0,N614AS : 0 | N273AK : 0
181FL_7A_6,N614AS : -375 | N273AK : -896,N614AS : 0 | N273AK : 1,N614AS : 0 | N273AK : 0
181FL_7A_7,N303AS : -57 | N556AS : -333,N303AS : 0 | N556AS : 1,N303AS : 0 | N556AS : 0
181FL_7A_8,N614AS : -170 | N273AK : -76,N614AS : 2 | N273AK : 0,N614AS : 0 | N273AK : 0
181FL_7A_9,N435AS : -625 | N303AS : -860,N435AS : 0 | N303AS : 0,N435AS : 0 | N303AS : 0
181FL_7A_10,N303AS : -336 | N556AS : -341,N303AS : 1 | N556AS : 0,N303AS : 0 | N556AS : 0
196FL_7A_1,N587AS : -235 | N585AS : -606,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_2,N585AS : -968 | N277AK : 212,N585AS : 0 | N277AK : 0,N585AS : 0 | N277AK : 0
196FL_7A_3,N587AS : 185 | N585AS : -697,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_4,N587AS : -844 | N607AS : -671,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
196FL_7A_5,N317AS : -1114 | N607AS : -865,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
196FL_7A_6,N607AS : -179 | N585AS : -725,N607AS : 0 | N585AS : 0,N607AS : 0 | N585AS : 0
196FL_7A_7,N320AS : 665 | N585AS : -565,N320AS : 0 | N585AS : 0,N320AS : 0 | N585AS : 0
196FL_7A_8,N320AS : -676 | N284AK : -1359,N320AS : 0 | N284AK : 3,N320AS : 0 | N284AK : 0
196FL_7A_9,N587AS : -39 | N585AS : -424,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_10,N607AS : -718 | N277AK : -673,N607AS : 0 | N277AK : 0,N607AS : 0 | N277AK : 0
