Instances,FH,FC,DY
127FL_5A_1,N435AS : 30 | N553AS : 165,N435AS : 3 | N553AS : 9,N435AS : 0 | N553AS : 0
127FL_5A_2,N435AS : 136 | N303AS : 1,N435AS : 6 | N303AS : 5,N435AS : 0 | N303AS : 0
127FL_5A_3,N435AS : 99 | N548AS : 32,N435AS : 4 | N548AS : 3,N435AS : 0 | N548AS : 0
127FL_5A_4,N303AS : 486 | N548AS : 65,N303AS : 15 | N548AS : 5,N303AS : 2 | N548AS : 0
127FL_5A_5,N556AS : 235 | N548AS : 3,N556AS : 8 | N548AS : 1,N556AS : 1 | N548AS : 0
127FL_5A_6,N435AS : 22 | N556AS : 281,N435AS : 7 | N556AS : 8,N435AS : 0 | N556AS : 1
127FL_5A_7,N435AS : 50 | N548AS : 37,N435AS : 3 | N548AS : 6,N435AS : 0 | N548AS : 0
127FL_5A_8,N553AS : 125 | N556AS : 359,N553AS : 4 | N556AS : 9,N553AS : 0 | N556AS : 1
127FL_5A_9,N553AS : 18 | N548AS : 23,N553AS : 5 | N548AS : 2,N553AS : 0 | N548AS : 0
127FL_5A_10,N435AS : 89 | N556AS : 211,N435AS : 4 | N556AS : 7,N435AS : 0 | N556AS : 1
136FL_5A_1,N587AS : 34 | N607AS : 0,N587AS : -2 | N607AS : 7,N587AS : 0 | N607AS : 1
136FL_5A_2,N317AS : 0 | N607AS : 1,N317AS : 1 | N607AS : 5,N317AS : 0 | N607AS : 0
136FL_5A_3,N317AS : 3 | N607AS : 60,N317AS : -1 | N607AS : -1,N317AS : 0 | N607AS : 0
136FL_5A_4,N587AS : 0 | N585AS : 6,N587AS : 9 | N585AS : 0,N587AS : 0 | N585AS : 0
136FL_5A_5,N587AS : 2 | N607AS : 1,N587AS : 7 | N607AS : 0,N587AS : 0 | N607AS : 0
136FL_5A_6,N587AS : 0 | N317AS : 3,N587AS : 6 | N317AS : 0,N587AS : 0 | N317AS : 0
136FL_5A_7,N587AS : 72 | N585AS : 0,N587AS : -2 | N585AS : 4,N587AS : 0 | N585AS : 0
136FL_5A_8,N587AS : 11 | N317AS : 9,N587AS : 0 | N317AS : 1,N587AS : 0 | N317AS : 0
136FL_5A_9,N587AS : 3 | N284AK : 136,N587AS : 7 | N284AK : 15,N587AS : 0 | N284AK : 2
136FL_5A_10,N607AS : 0 | N585AS : 0,N607AS : 5 | N585AS : 4,N607AS : 0 | N585AS : 0
181FL_7A_1,N303AS : 2 | N553AS : 13,N303AS : 4 | N553AS : 0,N303AS : 0 | N553AS : 0
181FL_7A_2,N435AS : 1 | N273AK : 2,N435AS : 5 | N273AK : 0,N435AS : 0 | N273AK : 0
181FL_7A_3,N303AS : 5 | N548AS : 0,N303AS : 7 | N548AS : 2,N303AS : 1 | N548AS : 0
181FL_7A_4,N556AS : 19 | N548AS : 30,N556AS : 5 | N548AS : 4,N556AS : 1 | N548AS : 0
181FL_7A_5,N614AS : 8 | N273AK : 78,N614AS : 5 | N273AK : 2,N614AS : 0 | N273AK : 0
181FL_7A_6,N614AS : 4 | N273AK : 0,N614AS : 6 | N273AK : 2,N614AS : 0 | N273AK : 0
181FL_7A_7,N303AS : 8 | N556AS : 7,N303AS : 2 | N556AS : 6,N303AS : 0 | N556AS : 0
181FL_7A_8,N614AS : 0 | N273AK : 5,N614AS : 2 | N273AK : 9,N614AS : 0 | N273AK : 0
181FL_7A_9,N435AS : 0 | N303AS : 0,N435AS : 1 | N303AS : 7,N435AS : 0 | N303AS : 0
181FL_7A_10,N303AS : 0 | N556AS : 0,N303AS : 5 | N556AS : 7,N303AS : 0 | N556AS : 0
196FL_7A_1,N587AS : 3 | N585AS : 229,N587AS : -1 | N585AS : 9,N587AS : 0 | N585AS : 2
196FL_7A_2,N585AS : 15 | N277AK : 13,N585AS : -1 | N277AK : 2,N585AS : 0 | N277AK : 0
196FL_7A_3,N587AS : 1 | N585AS : 11,N587AS : 3 | N585AS : -3,N587AS : 0 | N585AS : 0
196FL_7A_4,N587AS : 10 | N607AS : 0,N587AS : 0 | N607AS : 6,N587AS : 0 | N607AS : 0
196FL_7A_5,N317AS : 1 | N607AS : 5,N317AS : 3 | N607AS : -3,N317AS : 0 | N607AS : 0
196FL_7A_6,N607AS : 0 | N585AS : 20,N607AS : 6 | N585AS : -4,N607AS : 0 | N585AS : 0
196FL_7A_7,N320AS : 0 | N585AS : 0,N320AS : 5 | N585AS : 3,N320AS : 0 | N585AS : 0
196FL_7A_8,N320AS : 0 | N284AK : 3,N320AS : -3 | N284AK : 13,N320AS : 0 | N284AK : 2
196FL_7A_9,N587AS : 0 | N585AS : 0,N587AS : 6 | N585AS : -1,N587AS : 0 | N585AS : 0
196FL_7A_10,N607AS : 7 | N277AK : 0,N607AS : -1 | N277AK : 5,N607AS : 0 | N277AK : 0
