Instances,FH,FC,DY
127FL_5A_1,N435AS : 30,N435AS : 3,N435AS : 0
127FL_5A_2,N303AS : 1,N303AS : 5,N303AS : 0
127FL_5A_3,N435AS : 54 | N548AS : 11,N435AS : 1 | N548AS : 5,N435AS : 0 | N548AS : 1
127FL_5A_4,N303AS : 486 | N548AS : 102,N303AS : 15 | N548AS : 2,N303AS : 2 | N548AS : 0
127FL_5A_5,N556AS : 235 | N548AS : 3,N556AS : 8 | N548AS : 1,N556AS : 1 | N548AS : 0
127FL_5A_6,N435AS : 92 | N556AS : 283,N435AS : 2 | N556AS : 8,N435AS : -1 | N556AS : 1
127FL_5A_7,N435AS : 50,N435AS : 3,N435AS : 0
127FL_5A_8,N556AS : 359 | N553AS : 164,N556AS : 9 | N553AS : 1,N556AS : 1 | N553AS : 0
127FL_5A_9,N548AS : 23,N548AS : 2,N548AS : 0
127FL_5A_10,N435AS : 2 | N556AS : 213,N435AS : 0 | N556AS : 7,N435AS : -2 | N556AS : 1
136FL_5A_1,N587AS : 735 | N607AS : 21,N587AS : 8 | N607AS : 1,N587AS : 2 | N607AS : 0
136FL_5A_2,N317AS : 18 | N607AS : 5,N317AS : 1 | N607AS : 0,N317AS : 0 | N607AS : 0
136FL_5A_3,N317AS : 8 | N607AS : 42,N317AS : 1 | N607AS : 1,N317AS : 1 | N607AS : 0
136FL_5A_4,N585AS : 2,N585AS : 4,N585AS : 1
136FL_5A_5,N587AS : 3 | N607AS : 6,N587AS : 1 | N607AS : 0,N587AS : 0 | N607AS : 0
136FL_5A_6,N587AS : 24 | N317AS : 3,N587AS : 3 | N317AS : 0,N587AS : 0 | N317AS : 0
136FL_5A_7,N587AS : 773,N587AS : 8,N587AS : 2
136FL_5A_8,N587AS : 11 | N317AS : 9,N587AS : 0 | N317AS : 1,N587AS : 0 | N317AS : 0
136FL_5A_9,N587AS : 5 | N284AK : 136,N587AS : 0 | N284AK : 15,N587AS : -1 | N284AK : 2
136FL_5A_10,N607AS : 0,N607AS : 0,N607AS : 0
181FL_7A_1,N303AS : 11 | N553AS : 4,N303AS : 1 | N553AS : 0,N303AS : 0 | N553AS : -1
181FL_7A_2,N273AK : 2,N273AK : 0,N273AK : 0
181FL_7A_3,N303AS : 24 | N548AS : 10,N303AS : 3 | N548AS : 1,N303AS : 1 | N548AS : -1
181FL_7A_4,N556AS : 19 | N548AS : 31,N556AS : 5 | N548AS : 1,N556AS : 1 | N548AS : -1
181FL_7A_5,N614AS : 7 | N273AK : 13,N614AS : 0 | N273AK : 2,N614AS : -1 | N273AK : 1
181FL_7A_6,N614AS : 2,N614AS : 1,N614AS : -1
181FL_7A_7,N303AS : 15 | N556AS : 7,N303AS : 1 | N556AS : 6,N303AS : 0 | N556AS : 0
181FL_7A_8,N614AS : 7,N614AS : 0,N614AS : 0
181FL_7A_9,N303AS : 0,N303AS : 0,N303AS : 0
181FL_7A_10,N303AS : 1 | N556AS : 11,N303AS : 0 | N556AS : 5,N303AS : -1 | N556AS : 0
196FL_7A_1,N587AS : 9 | N585AS : 290,N587AS : 0 | N585AS : 7,N587AS : 0 | N585AS : 2
196FL_7A_2,N585AS : 1 | N277AK : 27,N585AS : 0 | N277AK : 1,N585AS : 0 | N277AK : 0
196FL_7A_3,N587AS : 4 | N585AS : 31,N587AS : 2 | N585AS : 1,N587AS : 0 | N585AS : 1
196FL_7A_4,N587AS : 20 | N607AS : 13,N587AS : 0 | N607AS : 1,N587AS : 0 | N607AS : 0
196FL_7A_5,N317AS : 1 | N607AS : 5,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
196FL_7A_6,N607AS : 20 | N585AS : 15,N607AS : 0 | N585AS : 1,N607AS : -1 | N585AS : 1
196FL_7A_7,N320AS : 1 | N585AS : 3,N320AS : 0 | N585AS : 0,N320AS : -1 | N585AS : 0
196FL_7A_8,N320AS : 15 | N284AK : 3,N320AS : 1 | N284AK : 13,N320AS : 1 | N284AK : 2
196FL_7A_9,N587AS : 0,N587AS : 0,N587AS : 0
196FL_7A_10,N607AS : 2,N607AS : 1,N607AS : 1
