\begin{table}[htbp]
\centering
\small
\caption{Résumé des résultats - summary\_FH\_DY\_MEDIAN\_MEAN}
\label{tab:summary-fh-dy-median}
\begin{tabular}{rrrrrrrrrrrrrrrrr}
  \hline
  \textbf{Instances} & \textbf{fh\_day} & \textbf{FH} & \textbf{FC} & \textbf{DY} & \textbf{UB} & \textbf{Fsb} & \textbf{Gap} & \textbf{Time} & \textbf{fh\_day} & \textbf{FH} & \textbf{FC} & \textbf{DY} & \textbf{UB} & \textbf{Fsb} & \textbf{Gap} & \textbf{Time} \\\hline
  127FL\_5A\_1 & 566.0 & 195.0 & 12.0 & 0.0 & 195.0 & 1.0 & 0.0 & 0.2 & 594.0 & 195.0 & 12.0 & 0.0 & 195.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_2 & 566.0 & 137.0 & 11.0 & 0.0 & 137.0 & 1.0 & 0.0 & 0.2 & 594.0 & 137.0 & 11.0 & 0.0 & 137.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_3 & 566.0 & 131.0 & 7.0 & 0.0 & 131.0 & 1.0 & 0.0 & 0.2 & 594.0 & 131.0 & 7.0 & 0.0 & 131.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_4 & 566.0 & 551.0 & 20.0 & 2.0 & 1683.0 & 1.0 & 0.0 & 0.2 & 594.0 & 551.0 & 20.0 & 2.0 & 1739.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_5 & 566.0 & 238.0 & 9.0 & 1.0 & 804.0 & 1.0 & 0.0 & 0.1 & 594.0 & 238.0 & 9.0 & 1.0 & 832.0 & 1.0 & 0.0 & 0.1 \\
  127FL\_5A\_6 & 566.0 & 303.0 & 15.0 & 1.0 & 869.0 & 1.0 & 0.0 & 0.2 & 594.0 & 303.0 & 15.0 & 1.0 & 897.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_7 & 566.0 & 87.0 & 9.0 & 0.0 & 87.0 & 1.0 & 0.0 & 0.2 & 594.0 & 87.0 & 9.0 & 0.0 & 87.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_8 & 566.0 & 484.0 & 13.0 & 1.0 & 1050.0 & 1.0 & 0.0 & 0.1 & 594.0 & 484.0 & 13.0 & 1.0 & 1078.0 & 1.0 & 0.0 & 0.1 \\
  127FL\_5A\_9 & 566.0 & 41.0 & 7.0 & 0.0 & 41.0 & 1.0 & 0.0 & 0.1 & 594.0 & 41.0 & 7.0 & 0.0 & 41.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_10 & 566.0 & 300.0 & 11.0 & 1.0 & 866.0 & 1.0 & 0.0 & 0.2 & 594.0 & 300.0 & 11.0 & 1.0 & 894.0 & 1.0 & 0.0 & 0.2 \\
