\begin{table}[htbp]
\centering
\small
\caption{Résumé des résultats - summary_FH_FC_MEDIAN}
\label{tab:summary-fh-fc-median}
\begin{tabular}{rrrrrrrrr}
  \hline
  \textbf{Instances} & \textbf{fh\_tk} & \textbf{FH} & \textbf{FC} & \textbf{DY} & \textbf{UB} & \textbf{Fsb} & \textbf{Gap} & \textbf{Time} \\\hline
  127FL\_5A\_1 & 154.0 & 113.0 & 1.0 & 0.0 & 267.0 & 1.0 & 0.0 & 0.1 \\
  127FL\_5A\_2 & 154.0 & 42.0 & 4.0 & 0.0 & 658.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_3 & 154.0 & 65.0 & 6.0 & 1.0 & 989.0 & 1.0 & 0.0 & 0.3 \\
  127FL\_5A\_4 & 154.0 & 588.0 & 17.0 & 2.0 & 3206.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_5 & 154.0 & 238.0 & 9.0 & 1.0 & 1624.0 & 1.0 & 0.0 & 0.1 \\
  127FL\_5A\_6 & 154.0 & 428.0 & 9.0 & 1.0 & 1814.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_7 & 154.0 & 50.0 & 3.0 & 0.0 & 512.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_8 & 154.0 & 523.0 & 10.0 & 1.0 & 2063.0 & 1.0 & 0.0 & 0.1 \\
  127FL\_5A\_9 & 154.0 & 23.0 & 2.0 & 0.0 & 331.0 & 1.0 & 0.0 & 0.1 \\
  127FL\_5A\_10 & 154.0 & 215.0 & 7.0 & -1.0 & 1293.0 & 0.0 & 0.0 & 0.1 \\
  \textbf{AVERAGE} & \textbf{154.0} & \textbf{228.5} & \textbf{6.8} & \textbf{0.5} & \textbf{1275.7} & \textbf{0.9} & \textbf{0.0} & \textbf{0.2} \\
  136FL\_5A\_1 & 154.0 & 999.0 & 7.0 & 2.0 & 2077.0 & 1.0 & 0.0 & 7.7 \\
  136FL\_5A\_2 & 154.0 & 113.0 & 0.0 & 0.0 & 113.0 & 1.0 & 0.0 & 265.8 \\
  136FL\_5A\_3 & 154.0 & 50.0 & 2.0 & 1.0 & 358.0 & 1.0 & 0.0 & 3.0 \\
  136FL\_5A\_4 & 154.0 & 131.0 & 1.0 & 0.0 & 285.0 & 1.0 & 0.0 & 966.7 \\
  136FL\_5A\_5 & 154.0 & 9.0 & 1.0 & 0.0 & 163.0 & 1.0 & 0.0 & 642.2 \\
  136FL\_5A\_6 & 154.0 & 66.0 & 1.0 & 0.0 & 220.0 & 1.0 & 0.0 & 163.5 \\
  136FL\_5A\_7 & 154.0 & 773.0 & 8.0 & 2.0 & 2005.0 & 1.0 & 0.0 & 2.5 \\
  136FL\_5A\_8 & 154.0 & 20.0 & 1.0 & 0.0 & 174.0 & 1.0 & 0.0 & 12.2 \\
  136FL\_5A\_9 & 154.0 & 141.0 & 15.0 & 1.0 & 2451.0 & 0.0 & 0.0 & 64.8 \\
  136FL\_5A\_10 & 154.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 & 0.0 & 2.6 \\
  \textbf{AVERAGE} & \textbf{154.0} & \textbf{230.2} & \textbf{3.6} & \textbf{0.6} & \textbf{784.6} & \textbf{0.9} & \textbf{0.0} & \textbf{213.1} \\
  181FL\_7A\_1 & 153.0 & 15.0 & 1.0 & -1.0 & 168.0 & 0.0 & 0.0 & 9.2 \\
  181FL\_7A\_2 & 153.0 & 2.0 & 0.0 & 0.0 & 2.0 & 1.0 & 0.0 & 31.9 \\
  181FL\_7A\_3 & 153.0 & 34.0 & 4.0 & 0.0 & 646.0 & 0.0 & 0.0 & 99.2 \\
  181FL\_7A\_4 & 153.0 & 50.0 & 6.0 & 0.0 & 968.0 & 0.0 & 0.0 & 5.6 \\
  181FL\_7A\_5 & 153.0 & 20.0 & 2.0 & 0.0 & 326.0 & 0.0 & 0.0 & 15.2 \\
  181FL\_7A\_6 & 153.0 & 81.0 & 0.0 & -1.0 & 81.0 & 0.0 & 0.0 & 656.7 \\
  181FL\_7A\_7 & 153.0 & 102.0 & 5.0 & 0.0 & 867.0 & 1.0 & 0.0 & 29.4 \\
  181FL\_7A\_8 & 153.0 & 7.0 & 0.0 & 0.0 & 7.0 & 1.0 & 0.0 & 3.4 \\
  181FL\_7A\_9 & 153.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 & 0.0 & 134.0 \\
  181FL\_7A\_10 & 153.0 & 12.0 & 5.0 & -1.0 & 777.0 & 0.0 & 0.0 & 586.9 \\
  \textbf{AVERAGE} & \textbf{153.0} & \textbf{32.3} & \textbf{2.3} & \textbf{-0.3} & \textbf{384.2} & \textbf{0.4} & \textbf{0.0} & \textbf{157.2} \\
  196FL\_7A\_1 & 154.0 & 478.0 & 4.0 & 2.0 & 1094.0 & 1.0 & 0.0 & 10.7 \\
  196FL\_7A\_2 & 154.0 & 28.0 & 1.0 & 0.0 & 182.0 & 1.0 & 0.6 & 7200.0 \\
  196FL\_7A\_3 & 154.0 & 115.0 & 1.0 & 1.0 & 269.0 & 1.0 & 0.0 & 787.5 \\
  196FL\_7A\_4 & 154.0 & 33.0 & 1.0 & 0.0 & 187.0 & 1.0 & 94.6 & 7200.0 \\
  196FL\_7A\_5 & 154.0 & 6.0 & 0.0 & 0.0 & 6.0 & 1.0 & 83.3 & 7200.0 \\
  196FL\_7A\_6 & 154.0 & 93.0 & 0.0 & 0.0 & 93.0 & 0.0 & 14.0 & 7200.0 \\
  196FL\_7A\_7 & 154.0 & 4.0 & 0.0 & -1.0 & 3.9 & 0.0 & 100.0 & 7200.0 \\
  196FL\_7A\_8 & 154.0 & 73.0 & 13.0 & 3.0 & 2075.0 & 1.0 & 2.4 & 7200.0 \\
  196FL\_7A\_9 & 154.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 & 0.0 & 1016.4 \\
  196FL\_7A\_10 & 154.0 & 139.0 & 0.0 & 1.0 & 139.0 & 1.0 & 100.0 & 7200.0 \\
  \textbf{AVERAGE} & \textbf{154.0} & \textbf{96.9} & \textbf{2.0} & \textbf{0.6} & \textbf{404.9} & \textbf{0.8} & \textbf{39.5} & \textbf{5221.5} \\\hline
\end{tabular}
\end{table}
