\begin{table}[htbp]
\centering
\small
\caption{Résumé des résultats - summary\_FH\_FC\_MIN\_MAX}
\label{tab:summary-fh-fc-min}
\begin{tabular}{rrrrrrrrrrrrrrrrr}
  \hline
  \textbf{Instances} & \textbf{fh\_tk} & \textbf{FH} & \textbf{FC} & \textbf{DY} & \textbf{UB} & \textbf{Fsb} & \textbf{Gap} & \textbf{Time} & \textbf{fh\_tk} & \textbf{FH} & \textbf{FC} & \textbf{DY} & \textbf{UB} & \textbf{Fsb} & \textbf{Gap} & \textbf{Time} \\\hline
  127FL\_5A\_1 & 34.0 & 30.0 & 3.0 & 0.0 & 132.0 & 1.0 & 0.0 & 0.2 & 360.0 & 113.0 & 1.0 & 0.0 & 473.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_2 & 34.0 & 1.0 & 5.0 & 0.0 & 171.0 & 1.0 & 0.0 & 0.2 & 360.0 & 42.0 & 4.0 & 0.0 & 1482.0 & 1.0 & 0.0 & 0.2 \\
  127FL\_5A\_3 & 34.0 & 65.0 & 6.0 & 1.0 & 269.0 & 1.0 & 0.0 & 0.2 & 360.0 & 337.0 & 5.0 & 1.0 & 2137.0 & 1.0 & 0.0 & 0.3 \\
  127FL\_5A\_4 & 34.0 & 588.0 & 17.0 & 2.0 & 1166.0 & 1.0 & 0.0 & 0.2 & 360.0 & 588.0 & 17.0 & 2.0 & 6708.0 & 1.0 & 0.0 & 0.1 \\
  127FL\_5A\_5 & 34.0 & 238.0 & 9.0 & 1.0 & 544.0 & 1.0 & 0.0 & 0.1 & 360.0 & 238.0 & 9.0 & 1.0 & 3478.0 & 1.0 & 0.0 & 0.1 \\
  127FL\_5A\_6 & 34.0 & 375.0 & 10.0 & 0.0 & 715.0 & 0.0 & 0.0 & 0.2 & 360.0 & 428.0 & 9.0 & 1.0 & 3668.0 & 1.0 & 0.0 & 0.1 \\
  127FL\_5A\_7 & 34.0 & 50.0 & 3.0 & 0.0 & 152.0 & 1.0 & 0.0 & 0.3 & 360.0 & 50.0 & 3.0 & 0.0 & 1130.0 & 1.0 & 0.0 & 0.3 \\
  127FL\_5A\_8 & 34.0 & 523.0 & 10.0 & 1.0 & 863.0 & 1.0 & 0.0 & 0.2 & 360.0 & 523.0 & 10.0 & 1.0 & 4123.0 & 1.0 & 0.0 & 0.1 \\
  127FL\_5A\_9 & 34.0 & 23.0 & 2.0 & 0.0 & 91.0 & 1.0 & 0.0 & 0.1 & 360.0 & 23.0 & 2.0 & 0.0 & 743.0 & 1.0 & 0.0 & 0.1 \\
  127FL\_5A\_10 & 34.0 & 215.0 & 7.0 & -1.0 & 453.0 & 0.0 & 0.0 & 0.2 & 360.0 & 215.0 & 7.0 & -1.0 & 2735.0 & 0.0 & 0.0 & 0.1 \\
  \textbf{AVERAGE} & \textbf{34.0} & \textbf{210.8} & \textbf{7.2} & \textbf{0.4} & \textbf{455.6} & \textbf{0.8} & \textbf{0.0} & \textbf{0.2} & \textbf{360.0} & \textbf{255.7} & \textbf{6.7} & \textbf{0.5} & \textbf{2667.7} & \textbf{0.9} & \textbf{0.0} & \textbf{0.2} \\
  136FL\_5A\_1 & 16.0 & 756.0 & 9.0 & 2.0 & 900.0 & 1.0 & 0.0 & 3.6 & 377.0 & 999.0 & 7.0 & 2.0 & 3638.0 & 1.0 & 0.0 & 6.4 \\
  136FL\_5A\_2 & 16.0 & 23.0 & 1.0 & 0.0 & 39.0 & 1.0 & 0.0 & 272.9 & 377.0 & 113.0 & 0.0 & 0.0 & 113.0 & 1.0 & 0.0 & 70.4 \\
  136FL\_5A\_3 & 16.0 & 50.0 & 2.0 & 1.0 & 82.0 & 1.0 & 0.0 & 2.2 & 377.0 & 249.0 & 1.0 & 1.0 & 626.0 & 1.0 & 0.0 & 2.6 \\
  136FL\_5A\_4 & 16.0 & 2.0 & 4.0 & 1.0 & 66.0 & 1.0 & 0.0 & 900.2 & 377.0 & 131.0 & 1.0 & 0.0 & 508.0 & 1.0 & 0.0 & 475.9 \\
  136FL\_5A\_5 & 16.0 & 9.0 & 1.0 & 0.0 & 25.0 & 1.0 & 0.0 & 723.5 & 377.0 & 9.0 & 1.0 & 0.0 & 386.0 & 1.0 & 0.0 & 551.7 \\
  136FL\_5A\_6 & 16.0 & 27.0 & 3.0 & 0.0 & 75.0 & 1.0 & 0.0 & 706.8 & 377.0 & 66.0 & 1.0 & 0.0 & 443.0 & 1.0 & 0.0 & 98.6 \\
  136FL\_5A\_7 & 16.0 & 773.0 & 8.0 & 2.0 & 901.0 & 1.0 & 0.0 & 1.7 & 377.0 & 972.0 & 7.0 & 2.0 & 3611.0 & 1.0 & 0.0 & 2.0 \\
  136FL\_5A\_8 & 16.0 & 20.0 & 1.0 & 0.0 & 36.0 & 1.0 & 0.0 & 6.7 & 377.0 & 20.0 & 1.0 & 0.0 & 397.0 & 1.0 & 0.0 & 15.2 \\
  136FL\_5A\_9 & 16.0 & 141.0 & 15.0 & 1.0 & 381.0 & 0.0 & 0.0 & 95.4 & 377.0 & 141.0 & 15.0 & 1.0 & 5796.0 & 0.0 & 0.0 & 56.0 \\
  136FL\_5A\_10 & 16.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 & 0.0 & 2.6 & 377.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 & 0.0 & 2.4 \\
  \textbf{AVERAGE} & \textbf{16.0} & \textbf{180.1} & \textbf{4.4} & \textbf{0.7} & \textbf{250.5} & \textbf{0.9} & \textbf{0.0} & \textbf{271.6} & \textbf{377.0} & \textbf{270.0} & \textbf{3.4} & \textbf{0.6} & \textbf{1551.8} & \textbf{0.9} & \textbf{0.0} & \textbf{128.1} \\
  181FL\_7A\_1 & 25.0 & 15.0 & 1.0 & -1.0 & 40.0 & 0.0 & 0.0 & 16.3 & 360.0 & 15.0 & 1.0 & -1.0 & 375.0 & 0.0 & 0.0 & 9.8 \\
  181FL\_7A\_2 & 25.0 & 2.0 & 0.0 & 0.0 & 2.0 & 1.0 & 0.0 & 81.3 & 360.0 & 2.0 & 0.0 & 0.0 & 2.0 & 1.0 & 0.0 & 90.2 \\
  181FL\_7A\_3 & 25.0 & 34.0 & 4.0 & 0.0 & 134.0 & 0.0 & 0.0 & 38.4 & 360.0 & 34.0 & 4.0 & 0.0 & 1474.0 & 0.0 & 0.0 & 54.8 \\
  181FL\_7A\_4 & 25.0 & 50.0 & 6.0 & 0.0 & 200.0 & 0.0 & 0.0 & 5.3 & 360.0 & 50.0 & 6.0 & 0.0 & 2210.0 & 0.0 & 0.0 & 3.6 \\
  181FL\_7A\_5 & 25.0 & 20.0 & 2.0 & 0.0 & 70.0 & 0.0 & 0.0 & 11.8 & 360.0 & 20.0 & 2.0 & 0.0 & 740.0 & 0.0 & 0.0 & 14.5 \\
  181FL\_7A\_6 & 25.0 & 2.0 & 1.0 & -1.0 & 27.0 & 0.0 & 0.0 & 926.2 & 360.0 & 81.0 & 0.0 & -1.0 & 81.0 & 0.0 & 0.0 & 1782.2 \\
  181FL\_7A\_7 & 25.0 & 22.0 & 7.0 & 0.0 & 197.0 & 1.0 & 0.0 & 19.9 & 360.0 & 102.0 & 5.0 & 0.0 & 1902.0 & 1.0 & 0.0 & 23.2 \\
  181FL\_7A\_8 & 25.0 & 7.0 & 0.0 & 0.0 & 7.0 & 1.0 & 0.0 & 4.7 & 360.0 & 7.0 & 0.0 & 0.0 & 7.0 & 1.0 & 0.0 & 5.2 \\
  181FL\_7A\_9 & 25.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 & 0.0 & 4.7 & 360.0 & 0.0 & 0.0 & 0.0 & 0.0 & 1.0 & 0.0 & 152.8 \\
  181FL\_7A\_10 & 25.0 & 12.0 & 5.0 & -1.0 & 137.0 & 0.0 & 0.0 & 594.6 & 360.0 & 12.0 & 5.0 & 0.0 & 1812.0 & 1.0 & 0.0 & 1055.6 \\
  \textbf{AVERAGE} & \textbf{25.0} & \textbf{16.4} & \textbf{2.6} & \textbf{-0.3} & \textbf{81.4} & \textbf{0.4} & \textbf{0.0} & \textbf{170.3} & \textbf{360.0} & \textbf{32.3} & \textbf{2.3} & \textbf{-0.2} & \textbf{860.3} & \textbf{0.5} & \textbf{0.0} & \textbf{319.2} \\
  196FL\_7A\_1 & 16.0 & 299.0 & 7.0 & 2.0 & 411.0 & 1.0 & 0.0 & 8.0 & 377.0 & 478.0 & 4.0 & 2.0 & 1986.0 & 1.0 & 0.0 & 7.9 \\
  196FL\_7A\_2 & 16.0 & 28.0 & 1.0 & 0.0 & 44.0 & 1.0 & 0.0 & 2487.9 & 377.0 & 28.0 & 1.0 & 0.0 & 405.0 & 1.0 & 0.2 & 7200.0 \\
  196FL\_7A\_3 & 16.0 & 35.0 & 3.0 & 1.0 & 83.0 & 1.0 & 0.0 & 828.0 & 377.0 & 115.0 & 1.0 & 1.0 & 492.0 & 1.0 & 0.0 & 677.4 \\
  196FL\_7A\_4 & 16.0 & 33.0 & 1.0 & 0.0 & 49.0 & 1.0 & 0.0 & 3398.9 & 377.0 & 33.0 & 1.0 & 0.0 & 410.0 & 1.0 & 0.0 & 6041.6 \\
