Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,360.0,1112.0,-168.0,8.0,0.0,2880.0,2880.0,0.0,6496.0,0.4,0.0,1.0,2.0,2.0
127FL_5A_2,360.0,1112.0,-1013.0,3.0,0.0,1080.0,1080.0,0.0,2507.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_3,360.0,1112.0,-1576.0,1.0,0.0,360.0,360.0,0.0,2099.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_4,360.0,1112.0,-922.0,9.0,0.0,3240.0,3240.0,0.0,4912.0,0.4,0.0,1.0,2.0,2.0
127FL_5A_5,360.0,1112.0,-1247.0,4.0,0.0,1440.0,1440.0,0.0,482.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_6,360.0,1112.0,-575.0,4.0,0.0,1440.0,1440.0,0.0,490.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_7,360.0,1112.0,-586.0,6.0,0.0,2160.0,2160.0,0.0,6955.0,0.4,0.0,1.0,2.0,2.0
127FL_5A_8,360.0,1112.0,-1122.0,4.0,0.0,1440.0,1440.0,0.0,1.0,0.1,0.0,1.0,2.0,2.0
127FL_5A_9,360.0,1112.0,-909.0,4.0,0.0,1440.0,1440.0,0.0,11920.0,0.7,0.0,1.0,2.0,2.0
127FL_5A_10,360.0,1112.0,-616.0,3.0,0.0,1080.0,1080.0,0.0,112.0,0.1,0.0,1.0,2.0,2.0
AVERAGE,360.0,1112.0,-873.4,4.6,0.0,1656.0,1656.0,0.0,3597.4,0.3,0.0,1.0,2.0,2.0
136FL_5A_1,377.0,1079.0,-425.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,2.0,2.0
136FL_5A_2,377.0,1079.0,387.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,1.0
