Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,360.0,98.0,-168.0,8.0,0.0,2880.0,2880.0,0.0,8892.0,0.5,0.0,1.0,2.0,2.0
127FL_5A_2,360.0,98.0,-966.0,3.0,0.0,1080.0,1080.0,0.0,2178.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_3,360.0,98.0,-1576.0,1.0,0.0,360.0,360.0,0.0,1008.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_4,360.0,98.0,-922.0,9.0,0.0,3240.0,3240.0,0.0,5162.0,0.4,0.0,1.0,2.0,2.0
127FL_5A_5,360.0,98.0,-1249.0,4.0,0.0,1440.0,1440.0,0.0,1195.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_6,360.0,98.0,-575.0,4.0,0.0,1440.0,1440.0,0.0,461.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_7,360.0,98.0,-586.0,6.0,0.0,2160.0,2160.0,0.0,6840.0,0.4,0.0,1.0,2.0,2.0
127FL_5A_8,360.0,98.0,-1130.0,4.0,0.0,1440.0,1440.0,0.0,410.0,0.1,0.0,1.0,2.0,1.0
127FL_5A_9,360.0,98.0,-907.0,4.0,0.0,1440.0,1440.0,0.0,6629.0,0.7,0.0,1.0,2.0,2.0
127FL_5A_10,360.0,98.0,-618.0,3.0,0.0,1080.0,1080.0,0.0,65.0,0.2,0.0,1.0,2.0,2.0
AVERAGE,360.0,98.0,-869.7,4.6,0.0,1656.0,1656.0,0.0,3284.0,0.3,0.0,1.0,2.0,1.9
136FL_5A_1,377.0,229.0,-1428.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,2.0,1.0
136FL_5A_2,377.0,229.0,-48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,1.0
136FL_5A_3,377.0,229.0,-1244.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,2.0,1.0
136FL_5A_4,377.0,229.0,-418.0,1.0,0.0,377.0,377.0,0.0,3.1909536e7,2596.0,0.0,1.0,2.0,1.0
136FL_5A_5,377.0,229.0,-466.0,0.0,0.0,0.0,0.0,0.0,920.0,0.4,0.0,1.0,2.0,1.0
136FL_5A_6,377.0,229.0,-218.0,0.0,0.0,0.0,0.0,0.0,4947.0,0.7,0.0,1.0,2.0,1.0
136FL_5A_7,377.0,229.0,-1076.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,2.0,1.0
136FL_5A_8,377.0,229.0,-1129.0,0.0,0.0,0.0,0.0,0.0,2018.0,0.5,0.0,1.0,2.0,1.0
