Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,34.0,1112.0,-121.0,8.0,0.0,272.0,272.0,0.0,5142.0,0.3,0.0,1.0,2.0,2.0
127FL_5A_2,34.0,1112.0,-1013.0,3.0,0.0,102.0,102.0,0.0,1765.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_3,34.0,1112.0,-1576.0,1.0,0.0,34.0,34.0,0.0,2349.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_4,34.0,1112.0,-922.0,9.0,0.0,306.0,306.0,0.0,9576.0,0.5,0.0,1.0,2.0,2.0
127FL_5A_5,34.0,1112.0,-1247.0,4.0,0.0,136.0,136.0,0.0,2043.0,0.3,0.0,1.0,2.0,2.0
127FL_5A_6,34.0,1112.0,-622.0,4.0,0.0,136.0,136.0,0.0,336.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_7,34.0,1112.0,-586.0,6.0,0.0,204.0,204.0,0.0,5755.0,0.4,0.0,1.0,2.0,2.0
127FL_5A_8,34.0,1112.0,-1122.0,4.0,0.0,136.0,136.0,0.0,1.0,0.1,0.0,1.0,2.0,2.0
127FL_5A_9,34.0,1112.0,-911.0,4.0,0.0,136.0,136.0,0.0,25952.0,1.0,0.0,1.0,2.0,2.0
127FL_5A_10,34.0,1112.0,-616.0,3.0,0.0,102.0,102.0,0.0,206.0,0.1,0.0,1.0,2.0,2.0
AVERAGE,34.0,1112.0,-873.6,4.6,0.0,156.4,156.4,0.0,5312.5,0.3,0.0,1.0,2.0,2.0
136FL_5A_1,16.0,1079.0,-425.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,2.0,2.0
136FL_5A_2,16.0,1079.0,-519.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,2.0,1.0
