Instances,fh_tk,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,34.0,98.0,-214.0,8.0,0.0,272.0,272.0,0.0,4795.0,0.3,0.0,1.0,2.0,2.0
127FL_5A_2,34.0,98.0,-1013.0,3.0,0.0,102.0,102.0,0.0,5043.0,0.3,0.0,1.0,2.0,2.0
127FL_5A_3,34.0,98.0,-1576.0,1.0,0.0,34.0,34.0,0.0,5.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_4,34.0,98.0,-922.0,9.0,0.0,306.0,306.0,0.0,5587.0,0.4,0.0,1.0,2.0,2.0
127FL_5A_5,34.0,98.0,-1249.0,4.0,0.0,136.0,136.0,0.0,1745.0,0.3,0.0,1.0,2.0,2.0
127FL_5A_6,34.0,98.0,-622.0,4.0,0.0,136.0,136.0,0.0,615.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_7,34.0,98.0,-586.0,6.0,0.0,204.0,204.0,0.0,9042.0,0.5,0.0,1.0,2.0,2.0
127FL_5A_8,34.0,98.0,-1122.0,4.0,0.0,136.0,136.0,0.0,1.0,0.1,0.0,1.0,2.0,2.0
127FL_5A_9,34.0,98.0,-907.0,4.0,0.0,136.0,136.0,0.0,9670.0,0.4,0.0,1.0,2.0,2.0
127FL_5A_10,34.0,98.0,-618.0,3.0,0.0,102.0,102.0,0.0,118.0,0.1,0.0,1.0,2.0,2.0
AVERAGE,34.0,98.0,-882.9,4.6,0.0,156.4,156.4,0.0,3662.1,0.3,0.0,1.0,2.0,2.0
136FL_5A_1,16.0,229.0,-425.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,2.0,2.0
136FL_5A_2,16.0,229.0,433.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,1.0,1.0,2.0,1.0
136FL_5A_3,16.0,229.0,-935.0,0.0,0.0,0.0,0.0,0.0,197.0,0.3,0.0,1.0,2.0,2.0
136FL_5A_4,16.0,229.0,-460.0,1.0,0.0,16.0,16.0,0.0,1.3548285e7,1281.1,0.0,1.0,2.0,1.0
136FL_5A_5,16.0,229.0,-218.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,2.0,1.0
136FL_5A_6,16.0,229.0,-414.0,0.0,0.0,0.0,0.0,0.0,2443.0,0.5,0.0,1.0,2.0,1.0
136FL_5A_7,16.0,229.0,-1127.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,2.0,1.0
