Instances,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,1112.0,195.0,12.0,0.0,195.0,195.0,0.0,1360.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_2,1112.0,137.0,11.0,0.0,137.0,137.0,0.0,879.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_3,1112.0,131.0,7.0,0.0,131.0,131.0,0.0,1035.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_4,1112.0,551.0,20.0,2.0,2775.0,2775.0,0.0,150.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_5,1112.0,238.0,9.0,1.0,1350.0,1350.0,0.0,1.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_6,1112.0,303.0,15.0,1.0,1415.0,1415.0,0.0,97.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_7,1112.0,87.0,9.0,0.0,87.0,87.0,0.0,1372.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_8,1112.0,484.0,13.0,1.0,1596.0,1596.0,0.0,1.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_9,1112.0,41.0,7.0,0.0,41.0,41.0,0.0,1.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_10,1112.0,300.0,11.0,1.0,1412.0,1412.0,0.0,1.0,0.2,1.0,1.0,2.0,2.0
AVERAGE,1112.0,246.7,11.4,0.6,913.9,913.9,0.0,489.7,0.2,1.0,1.0,2.0,1.5
136FL_5A_1,1079.0,34.0,5.0,1.0,1113.0,1113.0,0.0,6298.0,2.2,0.0,1.0,2.0,2.0
136FL_5A_2,1079.0,1.0,6.0,0.0,1.0,1.0,0.0,655209.0,120.6,1.0,1.0,2.0,1.0
136FL_5A_3,1079.0,63.0,-2.0,0.0,63.0,63.0,0.0,21890.0,4.3,0.0,1.0,2.0,1.0
136FL_5A_4,1079.0,6.0,9.0,0.0,6.0,6.0,0.0,60381.0,13.1,1.0,1.0,2.0,1.0
136FL_5A_5,1079.0,3.0,7.0,0.0,3.0,3.0,0.0,633930.0,136.3,1.0,1.0,2.0,1.0
136FL_5A_6,1079.0,3.0,6.0,0.0,2.9,3.0,0.0,536920.0,113.2,1.0,1.0,2.0,1.0
136FL_5A_7,1079.0,72.0,4.0,0.0,72.0,72.0,0.0,4990.0,1.3,0.0,1.0,2.0,2.0
136FL_5A_8,1079.0,20.0,1.0,0.0,20.0,20.0,0.0,58002.0,13.4,1.0,1.0,2.0,1.0
136FL_5A_9,1079.0,139.0,22.0,2.0,2297.0,2297.0,0.0,145942.0,19.4,1.0,1.0,2.0,1.0
136FL_5A_10,1079.0,0.0,12.0,0.0,0.0,0.0,0.0,3291.0,1.1,1.0,1.0,2.0,1.0
AVERAGE,1079.0,34.1,7.0,0.3,357.8,357.8,0.0,212685.3,42.5,0.7,1.0,2.0,1.2
181FL_7A_1,1112.0,15.0,4.0,0.0,15.0,15.0,0.0,12283.0,4.8,1.0,1.0,2.0,2.0
181FL_7A_2,1112.0,3.0,5.0,0.0,3.0,3.0,0.0,32215.0,7.6,1.0,1.0,2.0,2.0
181FL_7A_3,1112.0,5.0,9.0,1.0,1117.0,1117.0,0.0,158439.0,43.5,1.0,1.0,2.0,2.0
181FL_7A_4,1112.0,49.0,9.0,1.0,1161.0,1161.0,0.0,8276.0,4.1,1.0,1.0,2.0,1.0
181FL_7A_5,1112.0,86.0,7.0,0.0,86.0,86.0,0.0,31371.0,9.6,1.0,1.0,2.0,2.0
181FL_7A_6,1112.0,4.0,8.0,0.0,4.0,4.0,0.0,167004.0,55.5,1.0,1.0,2.0,2.0
181FL_7A_7,1112.0,15.0,8.0,0.0,15.0,15.0,0.0,12644.0,5.4,1.0,1.0,2.0,2.0
181FL_7A_8,1112.0,5.0,11.0,0.0,5.0,5.0,0.0,467360.0,62.3,1.0,1.0,2.0,2.0
181FL_7A_9,1112.0,0.0,8.0,0.0,0.0,0.0,0.0,16599.0,4.8,1.0,1.0,2.0,2.0
181FL_7A_10,1112.0,0.0,12.0,0.0,0.0,0.0,0.0,4178.0,1.7,1.0,1.0,2.0,2.0
AVERAGE,1112.0,18.2,8.1,0.2,240.6,240.6,0.0,91036.9,19.9,1.0,1.0,2.0,1.9
196FL_7A_1,1079.0,232.0,8.0,2.0,2390.0,2390.0,0.0,17571.0,8.4,0.0,1.0,2.0,1.0
196FL_7A_2,1079.0,28.0,1.0,0.0,28.0,27.0,3.6,4.501074e7,7200.0,0.0,0.0,2.0,2.0
196FL_7A_3,1079.0,12.0,0.0,0.0,12.0,12.0,0.0,1.745611e6,347.4,0.0,1.0,2.0,1.0
196FL_7A_4,1079.0,10.0,6.0,0.0,10.0,10.0,0.0,6734.0,6.6,1.0,1.0,2.0,2.0
196FL_7A_5,1079.0,6.0,0.0,0.0,6.0,0.0,100.0,2.6704244e7,7200.0,0.0,0.0,2.0,2.0
196FL_7A_6,1079.0,20.0,2.0,0.0,20.0,20.0,0.0,47123.0,28.2,0.0,1.0,2.0,1.0
196FL_7A_7,1079.0,0.0,11.0,0.0,0.0,0.0,0.0,6.491059e6,2723.2,1.0,1.0,2.0,1.0
196FL_7A_8,1079.0,3.0,10.0,2.0,2161.0,2161.0,0.0,26235.0,14.7,0.0,1.0,2.0,1.0
196FL_7A_9,1079.0,0.0,4.0,0.0,0.0,0.0,0.0,17529.0,9.8,0.0,1.0,2.0,2.0
196FL_7A_10,1079.0,7.0,3.0,0.0,7.0,7.0,0.0,197514.0,141.7,0.0,1.0,2.0,1.0
AVERAGE,1079.0,31.8,4.5,0.4,463.4,462.7,10.4,8.026436e6,1768.0,0.2,0.8,2.0,1.4
