Instances,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,594.0,195.0,12.0,0.0,195.0,195.0,0.0,900.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_2,594.0,137.0,11.0,0.0,137.0,137.0,0.0,946.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_3,594.0,131.0,7.0,0.0,131.0,131.0,0.0,834.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_4,594.0,551.0,20.0,2.0,1739.0,1739.0,0.0,238.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_5,594.0,238.0,9.0,1.0,832.0,832.0,0.0,1.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_6,594.0,303.0,15.0,1.0,897.0,897.0,0.0,177.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_7,594.0,87.0,9.0,0.0,87.0,87.0,0.0,868.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_8,594.0,484.0,13.0,1.0,1078.0,1078.0,0.0,1.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_9,594.0,41.0,7.0,0.0,41.0,41.0,0.0,9.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_10,594.0,300.0,11.0,1.0,894.0,894.0,0.0,1.0,0.2,1.0,1.0,2.0,2.0
AVERAGE,594.0,246.7,11.4,0.6,603.1,603.1,0.0,397.5,0.2,1.0,1.0,2.0,1.5
136FL_5A_1,651.0,34.0,5.0,1.0,685.0,685.0,0.0,34835.0,4.2,0.0,1.0,2.0,2.0
136FL_5A_2,651.0,1.0,6.0,0.0,1.0,1.0,0.0,1.063544e6,237.0,1.0,1.0,2.0,1.0
136FL_5A_3,651.0,63.0,-2.0,0.0,63.0,63.0,0.0,11912.0,2.2,0.0,1.0,2.0,1.0
136FL_5A_4,651.0,6.0,9.0,0.0,6.0,6.0,0.0,33561.0,9.8,1.0,1.0,2.0,1.0
136FL_5A_5,651.0,3.0,7.0,0.0,3.0,3.0,0.0,1.71367e6,338.7,1.0,1.0,2.0,1.0
136FL_5A_6,651.0,3.0,6.0,0.0,3.0,3.0,0.0,410447.0,53.4,1.0,1.0,2.0,1.0
136FL_5A_7,651.0,72.0,4.0,0.0,72.0,72.0,0.0,8791.0,2.3,0.0,1.0,2.0,2.0
136FL_5A_8,651.0,20.0,1.0,0.0,20.0,20.0,0.0,68308.0,11.8,1.0,1.0,2.0,1.0
136FL_5A_9,651.0,139.0,22.0,2.0,1441.0,1441.0,0.0,100710.0,14.2,1.0,1.0,2.0,1.0
136FL_5A_10,651.0,0.0,9.0,0.0,0.0,0.0,0.0,78370.0,12.6,1.0,1.0,2.0,1.0
AVERAGE,651.0,34.1,6.7,0.3,229.4,229.4,0.0,352414.8,68.6,0.7,1.0,2.0,1.2
181FL_7A_1,578.0,15.0,4.0,0.0,15.0,15.0,0.0,7426.0,4.0,1.0,1.0,2.0,2.0
181FL_7A_2,578.0,3.0,5.0,0.0,3.0,3.0,0.0,39123.0,9.6,1.0,1.0,2.0,2.0
181FL_7A_3,578.0,5.0,9.0,1.0,583.0,583.0,0.0,533516.0,133.4,1.0,1.0,2.0,2.0
181FL_7A_4,578.0,49.0,9.0,1.0,627.0,627.0,0.0,29748.0,5.5,1.0,1.0,2.0,1.0
181FL_7A_5,578.0,86.0,7.0,0.0,86.0,86.0,0.0,17059.0,5.6,1.0,1.0,2.0,2.0
181FL_7A_6,578.0,4.0,9.0,0.0,4.0,4.0,0.0,423701.0,115.6,1.0,1.0,2.0,2.0
181FL_7A_7,578.0,15.0,8.0,0.0,15.0,15.0,0.0,10615.0,4.2,1.0,1.0,2.0,2.0
181FL_7A_8,578.0,5.0,11.0,0.0,5.0,5.0,0.0,376993.0,47.1,1.0,1.0,2.0,2.0
181FL_7A_9,578.0,0.0,8.0,0.0,0.0,0.0,0.0,26405.0,9.7,1.0,1.0,2.0,2.0
181FL_7A_10,578.0,0.0,12.0,0.0,0.0,0.0,0.0,2594.0,2.5,1.0,1.0,2.0,2.0
AVERAGE,578.0,18.2,8.2,0.2,133.8,133.8,0.0,146718.0,33.7,1.0,1.0,2.0,1.9
196FL_7A_1,661.0,232.0,8.0,2.0,1554.0,1554.0,0.0,18960.0,6.8,0.0,1.0,2.0,1.0
196FL_7A_2,661.0,28.0,1.0,0.0,28.0,27.0,3.6,4.6604816e7,7200.0,0.0,0.0,2.0,2.0
196FL_7A_3,661.0,12.0,0.0,0.0,12.0,12.0,0.0,3.529299e6,740.3,0.0,1.0,2.0,1.0
196FL_7A_4,661.0,10.0,6.0,0.0,10.0,10.0,0.0,34036.0,25.9,1.0,1.0,2.0,2.0
196FL_7A_5,661.0,6.0,0.0,0.0,6.0,0.0,100.0,2.0917444e7,7200.0,0.0,0.0,2.0,2.0
196FL_7A_6,661.0,20.0,2.0,0.0,20.0,20.0,0.0,61402.0,30.7,0.0,1.0,2.0,1.0
196FL_7A_7,661.0,0.0,8.0,0.0,0.0,0.0,0.0,107744.0,62.5,1.0,1.0,2.0,1.0
196FL_7A_8,661.0,3.0,10.0,2.0,1325.0,1325.0,0.0,17387.0,10.5,0.0,1.0,2.0,1.0
196FL_7A_9,661.0,0.0,8.0,0.0,0.0,0.0,0.0,204978.0,90.8,1.0,1.0,2.0,1.0
196FL_7A_10,661.0,7.0,5.0,0.0,7.0,7.0,0.0,315088.0,139.0,0.0,1.0,2.0,1.0
AVERAGE,661.0,31.8,4.8,0.4,296.2,295.5,10.4,7.1811154e6,1550.7,0.3,0.8,2.0,1.3
