Instances,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,566.0,195.0,12.0,0.0,195.0,195.0,0.0,1061.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_2,566.0,137.0,11.0,0.0,137.0,137.0,0.0,943.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_3,566.0,131.0,7.0,0.0,131.0,131.0,0.0,945.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_4,566.0,551.0,20.0,2.0,1683.0,1683.0,0.0,189.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_5,566.0,238.0,9.0,1.0,804.0,804.0,0.0,1.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_6,566.0,303.0,15.0,1.0,869.0,869.0,0.0,142.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_7,566.0,87.0,9.0,0.0,87.0,87.0,0.0,980.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_8,566.0,484.0,13.0,1.0,1050.0,1050.0,0.0,1.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_9,566.0,41.0,7.0,0.0,41.0,41.0,0.0,1.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_10,566.0,300.0,11.0,1.0,866.0,866.0,0.0,7.0,0.2,1.0,1.0,2.0,2.0
AVERAGE,566.0,246.7,11.4,0.6,586.3,586.3,0.0,427.0,0.2,1.0,1.0,2.0,1.5
136FL_5A_1,676.0,34.0,5.0,1.0,710.0,710.0,0.0,12544.0,2.8,0.0,1.0,2.0,2.0
136FL_5A_2,676.0,1.0,6.0,0.0,1.0,1.0,0.0,1.179691e6,239.6,1.0,1.0,2.0,1.0
136FL_5A_3,676.0,63.0,-2.0,0.0,63.0,63.0,0.0,17282.0,3.9,0.0,1.0,2.0,1.0
136FL_5A_4,676.0,6.0,9.0,0.0,6.0,6.0,0.0,33561.0,9.9,1.0,1.0,2.0,1.0
136FL_5A_5,676.0,3.0,7.0,0.0,3.0,3.0,0.0,647807.0,172.3,1.0,1.0,2.0,1.0
136FL_5A_6,676.0,3.0,6.0,0.0,3.0,3.0,0.0,490758.0,69.7,1.0,1.0,2.0,1.0
136FL_5A_7,676.0,72.0,4.0,0.0,72.0,72.0,0.0,8791.0,2.8,0.0,1.0,2.0,2.0
136FL_5A_8,676.0,20.0,1.0,0.0,20.0,20.0,0.0,50138.0,12.4,1.0,1.0,2.0,1.0
