Instances,fh_day,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,98.0,195.0,12.0,0.0,195.0,195.0,0.0,3812.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_2,98.0,137.0,11.0,0.0,137.0,137.0,0.0,1714.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_3,98.0,131.0,7.0,0.0,131.0,131.0,0.0,1271.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_4,98.0,551.0,20.0,2.0,747.0,747.0,0.0,211.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_5,98.0,238.0,9.0,1.0,336.0,336.0,0.0,1.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_6,98.0,303.0,15.0,1.0,401.0,401.0,0.0,151.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_7,98.0,87.0,9.0,0.0,87.0,87.0,0.0,1269.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_8,98.0,484.0,13.0,1.0,582.0,582.0,0.0,1.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_9,98.0,41.0,7.0,0.0,41.0,41.0,0.0,23.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_10,98.0,300.0,11.0,1.0,398.0,398.0,0.0,1.0,0.2,1.0,1.0,2.0,2.0
AVERAGE,98.0,246.7,11.4,0.6,305.5,305.5,0.0,845.4,0.2,1.0,1.0,2.0,1.5
136FL_5A_1,229.0,34.0,5.0,1.0,263.0,263.0,0.0,9635.0,3.1,0.0,1.0,2.0,2.0
136FL_5A_2,229.0,1.0,6.0,0.0,1.0,1.0,0.0,460414.0,116.2,1.0,1.0,2.0,1.0
136FL_5A_3,229.0,63.0,-2.0,0.0,63.0,63.0,0.0,11198.0,2.4,0.0,1.0,2.0,1.0
136FL_5A_4,229.0,6.0,9.0,0.0,6.0,6.0,0.0,47146.0,13.6,1.0,1.0,2.0,1.0
136FL_5A_5,229.0,3.0,7.0,0.0,3.0,3.0,0.0,976646.0,245.1,1.0,1.0,2.0,1.0
136FL_5A_6,229.0,3.0,6.0,0.0,3.0,3.0,0.0,415505.0,109.9,1.0,1.0,2.0,1.0
136FL_5A_7,229.0,72.0,2.0,0.0,72.0,72.0,0.0,12581.0,1.7,0.0,1.0,2.0,2.0
136FL_5A_8,229.0,20.0,1.0,0.0,20.0,20.0,0.0,38492.0,8.6,1.0,1.0,2.0,1.0
136FL_5A_9,229.0,139.0,22.0,2.0,597.0,597.0,0.0,33681.0,5.7,1.0,1.0,2.0,1.0
136FL_5A_10,229.0,0.0,9.0,0.0,0.0,0.0,0.0,14989.0,2.7,1.0,1.0,2.0,1.0
AVERAGE,229.0,34.1,6.5,0.3,102.8,102.8,0.0,202028.7,50.9,0.7,1.0,2.0,1.2
181FL_7A_1,98.0,15.0,4.0,0.0,15.0,15.0,0.0,10782.0,6.7,1.0,1.0,2.0,2.0
181FL_7A_2,98.0,3.0,5.0,0.0,3.0,3.0,0.0,40897.0,9.8,1.0,1.0,2.0,2.0
181FL_7A_3,98.0,5.0,9.0,1.0,103.0,103.0,0.0,93343.0,34.9,1.0,1.0,2.0,2.0
181FL_7A_4,98.0,49.0,9.0,1.0,147.0,147.0,0.0,14130.0,2.7,1.0,1.0,2.0,1.0
181FL_7A_5,98.0,86.0,7.0,0.0,86.0,86.0,0.0,54669.0,18.8,1.0,1.0,2.0,2.0
181FL_7A_6,98.0,4.0,8.0,0.0,4.0,4.0,0.0,129771.0,43.9,1.0,1.0,2.0,2.0
181FL_7A_7,98.0,15.0,8.0,0.0,15.0,15.0,0.0,13439.0,5.5,1.0,1.0,2.0,2.0
181FL_7A_8,98.0,5.0,11.0,0.0,5.0,5.0,0.0,1.04618e6,160.8,1.0,1.0,2.0,2.0
181FL_7A_9,98.0,0.0,8.0,0.0,0.0,0.0,0.0,8700.0,2.7,1.0,1.0,2.0,2.0
181FL_7A_10,98.0,0.0,12.0,0.0,0.0,0.0,0.0,8277.0,3.9,1.0,1.0,2.0,2.0
AVERAGE,98.0,18.2,8.1,0.2,37.8,37.8,0.0,142018.8,29.0,1.0,1.0,2.0,1.9
196FL_7A_1,229.0,232.0,8.0,2.0,690.0,690.0,0.0,11788.0,9.4,0.0,1.0,2.0,1.0
196FL_7A_2,229.0,28.0,1.0,0.0,28.0,28.0,0.0,3.5174368e7,5931.2,0.0,1.0,2.0,2.0
196FL_7A_3,229.0,12.0,0.0,0.0,12.0,12.0,0.0,2.305161e6,460.7,0.0,1.0,2.0,1.0
196FL_7A_4,229.0,10.0,6.0,0.0,10.0,10.0,0.0,6678.0,7.3,1.0,1.0,2.0,2.0
196FL_7A_5,229.0,6.0,0.0,0.0,6.0,0.0,100.0,2.9556042e7,7200.0,0.0,0.0,2.0,2.0
196FL_7A_6,229.0,20.0,2.0,0.0,20.0,20.0,0.0,180690.0,105.3,0.0,1.0,2.0,1.0
196FL_7A_7,229.0,0.0,8.0,0.0,0.0,0.0,0.0,785807.0,406.9,1.0,1.0,2.0,1.0
196FL_7A_8,229.0,3.0,10.0,2.0,461.0,461.0,0.0,12602.0,8.1,0.0,1.0,2.0,1.0
196FL_7A_9,229.0,0.0,5.0,0.0,0.0,0.0,0.0,6532.0,4.0,0.0,1.0,2.0,2.0
196FL_7A_10,229.0,7.0,4.0,0.0,7.0,7.0,0.0,189714.0,132.8,0.0,1.0,2.0,1.0
AVERAGE,229.0,31.8,4.4,0.4,123.4,122.8,10.0,6.8229382e6,1426.6,0.2,0.9,2.0,1.4
