Instances,fh_tk,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,360.0,113.0,1.0,0.0,473.0,473.0,0.0,1082.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_2,360.0,42.0,4.0,0.0,1482.0,1482.0,0.0,1542.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_3,360.0,337.0,5.0,1.0,2137.0,2137.0,0.0,5883.0,0.3,1.0,1.0,2.0,2.0
127FL_5A_4,360.0,588.0,17.0,2.0,6708.0,6708.0,0.0,1.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_5,360.0,238.0,9.0,1.0,3478.0,3478.0,0.0,87.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_6,360.0,428.0,9.0,1.0,3668.0,3668.0,0.0,1888.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_7,360.0,50.0,3.0,0.0,1130.0,1130.0,0.0,2595.0,0.3,1.0,1.0,1.0,1.0
127FL_5A_8,360.0,523.0,10.0,1.0,4123.0,4123.0,0.0,550.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_9,360.0,23.0,2.0,0.0,743.0,743.0,0.0,1.0,0.1,1.0,1.0,1.0,1.0
127FL_5A_10,360.0,215.0,7.0,-1.0,2735.0,2735.0,0.0,286.0,0.1,0.0,1.0,2.0,2.0
AVERAGE,360.0,255.7,6.7,0.5,2667.7,2667.7,0.0,1391.5,0.2,0.9,1.0,1.6,1.4
136FL_5A_1,377.0,999.0,7.0,2.0,3638.0,3638.0,0.0,55451.0,6.4,1.0,1.0,2.0,1.0
136FL_5A_2,377.0,113.0,0.0,0.0,113.0,113.0,0.0,333480.0,70.4,1.0,1.0,2.0,1.0
136FL_5A_3,377.0,249.0,1.0,1.0,626.0,626.0,0.0,7122.0,2.6,1.0,1.0,2.0,2.0
136FL_5A_4,377.0,131.0,1.0,0.0,508.0,508.0,0.0,5.880207e6,475.9,1.0,1.0,2.0,1.0
136FL_5A_5,377.0,9.0,1.0,0.0,386.0,386.0,0.0,2.430029e6,551.7,1.0,1.0,2.0,1.0
136FL_5A_6,377.0,66.0,1.0,0.0,443.0,443.0,0.0,616759.0,98.6,1.0,1.0,2.0,1.0
