Instances,fh_tk,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,164.0,113.0,1.0,0.0,277.0,277.0,0.0,1226.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_2,164.0,42.0,4.0,0.0,698.0,698.0,0.0,2590.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_3,164.0,65.0,6.0,1.0,1049.0,1049.0,0.0,5779.0,0.3,1.0,1.0,2.0,2.0
127FL_5A_4,164.0,588.0,17.0,2.0,3376.0,3376.0,0.0,355.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_5,164.0,238.0,9.0,1.0,1714.0,1714.0,0.0,140.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_6,164.0,428.0,9.0,1.0,1904.0,1904.0,0.0,1926.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_7,164.0,50.0,3.0,0.0,542.0,542.0,0.0,4558.0,0.3,1.0,1.0,1.0,1.0
127FL_5A_8,164.0,523.0,10.0,1.0,2163.0,2163.0,0.0,1344.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_9,164.0,23.0,2.0,0.0,351.0,351.0,0.0,1.0,0.1,1.0,1.0,1.0,1.0
127FL_5A_10,164.0,215.0,7.0,-1.0,1363.0,1363.0,0.0,466.0,0.1,0.0,1.0,2.0,2.0
AVERAGE,164.0,228.5,6.8,0.5,1343.7,1343.7,0.0,1838.5,0.2,0.9,1.0,1.6,1.4
136FL_5A_1,168.0,999.0,7.0,2.0,2175.0,2175.0,0.0,41503.0,5.5,1.0,1.0,2.0,1.0
136FL_5A_2,168.0,113.0,0.0,0.0,113.0,113.0,0.0,1.984553e6,329.5,1.0,1.0,2.0,1.0
136FL_5A_3,168.0,50.0,2.0,1.0,386.0,386.0,0.0,9381.0,2.5,1.0,1.0,2.0,2.0
136FL_5A_4,168.0,131.0,1.0,0.0,299.0,299.0,0.0,7.828784e6,587.4,1.0,1.0,2.0,1.0
136FL_5A_5,168.0,9.0,1.0,0.0,177.0,177.0,0.0,3.182573e6,744.6,1.0,1.0,2.0,1.0
136FL_5A_6,168.0,66.0,1.0,0.0,234.0,234.0,0.0,1.057956e6,140.3,1.0,1.0,2.0,1.0
136FL_5A_7,168.0,773.0,8.0,2.0,2117.0,2117.0,0.0,3423.0,1.2,1.0,1.0,1.0,1.0
136FL_5A_8,168.0,20.0,1.0,0.0,188.0,188.0,0.0,90668.0,12.4,1.0,1.0,2.0,1.0
136FL_5A_9,168.0,141.0,15.0,1.0,2661.0,2661.0,0.0,383555.0,45.8,0.0,1.0,2.0,1.0
136FL_5A_10,168.0,0.0,0.0,0.0,0.0,0.0,0.0,7834.0,1.7,1.0,1.0,1.0,1.0
AVERAGE,168.0,230.2,3.6,0.6,835.0,835.0,0.0,1.459023e6,187.1,0.9,1.0,1.8,1.1
181FL_7A_1,157.0,15.0,1.0,-1.0,172.0,172.0,0.0,52559.0,11.4,0.0,1.0,2.0,1.0
181FL_7A_2,157.0,2.0,0.0,0.0,2.0,2.0,0.0,190792.0,40.2,1.0,1.0,1.0,1.0
181FL_7A_3,157.0,34.0,4.0,0.0,662.0,662.0,0.0,879379.0,127.5,0.0,1.0,2.0,2.0
181FL_7A_4,157.0,50.0,6.0,0.0,992.0,992.0,0.0,18274.0,4.6,0.0,1.0,2.0,2.0
181FL_7A_5,157.0,20.0,2.0,0.0,334.0,334.0,0.0,49244.0,9.7,0.0,1.0,2.0,2.0
181FL_7A_6,157.0,81.0,0.0,-1.0,81.0,81.0,0.0,3.246559e6,752.8,0.0,1.0,1.0,1.0
181FL_7A_7,157.0,102.0,5.0,0.0,887.0,887.0,0.0,70785.0,24.1,1.0,1.0,2.0,2.0
181FL_7A_8,157.0,7.0,0.0,0.0,7.0,7.0,0.0,32541.0,10.6,1.0,1.0,1.0,1.0
181FL_7A_9,157.0,0.0,0.0,0.0,0.0,0.0,0.0,35176.0,11.3,1.0,1.0,1.0,1.0
181FL_7A_10,157.0,12.0,5.0,-1.0,797.0,797.0,0.0,4.822184e6,755.5,0.0,1.0,2.0,2.0
AVERAGE,157.0,32.3,2.3,-0.3,393.4,393.4,0.0,939749.3,174.8,0.4,1.0,1.6,1.5
196FL_7A_1,165.0,478.0,4.0,2.0,1138.0,1138.0,0.0,16077.0,7.3,1.0,1.0,2.0,2.0
196FL_7A_2,165.0,28.0,1.0,0.0,193.0,192.0,0.5,3.9833821e7,7200.0,1.0,0.0,2.0,2.0
196FL_7A_3,165.0,115.0,1.0,1.0,280.0,280.0,0.0,4.62233e6,883.1,1.0,1.0,2.0,1.0
196FL_7A_4,165.0,33.0,1.0,0.0,198.0,160.0,19.2,5.1682115e7,7200.0,1.0,0.0,2.0,2.0
196FL_7A_5,165.0,6.0,0.0,0.0,6.0,1.0,83.3,4.4572097e7,7200.0,1.0,0.0,2.0,2.0
196FL_7A_6,165.0,93.0,0.0,0.0,93.0,80.0,14.0,4.2774942e7,7200.0,0.0,0.0,2.0,2.0
196FL_7A_7,165.0,4.0,0.0,-1.0,3.9,0.0,100.0,1.3471237e7,7200.0,0.0,0.0,2.0,1.0
196FL_7A_8,165.0,73.0,13.0,3.0,2218.0,2169.0,2.2,3.4456916e7,7200.0,1.0,0.0,2.0,1.0
196FL_7A_9,165.0,0.0,0.0,0.0,0.0,0.0,0.0,4.684806e6,1192.2,1.0,1.0,1.0,1.0
196FL_7A_10,165.0,139.0,0.0,1.0,139.0,0.0,100.0,1.1787898e7,7200.0,1.0,0.0,1.0,1.0
AVERAGE,165.0,96.9,2.0,0.6,426.9,402.0,31.9,2.47902239e7,5248.3,0.8,0.3,1.8,1.5
