Instances,fh_tk,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,154.0,113.0,1.0,0.0,267.0,267.0,0.0,691.0,0.1,1.0,1.0,1.0,1.0
127FL_5A_2,154.0,42.0,4.0,0.0,658.0,658.0,0.0,2645.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_3,154.0,65.0,6.0,1.0,989.0,989.0,0.0,5199.0,0.3,1.0,1.0,2.0,2.0
127FL_5A_4,154.0,588.0,17.0,2.0,3206.0,3206.0,0.0,226.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_5,154.0,238.0,9.0,1.0,1624.0,1624.0,0.0,134.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_6,154.0,428.0,9.0,1.0,1814.0,1814.0,0.0,2084.0,0.2,1.0,1.0,2.0,1.0
127FL_5A_7,154.0,50.0,3.0,0.0,512.0,512.0,0.0,4349.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_8,154.0,523.0,10.0,1.0,2063.0,2063.0,0.0,601.0,0.1,1.0,1.0,2.0,2.0
127FL_5A_9,154.0,23.0,2.0,0.0,331.0,331.0,0.0,1.0,0.1,1.0,1.0,1.0,1.0
127FL_5A_10,154.0,215.0,7.0,-1.0,1293.0,1293.0,0.0,399.0,0.1,0.0,1.0,2.0,2.0
AVERAGE,154.0,228.5,6.8,0.5,1275.7,1275.7,0.0,1632.9,0.2,0.9,1.0,1.6,1.4
136FL_5A_1,154.0,999.0,7.0,2.0,2077.0,2077.0,0.0,57505.0,7.7,1.0,1.0,2.0,1.0
136FL_5A_2,154.0,113.0,0.0,0.0,113.0,113.0,0.0,1.879885e6,265.8,1.0,1.0,2.0,1.0
136FL_5A_3,154.0,50.0,2.0,1.0,358.0,358.0,0.0,10296.0,3.0,1.0,1.0,2.0,2.0
136FL_5A_4,154.0,131.0,1.0,0.0,285.0,285.0,0.0,1.3791806e7,966.7,1.0,1.0,2.0,1.0
136FL_5A_5,154.0,9.0,1.0,0.0,163.0,163.0,0.0,2.508845e6,642.2,1.0,1.0,2.0,1.0
136FL_5A_6,154.0,66.0,1.0,0.0,220.0,220.0,0.0,790295.0,163.5,1.0,1.0,2.0,1.0
136FL_5A_7,154.0,773.0,8.0,2.0,2005.0,2005.0,0.0,11645.0,2.5,1.0,1.0,1.0,1.0
136FL_5A_8,154.0,20.0,1.0,0.0,174.0,174.0,0.0,80785.0,12.2,1.0,1.0,2.0,1.0
136FL_5A_9,154.0,141.0,15.0,1.0,2451.0,2451.0,0.0,581066.0,64.8,0.0,1.0,2.0,1.0
136FL_5A_10,154.0,0.0,0.0,0.0,0.0,0.0,0.0,11146.0,2.6,1.0,1.0,1.0,1.0
AVERAGE,154.0,230.2,3.6,0.6,784.6,784.6,0.0,1.9723274e6,213.1,0.9,1.0,1.8,1.1
181FL_7A_1,153.0,15.0,1.0,-1.0,168.0,168.0,0.0,47644.0,9.2,0.0,1.0,2.0,1.0
181FL_7A_2,153.0,2.0,0.0,0.0,2.0,2.0,0.0,99917.0,31.9,1.0,1.0,1.0,1.0
181FL_7A_3,153.0,34.0,4.0,0.0,646.0,646.0,0.0,778197.0,99.2,0.0,1.0,2.0,2.0
181FL_7A_4,153.0,50.0,6.0,0.0,968.0,968.0,0.0,16646.0,5.6,0.0,1.0,2.0,2.0
181FL_7A_5,153.0,20.0,2.0,0.0,326.0,326.0,0.0,56075.0,15.2,0.0,1.0,2.0,2.0
181FL_7A_6,153.0,81.0,0.0,-1.0,81.0,81.0,0.0,3.439746e6,656.7,0.0,1.0,1.0,1.0
181FL_7A_7,153.0,102.0,5.0,0.0,867.0,867.0,0.0,90371.0,29.4,1.0,1.0,2.0,2.0
181FL_7A_8,153.0,7.0,0.0,0.0,7.0,7.0,0.0,8938.0,3.4,1.0,1.0,1.0,1.0
