Instances,fh_tk,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Feasible,Opt,Nbr_mtn,Nbr_sts_used
127FL_5A_1,34.0,30.0,3.0,0.0,132.0,132.0,0.0,1057.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_2,34.0,1.0,5.0,0.0,171.0,171.0,0.0,2358.0,0.2,1.0,1.0,1.0,1.0
127FL_5A_3,34.0,65.0,6.0,1.0,269.0,269.0,0.0,2702.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_4,34.0,588.0,17.0,2.0,1166.0,1166.0,0.0,181.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_5,34.0,238.0,9.0,1.0,544.0,544.0,0.0,82.0,0.1,1.0,1.0,2.0,1.0
127FL_5A_6,34.0,375.0,10.0,0.0,715.0,715.0,0.0,1177.0,0.2,0.0,1.0,2.0,2.0
127FL_5A_7,34.0,50.0,3.0,0.0,152.0,152.0,0.0,4995.0,0.3,1.0,1.0,1.0,1.0
127FL_5A_8,34.0,523.0,10.0,1.0,863.0,863.0,0.0,25.0,0.2,1.0,1.0,2.0,2.0
127FL_5A_9,34.0,23.0,2.0,0.0,91.0,91.0,0.0,1.0,0.1,1.0,1.0,1.0,1.0
127FL_5A_10,34.0,215.0,7.0,-1.0,453.0,453.0,0.0,427.0,0.2,0.0,1.0,2.0,2.0
AVERAGE,34.0,210.8,7.2,0.4,455.6,455.6,0.0,1300.5,0.2,0.8,1.0,1.6,1.5
136FL_5A_1,16.0,756.0,9.0,2.0,900.0,900.0,0.0,24957.0,3.6,1.0,1.0,2.0,1.0
136FL_5A_2,16.0,23.0,1.0,0.0,39.0,39.0,0.0,2.245838e6,272.9,1.0,1.0,2.0,1.0
136FL_5A_3,16.0,50.0,2.0,1.0,82.0,82.0,0.0,7077.0,2.2,1.0,1.0,2.0,2.0
136FL_5A_4,16.0,2.0,4.0,1.0,66.0,66.0,0.0,6.15908e6,900.2,1.0,1.0,1.0,1.0
136FL_5A_5,16.0,9.0,1.0,0.0,25.0,25.0,0.0,3.038029e6,723.5,1.0,1.0,2.0,1.0
136FL_5A_6,16.0,27.0,3.0,0.0,75.0,75.0,0.0,4.740175e6,706.8,1.0,1.0,2.0,1.0
136FL_5A_7,16.0,773.0,8.0,2.0,901.0,901.0,0.0,3969.0,1.7,1.0,1.0,1.0,1.0
136FL_5A_8,16.0,20.0,1.0,0.0,36.0,36.0,0.0,39738.0,6.7,1.0,1.0,2.0,1.0
136FL_5A_9,16.0,141.0,15.0,1.0,381.0,381.0,0.0,974934.0,95.4,0.0,1.0,2.0,1.0
136FL_5A_10,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12037.0,2.6,1.0,1.0,1.0,1.0
AVERAGE,16.0,180.1,4.4,0.7,250.5,250.5,0.0,1.7245834e6,271.6,0.9,1.0,1.7,1.1
181FL_7A_1,25.0,15.0,1.0,-1.0,40.0,40.0,0.0,75180.0,16.3,0.0,1.0,2.0,1.0
181FL_7A_2,25.0,2.0,0.0,0.0,2.0,2.0,0.0,266046.0,81.3,1.0,1.0,1.0,1.0
181FL_7A_3,25.0,34.0,4.0,0.0,134.0,134.0,0.0,181274.0,38.4,0.0,1.0,2.0,2.0
181FL_7A_4,25.0,50.0,6.0,0.0,200.0,200.0,0.0,26729.0,5.3,0.0,1.0,2.0,2.0
181FL_7A_5,25.0,20.0,2.0,0.0,70.0,70.0,0.0,51696.0,11.8,0.0,1.0,2.0,2.0
181FL_7A_6,25.0,2.0,1.0,-1.0,27.0,27.0,0.0,4.250166e6,926.2,0.0,1.0,1.0,1.0
181FL_7A_7,25.0,22.0,7.0,0.0,197.0,197.0,0.0,52124.0,19.9,1.0,1.0,2.0,2.0
181FL_7A_8,25.0,7.0,0.0,0.0,7.0,7.0,0.0,10011.0,4.7,1.0,1.0,1.0,1.0
181FL_7A_9,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12837.0,4.7,1.0,1.0,1.0,1.0
181FL_7A_10,25.0,12.0,5.0,-1.0,137.0,137.0,0.0,4.55513e6,594.6,0.0,1.0,2.0,2.0
AVERAGE,25.0,16.4,2.6,-0.3,81.4,81.4,0.0,948119.3,170.3,0.4,1.0,1.6,1.5
196FL_7A_1,16.0,299.0,7.0,2.0,411.0,411.0,0.0,14042.0,8.0,1.0,1.0,2.0,2.0
196FL_7A_2,16.0,28.0,1.0,0.0,44.0,44.0,0.0,1.6998637e7,2487.9,1.0,1.0,2.0,2.0
196FL_7A_3,16.0,35.0,3.0,1.0,83.0,83.0,0.0,4.689378e6,828.0,1.0,1.0,2.0,2.0
