Instances,Rho,Lambda,Phi,UB,LB,Gap,Nodes,Time,Opt,Nbr_mtn,Nbr_sts_used
354FL_8A_21,95,4,5,95.0,35.0,63.16,2868,20.01,0,5,2
354FL_8A_22,195,1,5,195.0,0.0,100.0,2049,20.01,0,5,2
354FL_8A_23,120,2,3,120.0,80.0,33.33,3082,20.02,0,4,2
354FL_8A_24,160,4,3,160.0,115.0,28.12,1962,20.03,0,5,2
354FL_8A_25,90,2,5,90.0,0.0,100.0,1707,20.04,0,4,2
354FL_8A_26,210,6,6,210.0,0.0,100.0,1942,20.07,0,5,2
354FL_8A_27,240,1,3,240.0,130.0,45.83,2598,20.02,0,4,2
354FL_8A_28,120,3,5,120.0,0.0,100.0,3227,16.6,0,5,2
354FL_8A_29,345,2,5,345.0,145.0,57.97,1,8.45,0,5,2
354FL_8A_30,1080,12,8,1080.0,120.0,88.89,1,4.52,0,5,2
